符合條件商品
資料日期：2022年  5月 27日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/27),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:15 符合檔數(12)
1	,6804.TW,明係,54.3,0.37,16,53.2,3.25,12,自連賣
2	,2498.TW,宏達電,55,-0.72,14502,47.05,16.9,10,自連賣
3	,2363.TW,矽統,15.95,-0.93,935,22.85,-20.53,7,自連賣
4	,4927.TW,泰鼎-KY,54.5,-0.73,593,87.2,-33.46,7,自連賣
5	,6712.TW,長聖,205.5,0.49,967,165.5,24.17,7,自連賣
6	,6208.TW,日揚,49.9,-0.2,44,49.5,0.81,6,自連賣
7	,8390.TW,金益鼎,36.8,-2.26,415,32.45,3.98,6,自連賣
8	,3260.TW,威剛,57.6,-0.17,970,71.9,-12.3,5,自連賣
9	,4157.TW,太景*-KY,16.15,-1.52,3200,15.55,3.86,5,自連賣
10	,4952.TW,凌通,47.85,0.1,191,77.3,-33.12,5,自連賣
11	,6179.TW,亞通,24.4,1.88,231,31.45,-18.18,5,自連賣
12	,6509.TW,聚和,41.15,4.71,2507,46.8,-9.54,5,自連賣
