符合條件商品
資料日期：2022年  8月 11日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(08/11),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:04 符合檔數(9)
1	,8039.TW,台虹,41,-0.61,92,40.85,0.37,17,自連賣
2	,3026.TW,禾伸堂,89.9,0,51,88.9,1.12,15,自連賣
3	,2206.TW,三陽工業,33.7,0.45,1845,37.6,-10.37,8,自連賣
4	,6244.TW,茂迪,28.35,0,3256,28.5,-0.53,8,自連賣
5	,2605.TW,新興,20.65,-3.5,6563,22.4,-7.81,7,自連賣
6	,5244.TW,弘凱,27.35,-0.18,36,28.05,-2.5,7,自連賣
7	,2486.TW,一詮,21.55,-0.23,1380,25.25,-14.65,6,自連賣
8	,2732.TW,六角,126,0.8,213,96,33.86,5,自連賣
9	,3209.TW,全科,35.5,-0.42,228,38.8,-8.51,5,自連賣
