符合條件商品
資料日期：2021年 12月 23日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/23),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:33 符合檔數(19)
1	,1101.TW,台泥,34.05,-1.16,23484,47.7,-19.54,16,自連賣
2	,2542.TW,興富發,40.35,-3.93,8630,46.05,5.22,15,自連賣
3	,2449.TW,京元電子,36.4,-1.75,4505,43.55,-9.74,9,自連賣
4	,2610.TW,華航,19,-1.55,26392,26.15,-24.66,9,自連賣
5	,2881.TW,富邦金,56.7,-0.18,6587,74.8,-15.41,8,自連賣
6	,4571.TW,鈞興-KY,73.8,-0.14,9,100.5,-22.45,8,自連賣
7	,1219.TW,福壽,18.9,0.8,834,19.75,0.91,7,自連賣
8	,2748.TW,雲品,58.2,0.87,303,38.95,51.09,6,自連賣
9	,6191.TW,精成科,27.6,-1.08,433,37.55,-21.75,6,自連賣
10	,1718.TW,中纖,8.35,-0.71,2204,9.99,-16.42,5,自連賣
11	,2377.TW,微星,119.5,1.7,2513,161,-19.11,5,自連賣
12	,2419.TW,仲琦,24.15,-0.41,1040,23.85,3.87,5,自連賣
13	,2618.TW,長榮航,28.1,-2.09,27994,26.6,7.7,5,自連賣
14	,2905.TW,三商,15.05,-0.66,352,22.4,-27.96,5,自連賣
15	,3017.TW,奇鋐,111,-1.77,2015,87,32.46,5,自連賣
16	,3138.TW,耀登,131.5,-1.13,169,224,-39.86,5,自連賣
17	,3167.TW,大量,40.6,-0.12,73,111.5,-60.82,5,自連賣
18	,6451.TW,訊芯-KY,89.6,-2.71,809,92,1.09,5,自連賣
19	,9910.TW,豐泰,207.5,-1.19,2962,225,-5.58,5,自連賣
