符合條件商品
資料日期：2021年 11月  2日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/02),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:40 符合檔數(19)
1	,1313.TW,聯成,13.8,-1.78,1516,23.05,-36.99,10,自連賣
2	,4904.TW,遠傳,65.7,-0.3,2525,61.7,10.83,10,自連賣
3	,2412.TW,中華電,112.5,-0.44,6521,110.5,5.53,9,自連賣
4	,9908.TW,大台北,31.45,0.96,26,33.15,-1.93,8,自連賣
5	,1303.TW,南亞,70.3,-1.54,4616,85,-8.81,7,自連賣
6	,1455.TW,集盛,10.45,0,596,17.15,-34.44,7,自連賣
7	,2105.TW,正新,33.75,-0.74,1203,34.5,1.23,6,自連賣
8	,2731.TW,雄獅,102.5,0.99,1497,87.6,17.01,6,自連賣
9	,3010.TW,華立,85.6,1.66,269,86.5,6.63,6,自連賣
10	,3023.TW,信邦,275.5,-0.18,232,233,21.19,6,自連賣
11	,8478.TW,東哥遊艇,297,1.02,2514,80,280.77,6,自連賣
12	,1316.TW,上曜,11.85,-1.25,498,14.75,-25.94,5,自連賣
13	,1476.TW,儒鴻,492.5,1.23,1098,607,-16.42,5,自連賣
14	,1725.TW,元禎,20.15,-0.74,8,25.7,-17.25,5,自連賣
15	,3141.TW,晶宏,79.9,0.63,950,225.5,-63.21,5,自連賣
16	,4739.TW,康普,94.9,-1.15,795,154,-36.86,5,自連賣
17	,4976.TW,佳凌,38.2,0.13,139,69,-44.64,5,自連賣
18	,5009.TW,榮剛,37.5,-0.66,11974,21.15,87.5,5,自連賣
19	,9945.TW,潤泰新,43.65,-1.58,3379,68.2,-0.93,5,自連賣
