符合條件商品
資料日期：2022年 10月  4日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/04),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:49 符合檔數(11)
1	,6706.TW,惠特,89.3,1.59,265,85,5.06,16,自連賣
2	,3645.TW,達邁,32.55,-1.21,101,33,-1.36,10,自連賣
3	,3228.TW,金麗科,187,-1.32,123,274,-31.75,9,自連賣
4	,2208.TW,台船,19.5,-0.51,1938,16.35,19.27,7,自連賣
5	,4577.TW,達航科技,31.15,0.16,67,31.15,0,7,自連賣
6	,8341.TW,日友,162.5,-7.41,2828,151.5,7.26,7,自連賣
7	,6585.TW,鼎基,55.9,6.88,488,52.4,6.68,6,自連賣
8	,6244.TW,茂迪,28.35,0,3256,26.7,6.18,5,自連賣
9	,6261.TW,久元,58,-0.51,75,58.2,-0.34,5,自連賣
10	,6279.TW,胡連,149.5,-1.64,1303,173.5,-13.83,5,自連賣
11	,8411.TW,福貞-KY,13.1,-0.76,94,14.5,-9.66,5,自連賣
