符合條件商品
資料日期：2022年  5月 25日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/25),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:15 符合檔數(10)
1	,6804.TW,明係,54.3,0.37,16,52,5.62,10,自連賣
2	,2498.TW,宏達電,55,-0.72,14502,46,19.57,8,自連賣
3	,2945.TW,三商家購,42.25,0,0,49.2,-9.43,6,自連賣
4	,3455.TW,由田,80.3,-0.25,313,81.7,4.52,6,自連賣
5	,8086.TW,宏捷科,67.7,1.04,620,84.9,-16.97,6,自連賣
6	,2342.TW,茂矽,38.65,1.44,640,44.45,-11.86,5,自連賣
7	,2363.TW,矽統,15.95,-0.93,935,22.95,-20.88,5,自連賣
8	,2409.TW,友達,15.4,0.65,36394,17.05,-10.41,5,自連賣
9	,4927.TW,泰鼎-KY,54.5,-0.73,593,88.6,-34.5,5,自連賣
10	,6712.TW,長聖,205.5,0.49,967,163.5,25.69,5,自連賣
