符合條件商品
資料日期：2022年 12月 22日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/22),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:30 符合檔數(267)
1	,2882.TW,國泰金,41.15,1.86,33982,40.4,1.86,20,自連賣
2	,6811.TW,宏碁資訊,133,-0.37,7,133.5,-0.37,20,自連賣
3	,6835.TW,圓裕,39.2,-2,415,40,-2,20,自連賣
4	,8411.TW,福貞-KY,13.1,-0.76,94,13.2,-0.76,20,自連賣
5	,4958.TW,臻鼎-KY,108,-1.37,2633,109.5,-1.37,13,自連賣
6	,2497.TW,怡利電,72.9,-0.82,961,73.5,-0.82,10,自連賣
7	,4906.TW,正文,27.35,0.18,879,27.3,0.18,9,自連賣
8	,6605.TW,帝寶,70.5,-0.98,237,71.2,-0.98,9,自連賣
9	,6670.TW,復盛應用,213,-0.7,244,214.5,-0.7,9,自連賣
10	,2308.TW,台達電,281,-1.92,5149,286.5,-1.92,8,自連賣
11	,2481.TW,強茂,60.4,-0.33,2094,60.6,-0.33,8,自連賣
12	,3455.TW,由田,80.3,-0.25,313,80.5,-0.25,8,自連賣
13	,1526.TW,日馳,41.1,-0.6,88,41.35,-0.6,7,自連賣
14	,2323.TW,中環,7.4,-1.33,1685,7.5,-1.33,7,自連賣
15	,2330.TW,台積電,455,-2.78,26724,468,-2.78,7,自連賣
16	,2495.TW,普安,21.6,-2.92,2069,22.25,-2.92,7,自連賣
17	,2504.TW,國產,25.1,1.01,1440,24.85,1.01,7,自連賣
18	,2906.TW,高林,17.6,-0.28,1443,17.65,-0.28,7,自連賣
19	,6206.TW,飛捷,65.6,0.46,146,65.3,0.46,7,自連賣
20	,6257.TW,矽格,48.85,0.31,824,48.7,0.31,7,自連賣
21	,6689.TW,伊雲谷,87.2,-0.91,297,88,-0.91,7,自連賣
22	,8028.TW,昇陽半導體,57.5,-2.87,2439,59.2,-2.87,7,自連賣
23	,1103.TW,嘉泥,17.5,-0.57,92,17.6,-0.57,6,自連賣
24	,1104.TW,環泥,22.25,-0.22,144,22.3,-0.22,6,自連賣
25	,1201.TW,味全,19.05,0,164,19.05,0,6,自連賣
26	,1210.TW,大成,45.45,1.91,1876,44.6,1.91,6,自連賣
27	,1215.TW,卜蜂,78.3,0.77,1049,77.7,0.77,6,自連賣
28	,1216.TW,統一,65.9,0,2803,65.9,0,6,自連賣
29	,1219.TW,福壽,18.9,0.8,834,18.75,0.8,6,自連賣
30	,1227.TW,佳格,39.4,-0.51,249,39.6,-0.51,6,自連賣
31	,1229.TW,聯華,49.25,0.2,537,49.15,0.2,6,自連賣
32	,1232.TW,大統益,141.5,-0.35,131,142,-0.35,6,自連賣
33	,1301.TW,台塑,86.8,-0.46,6046,87.2,-0.46,6,自連賣
34	,1303.TW,南亞,70.3,-1.54,4616,71.4,-1.54,6,自連賣
35	,1309.TW,台達化,22.2,-0.45,1316,22.3,-0.45,6,自連賣
36	,1310.TW,台苯,13.55,1.12,233,13.4,1.12,6,自連賣
37	,1313.TW,聯成,13.8,-1.78,1516,14.05,-1.78,6,自連賣
38	,1326.TW,台化,69.4,-0.72,1689,69.9,-0.72,6,自連賣
39	,1434.TW,福懋,26.3,-0.19,479,26.35,-0.19,6,自連賣
40	,1440.TW,南紡,17.3,-1.42,812,17.55,-1.42,6,自連賣
41	,1442.TW,名軒,37.2,1.5,752,36.65,1.5,6,自連賣
42	,1455.TW,集盛,10.45,0,596,10.45,0,6,自連賣
43	,1503.TW,士電,59.1,-1.01,78,59.7,-1.01,6,自連賣
44	,1515.TW,力山,30.9,0.49,381,30.75,0.49,6,自連賣
45	,1528.TW,恩德,10.1,0,151,10.1,0,6,自連賣
46	,1532.TW,勤美,28.45,-0.52,120,28.6,-0.52,6,自連賣
47	,1537.TW,廣隆,136.5,-0.36,24,137,-0.36,6,自連賣
48	,1558.TW,伸興,120,0,27,120,0,6,自連賣
49	,1598.TW,岱宇,43,-0.69,148,43.3,-0.69,6,自連賣
50	,1604.TW,聲寶,25.55,-0.2,118,25.6,-0.2,6,自連賣
51	,1608.TW,華榮,13.9,-1.42,1366,14.1,-1.42,6,自連賣
52	,1609.TW,大亞,20.5,0.49,2261,20.4,0.49,6,自連賣
53	,1611.TW,中電,13.3,-1.85,708,13.55,-1.85,6,自連賣
54	,1612.TW,宏泰,16.5,-1.2,304,16.7,-1.2,6,自連賣
55	,1702.TW,南僑,44.8,-0.88,73,45.2,-0.88,6,自連賣
56	,1712.TW,興農,36.35,-1.49,904,36.9,-1.49,6,自連賣
57	,1722.TW,台肥,53.1,-0.56,1033,53.4,-0.56,6,自連賣
58	,1723.TW,中碳,105.5,-0.47,103,106,-0.47,6,自連賣
59	,1773.TW,勝一,114,-0.44,101,114.5,-0.44,6,自連賣
60	,1786.TW,科妍,55.5,-0.36,160,55.7,-0.36,6,自連賣
61	,1808.TW,潤隆,68,1.49,885,67,1.49,6,自連賣
62	,1904.TW,正隆,27.15,-1.09,381,27.45,-1.09,6,自連賣
63	,1905.TW,華紙,16.25,-1.81,591,16.55,-1.81,6,自連賣
64	,1907.TW,永豐餘,24.45,-1.21,810,24.75,-1.21,6,自連賣
65	,2006.TW,東和鋼鐵,53.2,0.95,1881,52.7,0.95,6,自連賣
66	,2015.TW,豐興,65.9,1.85,274,64.7,1.85,6,自連賣
67	,2017.TW,官田鋼,14.2,-1.05,653,14.35,-1.05,6,自連賣
