符合條件商品
資料日期：2022年  4月 15日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(04/15),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:21 符合檔數(25)
1	,1440.TW,南紡,17.3,-1.42,812,22.6,-19.87,13,自連賣
2	,6196.TW,帆宣,117,-0.43,361,134.5,-9.24,12,自連賣
3	,2342.TW,茂矽,38.65,1.44,640,37.95,3.23,10,自連賣
4	,8299.TW,群聯,305,-0.81,792,418,-21.2,10,自連賣
5	,1308.TW,亞聚,28.2,-0.88,1358,36.5,-13.84,9,自連賣
6	,3374.TW,精材,99.5,-1.49,1508,119.5,-14.98,9,自連賣
7	,2354.TW,鴻準,51.4,-1.15,1092,60.6,-12,8,自連賣
8	,8086.TW,宏捷科,67.7,1.04,620,94.4,-25.33,8,自連賣
9	,2327.TW,國巨,460,-1.39,1468,405,-5.51,7,自連賣
10	,2375.TW,凱美,56,-0.36,155,68.9,-30.18,7,自連賣
11	,2393.TW,億光,37.5,0.94,242,46.05,-10.95,7,自連賣
12	,3588.TW,通嘉,53.8,-0.92,446,113,-46.83,7,自連賣
13	,5388.TW,中磊,77.4,-0.13,1579,76.4,1.31,7,自連賣
14	,2314.TW,台揚,38.25,-0.13,479,56.7,-32.54,6,自連賣
15	,2331.TW,精英,21.45,-0.46,679,18.95,13.19,6,自連賣
16	,3217.TW,優群,80.7,0.37,119,100.5,-13.16,6,自連賣
17	,6269.TW,台郡,99.2,-0.8,645,96,8.69,6,自連賣
18	,1314.TW,中石化,9.86,-1,4928,12.2,-15.8,5,自連賣
19	,2353.TW,宏碁,23.15,0.22,5082,28.1,-9.46,5,自連賣
20	,3023.TW,信邦,275.5,-0.18,232,253,11.62,5,自連賣
21	,3028.TW,增你強,28.6,1.06,236,39.45,-18.89,5,自連賣
22	,3556.TW,禾瑞亞,55.5,-1.42,65,78,-20.14,5,自連賣
23	,4760.TW,勤凱,47.2,-0.84,22,75.8,-32.27,5,自連賣
24	,6261.TW,久元,58,-0.51,75,77,-19.03,5,自連賣
25	,6494.TW,九齊,73.5,-2.65,262,130,-39.33,5,自連賣
