符合條件商品
資料日期：2022年 10月 21日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/21),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:42 符合檔數(10)
1	,4577.TW,達航科技,31.15,0.16,67,28.15,10.66,19,自連賣
2	,1717.TW,長興,31.5,-1.25,930,29.85,5.53,11,自連賣
3	,8131.TW,福懋科,38.4,-0.78,269,36.7,4.63,11,自連賣
4	,2851.TW,中再保,18.45,1.1,929,18.2,1.37,10,自連賣
5	,6834.TW,天二科技,25.1,-1.38,20,22.8,10.09,8,自連賣
6	,5388.TW,中磊,77.4,-0.13,1579,75.2,2.93,7,自連賣
7	,3081.TW,聯亞,110.5,-0.9,1673,118,-6.36,5,自連賣
8	,3533.TW,嘉澤,829,0.36,375,700,18.43,5,自連賣
9	,6271.TW,同欣電,201,-4.29,2372,153,18.85,5,自連賣
10	,6509.TW,聚和,41.15,4.71,2507,34.45,19.45,5,自連賣
