符合條件商品
資料日期：2022年  4月 19日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(04/19),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:21 符合檔數(15)
1	,1440.TW,南紡,17.3,-1.42,812,22.4,-19.16,15,自連賣
2	,6196.TW,帆宣,117,-0.43,361,130,-6.1,14,自連賣
3	,2393.TW,億光,37.5,0.94,242,45.9,-10.67,9,自連賣
4	,2314.TW,台揚,38.25,-0.13,479,57,-32.89,8,自連賣
5	,6269.TW,台郡,99.2,-0.8,645,98.3,6.14,8,自連賣
6	,3556.TW,禾瑞亞,55.5,-1.42,65,77.8,-19.94,7,自連賣
7	,2455.TW,全新,67,0,1464,91.2,-22.75,6,自連賣
8	,3339.TW,泰谷,12.85,0,83,16.85,-23.74,6,自連賣
9	,1815.TW,富喬,11.8,-0.42,396,13.8,-7.67,5,自連賣
10	,2345.TW,智邦,237.5,-6.5,4085,221.5,9.83,5,自連賣
11	,3211.TW,順達,73.1,-0.14,70,87.8,-16.74,5,自連賣
12	,3346.TW,麗清,38,1.88,1028,34.6,11.6,5,自連賣
13	,3413.TW,京鼎,183.5,-1.61,306,229,-16.08,5,自連賣
14	,4571.TW,鈞興-KY,73.8,-0.14,9,89.4,-12.82,5,自連賣
15	,6271.TW,同欣電,201,-4.29,2372,259.5,-26.4,5,自連賣
