符合條件商品
資料日期：2021年 11月  8日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/08),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:39 符合檔數(25)
1	,4904.TW,遠傳,65.7,-0.3,2525,62.6,9.23,14,自連賣
2	,2412.TW,中華電,112.5,-0.44,6521,111.5,4.59,13,自連賣
3	,2105.TW,正新,33.75,-0.74,1203,34.8,0.36,10,自連賣
4	,8478.TW,東哥遊艇,297,1.02,2514,85.2,257.53,10,自連賣
5	,1725.TW,元禎,20.15,-0.74,8,28.2,-24.59,9,自連賣
6	,9945.TW,潤泰新,43.65,-1.58,3379,67.5,0.11,9,自連賣
7	,1513.TW,中興電,66,0.15,12515,42.05,65.41,7,自連賣
8	,5603.TW,陸海,23.4,2.63,1037,33.6,-1.02,7,自連賣
9	,8422.TW,可寧衛,177.5,0,124,212,-11.67,7,自連賣
10	,2881.TW,富邦金,56.7,-0.18,6587,73.6,-14.03,6,自連賣
11	,2915.TW,潤泰全,66.7,0.15,4192,102.5,-29.46,6,自連賣
12	,3021.TW,鴻名,20.3,-0.73,12,22.4,-5.41,6,自連賣
13	,6290.TW,良維,54,-0.18,323,52.6,6.64,6,自連賣
14	,6641.TW,基士德-KY,53.7,1.51,0,56.8,1.9,6,自連賣
15	,8249.TW,菱光,27.35,0.92,91,26.1,11.31,6,自連賣
16	,2383.TW,台光電,176.5,-0.84,2034,230,-18.55,5,自連賣
17	,2401.TW,凌陽,22.85,-0.87,807,38.55,-36.12,5,自連賣
18	,2426.TW,鼎元,16.9,-0.59,149,25.8,-31.05,5,自連賣
19	,3088.TW,艾訊,58.2,1.04,164,54.7,12.12,5,自連賣
20	,3701.TW,大眾控,38.25,-0.39,146,57.5,-33.48,5,自連賣
21	,6451.TW,訊芯-KY,89.6,-2.71,809,96,-3.11,5,自連賣
22	,6457.TW,紘康,62.5,-1.26,183,160,-55.18,5,自連賣
23	,8086.TW,宏捷科,67.7,1.04,620,149,-52.69,5,自連賣
24	,8114.TW,振樺電,110,0.92,219,90,26.51,5,自連賣
25	,8444.TW,綠河-KY,39.5,-1.37,0,118.5,-66.45,5,自連賣
