符合條件商品
資料日期：2022年  6月 10日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/10),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:12 符合檔數(13)
1	,3162.TW,精確,49,-1.31,3011,40.45,21.14,10,自連賣
2	,3527.TW,聚積,100,0,154,152,-29.42,8,自連賣
3	,6182.TW,合晶,41.8,-0.36,1757,60.5,-28.92,8,自連賣
4	,8390.TW,金益鼎,36.8,-2.26,415,33.35,1.15,8,自連賣
5	,8091.TW,翔名,86,0.35,634,81.5,11.57,7,自連賣
6	,2030.TW,彰源,23.95,1.27,3219,28.85,-9.45,6,自連賣
7	,2637.TW,慧洋-KY,64.8,-3.28,13996,91,-28.79,6,自連賣
8	,6179.TW,亞通,24.4,1.88,231,31.4,-18.04,6,自連賣
9	,2314.TW,台揚,38.25,-0.13,479,60,-36.25,5,自連賣
10	,3707.TW,漢磊,86.9,0,3034,132.5,-34.16,5,自連賣
11	,6104.TW,創惟,88.8,0.23,2437,201,-55.82,5,自連賣
12	,6237.TW,驊訊,44.8,0.22,249,56,-18.26,5,自連賣
13	,6706.TW,惠特,89.3,1.59,265,151.5,-35.98,5,自連賣
