符合條件商品
資料日期：2022年  8月  1日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(08/01),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:05 符合檔數(16)
1	,2065.TW,世豐,50.9,-0.2,24,47.65,9.94,12,自連賣
2	,2535.TW,達欣工,29.7,0.17,102,29.85,-0.5,10,自連賣
3	,8039.TW,台虹,41,-0.61,92,41.35,-0.85,9,自連賣
4	,8070.TW,長華*,30.65,-0.16,272,33.05,-5.08,9,自連賣
5	,1710.TW,東聯,18.5,1.09,1345,17.6,5.11,8,自連賣
6	,3026.TW,禾伸堂,89.9,0,51,91.2,-1.43,7,自連賣
7	,6271.TW,同欣電,201,-4.29,2372,194.5,-6.51,7,自連賣
8	,2480.TW,敦陽科,82,-0.61,42,87.5,-6.29,6,自連賣
9	,6281.TW,全國電,81.2,-0.12,11,81,0.25,6,自連賣
10	,6823.TW,濾能,97.5,2.85,2,94.8,10.95,6,自連賣
11	,8069.TW,元太,167,-1.47,11565,189.5,-11.87,6,自連賣
12	,1440.TW,南紡,17.3,-1.42,812,18,-3.89,5,自連賣
13	,2937.TW,集雅社,36.5,0.27,20,37.5,-2.67,5,自連賣
14	,3023.TW,信邦,275.5,-0.18,232,273.5,3.25,5,自連賣
15	,6116.TW,彩晶,11.1,0.91,3518,9.86,12.58,5,自連賣
16	,6186.TW,新潤,34.1,1.04,1991,26.55,43.64,5,自連賣
