符合條件商品
資料日期：2022年  2月 14日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(02/14),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:29 符合檔數(17)
1	,2439.TW,美律,79.5,0.63,452,85,-1.79,17,自連賣
2	,2489.TW,瑞軒,9.93,1.02,1113,16.5,-32.86,16,自連賣
3	,2542.TW,興富發,40.35,-3.93,8630,46.85,3.41,14,自連賣
4	,3211.TW,順達,73.1,-0.14,70,100,-15.69,8,自連賣
5	,2459.TW,敦吉,51.4,-0.58,28,57.4,-3.69,6,自連賣
6	,3380.TW,明泰,28.55,-1.04,598,30.6,-4.1,6,自連賣
7	,2012.TW,春雨,23.9,0,133,30.05,-12,5,自連賣
8	,2454.TW,聯發科,660,-0.15,2431,1105,-34.33,5,自連賣
9	,2474.TW,可成,169,-1.74,2651,153.5,16.68,5,自連賣
10	,2852.TW,第一保,15.8,0.32,77,15.05,13.67,5,自連賣
11	,3033.TW,威健,26.5,0,428,30.15,-1.89,5,自連賣
12	,4720.TW,德淵,14.05,0.72,90,17.05,-16.37,5,自連賣
13	,4770.TW,上品,300.5,-4.6,1157,264,17.51,5,自連賣
14	,5288.TW,豐祥-KY,156,-1.58,158,152,5.46,5,自連賣
15	,5607.TW,遠雄港,50.7,-0.39,436,64.8,-19.16,5,自連賣
16	,6683.TW,雍智科技,189.5,0.26,103,264.5,-25.46,5,自連賣
17	,9906.TW,欣巴巴,44.3,0.11,12,52,-13.65,5,自連賣
