符合條件商品
資料日期：2021年 12月  9日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/09),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:36 符合檔數(30)
1	,1314.TW,中石化,9.86,-1,4928,12.7,-19.11,11,自連賣
2	,2809.TW,京城銀,33.9,-3.42,3989,40.15,-10.67,11,自連賣
3	,1316.TW,上曜,11.85,-1.25,498,20.25,-46.04,8,自連賣
4	,3231.TW,緯創,29.9,-0.83,12268,29.15,11.94,7,自連賣
5	,1101.TW,台泥,34.05,-1.16,23484,47.4,-19.04,6,自連賣
6	,1102.TW,亞泥,41.55,0.24,6062,43.5,3.44,6,自連賣
7	,1434.TW,福懋,26.3,-0.19,479,29.1,-6.07,6,自連賣
8	,1590.TW,亞德客-KY,911,0,242,897,3.32,6,自連賣
9	,1717.TW,長興,31.5,-1.25,930,36.6,-12.94,6,自連賣
10	,2108.TW,南帝,38.2,-0.26,608,79.7,-46.97,6,自連賣
11	,2324.TW,仁寶,22.95,0.44,9576,24,3.8,6,自連賣
12	,2337.TW,旺宏,35,0.57,15889,41.4,-9.93,6,自連賣
13	,2382.TW,廣達,71.2,-0.97,4354,89,-13.23,6,自連賣
14	,2458.TW,義隆,86.1,-1.71,718,160,-39.19,6,自連賣
15	,2883.TW,開發金,12.7,-0.78,8936,16.65,-17.96,6,自連賣
16	,2886.TW,兆豐金,30.55,-0.97,8425,35.3,-7.82,6,自連賣
17	,2915.TW,潤泰全,66.7,0.15,4192,97,-25.46,6,自連賣
18	,3044.TW,健鼎,96,1.59,1391,123,-16.49,6,自連賣
19	,3289.TW,宜特,77.8,1.7,3592,53.2,47.54,6,自連賣
20	,3702.TW,大聯大,47.8,-0.52,2583,50.2,1.98,6,自連賣
21	,6176.TW,瑞儀,106,0.47,1064,97.8,18.07,6,自連賣
22	,6213.TW,聯茂,71.9,0.42,941,128.5,-40.34,6,自連賣
23	,2356.TW,英業達,26,0.19,6530,25.65,7.66,5,自連賣
24	,2385.TW,群光,87.2,0.11,1118,81.8,14.87,5,自連賣
25	,2408.TW,南亞科,51.4,-0.58,5241,77.5,-29.07,5,自連賣
26	,2542.TW,興富發,40.35,-3.93,8630,46.5,4.21,5,自連賣
27	,3028.TW,增你強,28.6,1.06,236,31.65,1.1,5,自連賣
28	,3556.TW,禾瑞亞,55.5,-1.42,65,74.6,-16.5,5,自連賣
29	,3576.TW,聯合再生,20.4,-0.73,3970,22,-7.27,5,自連賣
30	,5522.TW,遠雄,58.5,0.34,1205,65,0.21,5,自連賣
