符合條件商品
資料日期：2021年 12月 10日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/10),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:35 符合檔數(40)
1	,1314.TW,中石化,9.86,-1,4928,12.45,-17.49,12,自連賣
2	,2809.TW,京城銀,33.9,-3.42,3989,40,-10.34,12,自連賣
3	,1316.TW,上曜,11.85,-1.25,498,20,-45.37,9,自連賣
4	,3231.TW,緯創,29.9,-0.83,12268,29.25,11.57,8,自連賣
5	,1101.TW,台泥,34.05,-1.16,23484,47.3,-18.87,7,自連賣
6	,1102.TW,亞泥,41.55,0.24,6062,43.45,3.54,7,自連賣
7	,1434.TW,福懋,26.3,-0.19,479,28.95,-5.6,7,自連賣
8	,1717.TW,長興,31.5,-1.25,930,36.8,-13.41,7,自連賣
9	,2108.TW,南帝,38.2,-0.26,608,80.6,-47.56,7,自連賣
10	,2382.TW,廣達,71.2,-0.97,4354,89.3,-13.52,7,自連賣
11	,2458.TW,義隆,86.1,-1.71,718,160,-39.19,7,自連賣
12	,2883.TW,開發金,12.7,-0.78,8936,16.6,-17.75,7,自連賣
13	,2886.TW,兆豐金,30.55,-0.97,8425,35.65,-8.72,7,自連賣
14	,2915.TW,潤泰全,66.7,0.15,4192,95.8,-24.52,7,自連賣
15	,3044.TW,健鼎,96,1.59,1391,124.5,-17.5,7,自連賣
16	,3702.TW,大聯大,47.8,-0.52,2583,50.4,1.57,7,自連賣
17	,6176.TW,瑞儀,106,0.47,1064,97.3,18.67,7,自連賣
18	,2356.TW,英業達,26,0.19,6530,25.55,8.06,6,自連賣
19	,2385.TW,群光,87.2,0.11,1118,81.3,15.59,6,自連賣
20	,2408.TW,南亞科,51.4,-0.58,5241,77.8,-29.35,6,自連賣
21	,2542.TW,興富發,40.35,-3.93,8630,46.5,4.21,6,自連賣
22	,3028.TW,增你強,28.6,1.06,236,32.15,-0.49,6,自連賣
23	,3556.TW,禾瑞亞,55.5,-1.42,65,74,-15.83,6,自連賣
24	,3576.TW,聯合再生,20.4,-0.73,3970,22.6,-9.73,6,自連賣
25	,5522.TW,遠雄,58.5,0.34,1205,65.3,-0.26,6,自連賣
26	,1460.TW,宏遠,7.14,-0.7,336,9.66,-26.09,5,自連賣
27	,1709.TW,和益,22.45,0,297,22.15,8.4,5,自連賣
28	,2303.TW,聯電,41.95,-2.1,34060,63.5,-29.66,5,自連賣
29	,2369.TW,菱生,13.2,-1.49,383,26.5,-45.99,5,自連賣
30	,2377.TW,微星,119.5,1.7,2513,166,-21.55,5,自連賣
31	,2436.TW,偉詮電,42,0.84,593,90.9,-51.2,5,自連賣
32	,3042.TW,晶技,83,0.73,539,101,-10.43,5,自連賣
33	,5371.TW,中光電,55,-0.36,3464,81.7,-27.56,5,自連賣
34	,5471.TW,松翰,51.1,-1.73,859,91.2,-37.54,5,自連賣
35	,6205.TW,詮欣,70.9,-0.7,430,62.1,17.91,5,自連賣
36	,6261.TW,久元,58,-0.51,75,83.1,-24.98,5,自連賣
37	,6435.TW,大中,99,-0.3,127,146,-27.99,5,自連賣
38	,6451.TW,訊芯-KY,89.6,-2.71,809,95.1,-2.2,5,自連賣
39	,6531.TW,愛普*,170,0,2500,513,-65.99,5,自連賣
40	,8064.TW,東捷,17.1,-1.72,381,21.2,-12.71,5,自連賣
