符合條件商品
資料日期：2021年 12月 30日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/30),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:32 符合檔數(13)
1	,2542.TW,興富發,40.35,-3.93,8630,46.25,4.75,20,自連賣
2	,4571.TW,鈞興-KY,73.8,-0.14,9,99.7,-21.82,13,自連賣
3	,2034.TW,允強,29.6,-0.5,3354,32.3,-3.05,9,自連賣
4	,5287.TW,數字,190.5,-0.26,4,266.5,-8.67,9,自連賣
5	,2028.TW,威致,29.2,0.69,4120,42.75,-23.96,8,自連賣
6	,2887.TW,台新金,15.2,0,6593,18.95,-12.79,8,自連賣
7	,5234.TW,達興材料,67.2,0.15,91,154,-53.4,7,自連賣
8	,3231.TW,緯創,29.9,-0.83,12268,29.15,11.94,6,自連賣
9	,1709.TW,和益,22.45,0,297,23.1,3.94,5,自連賣
10	,1802.TW,台玻,21.2,0.24,12096,26.75,-13.26,5,自連賣
11	,1909.TW,榮成,15.55,-0.32,1849,24.4,-31.13,5,自連賣
12	,2345.TW,智邦,237.5,-6.5,4085,260,-6.44,5,自連賣
13	,4128.TW,中天,66.8,-2.2,19523,69.3,5.73,5,自連賣
