符合條件商品
資料日期：2022年  1月  3日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/03),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:32 符合檔數(12)
1	,2542.TW,興富發,40.35,-3.93,8630,46.25,4.75,20,自連賣
2	,2034.TW,允強,29.6,-0.5,3354,32.2,-2.76,10,自連賣
3	,5287.TW,數字,190.5,-0.26,4,275.5,-11.65,10,自連賣
4	,2028.TW,威致,29.2,0.69,4120,41.95,-22.51,9,自連賣
5	,3231.TW,緯創,29.9,-0.83,12268,29,12.53,7,自連賣
6	,1909.TW,榮成,15.55,-0.32,1849,24.1,-30.27,6,自連賣
7	,2345.TW,智邦,237.5,-6.5,4085,261,-6.79,6,自連賣
8	,4128.TW,中天,66.8,-2.2,19523,66.7,9.85,6,自連賣
9	,2231.TW,為升,142,-2.07,335,187,-15.87,5,自連賣
10	,2426.TW,鼎元,16.9,-0.59,149,28.3,-37.13,5,自連賣
11	,2428.TW,興勤,119,-0.42,110,157,-20.71,5,自連賣
12	,6282.TW,康舒,30.4,0.83,1860,35.95,-12.74,5,自連賣
