符合條件商品
資料日期：2022年  1月  7日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/07),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:32 符合檔數(57)
1	,2542.TW,興富發,40.35,-3.93,8630,46.45,4.32,20,自連賣
2	,2034.TW,允強,29.6,-0.5,3354,31.35,-0.13,14,自連賣
3	,1909.TW,榮成,15.55,-0.32,1849,23.5,-28.47,10,自連賣
4	,4128.TW,中天,66.8,-2.2,19523,64.1,14.31,10,自連賣
5	,2426.TW,鼎元,16.9,-0.59,149,26.7,-33.36,9,自連賣
6	,2006.TW,東和鋼鐵,53.2,0.95,1881,65.7,-12.08,8,自連賣
7	,2481.TW,強茂,60.4,-0.33,2094,95,-32.88,8,自連賣
8	,3484.TW,崧騰,43,-0.69,72,84.1,-45.26,8,自連賣
9	,6191.TW,精成科,27.6,-1.08,433,36.95,-20.48,8,自連賣
10	,8040.TW,九暘,54.7,1.3,584,68.3,-18.71,8,自連賣
11	,8110.TW,華東,11.6,-1.28,672,17.55,-33.22,8,自連賣
12	,8215.TW,明基材,32.2,-2.72,1195,36.75,-7.71,8,自連賣
13	,2436.TW,偉詮電,42,0.84,593,90.6,-51.04,7,自連賣
14	,4743.TW,合一,259.5,-1.14,14786,265,-2.08,7,自連賣
15	,6233.TW,旺玖,20.55,-0.96,152,33.7,-39.02,7,自連賣
16	,6271.TW,同欣電,201,-4.29,2372,281,-32.03,7,自連賣
17	,6531.TW,愛普*,170,0,2500,436,-59.99,7,自連賣
18	,8054.TW,安國,31.05,-0.16,145,54.4,-40.3,7,自連賣
19	,2027.TW,大成鋼,43.15,-1.93,15303,44.6,2.86,6,自連賣
20	,2105.TW,正新,33.75,-0.74,1203,35.35,-1.2,6,自連賣
21	,2354.TW,鴻準,51.4,-1.15,1092,64.2,-16.94,6,自連賣
22	,2486.TW,一詮,21.55,-0.23,1380,47.55,-54.08,6,自連賣
23	,2489.TW,瑞軒,9.93,1.02,1113,17.05,-35.06,6,自連賣
24	,2617.TW,台航,27.25,-1.27,1531,35.55,-17.45,6,自連賣
25	,2881.TW,富邦金,56.7,-0.18,6587,75.7,-16.41,6,自連賣
26	,3260.TW,威剛,57.6,-0.17,970,87.3,-27.77,6,自連賣
27	,3380.TW,明泰,28.55,-1.04,598,31.35,-6.39,6,自連賣
28	,3530.TW,晶相光,71.8,-0.42,57,124.5,-39.73,6,自連賣
29	,3704.TW,合勤控,33.85,-2.31,2930,32.95,-1.94,6,自連賣
30	,4906.TW,正文,27.35,0.18,879,30.55,-5.07,6,自連賣
31	,6237.TW,驊訊,44.8,0.22,249,87.9,-47.93,6,自連賣
32	,6283.TW,淳安,32.4,-0.77,133,44.95,-27.92,6,自連賣
33	,8163.TW,達方,37.8,-0.13,469,47.3,-13.34,6,自連賣
34	,8422.TW,可寧衛,177.5,0,124,214,-12.5,6,自連賣
35	,8476.TW,台境,55.2,0.91,124,55.3,-0.18,6,自連賣
36	,2038.TW,海光,23.05,-3.15,5951,33.25,-26.12,5,自連賣
37	,2338.TW,光罩,86.3,0.94,3470,98.4,-9.99,5,自連賣
38	,2344.TW,華邦電,20.1,-0.99,9528,30.3,-31.09,5,自連賣
39	,2347.TW,聯強,61,-0.81,2957,66,-0.47,5,自連賣
40	,2363.TW,矽統,15.95,-0.93,935,24.45,-25.74,5,自連賣
41	,2369.TW,菱生,13.2,-1.49,383,26.05,-45.07,5,自連賣
42	,2408.TW,南亞科,51.4,-0.58,5241,73.7,-25.42,5,自連賣
43	,3006.TW,晶豪科,66.2,0,3117,148.5,-51.01,5,自連賣
44	,3034.TW,聯詠,301.5,-0.17,3163,507,-28.23,5,自連賣
45	,3081.TW,聯亞,110.5,-0.9,1673,183.5,-38.11,5,自連賣
46	,3217.TW,優群,80.7,0.37,119,126,-30.73,5,自連賣
47	,3293.TW,鈊象,425.5,-0.23,3602,732,24.2,5,自連賣
48	,3630.TW,新鉅科,28.5,-0.52,100,37.85,-24.7,5,自連賣
49	,3708.TW,上緯投控,94.6,-1.77,1112,91,5.24,5,自連賣
50	,4961.TW,天鈺,117,0.86,1402,240,-43.95,5,自連賣
51	,4966.TW,譜瑞-KY,825,0.86,553,1900,-55.38,5,自連賣
52	,5371.TW,中光電,55,-0.36,3464,83.1,-28.77,5,自連賣
53	,6188.TW,廣明,40.45,-0.37,336,45.45,-4.69,5,自連賣
54	,6274.TW,台燿,52.5,1.16,910,98.2,-42.7,5,自連賣
55	,6457.TW,紘康,62.5,-1.26,183,178,-59.71,5,自連賣
56	,6485.TW,點序,66,-1.35,363,133.5,-47.13,5,自連賣
57	,8150.TW,南茂,32.9,1.23,1428,47.1,-22.73,5,自連賣
