符合條件商品
資料日期：2022年 10月  7日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/07),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:48 符合檔數(11)
1	,4577.TW,達航科技,31.15,0.16,67,30.85,0.97,10,自連賣
2	,6585.TW,鼎基,55.9,6.88,488,51.3,8.97,9,自連賣
3	,8411.TW,福貞-KY,13.1,-0.76,94,14.35,-8.71,8,自連賣
4	,1477.TW,聚陽,238.5,0,510,197.5,20.76,6,自連賣
5	,5371.TW,中光電,55,-0.36,3464,55.7,-1.26,6,自連賣
6	,1720.TW,生達,59.1,0.17,11057,46,28.48,5,自連賣
7	,3047.TW,訊舟,15.6,-1.27,2156,17.2,-9.3,5,自連賣
8	,3622.TW,洋華,27.5,0.18,36,27.75,-0.9,5,自連賣
9	,3703.TW,欣陸,28.15,0.18,655,30.2,-6.79,5,自連賣
10	,6509.TW,聚和,41.15,4.71,2507,38.75,6.19,5,自連賣
11	,9941.TW,裕融,156.5,0,327,146,7.19,5,自連賣
