符合條件商品
資料日期：2022年  5月 23日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/23),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:15 符合檔數(10)
1	,3005.TW,神基,43.55,0.35,857,44.6,-2.35,8,自連賣
2	,6804.TW,明係,54.3,0.37,16,52.1,5.42,8,自連賣
3	,2453.TW,凌群,25.45,0.79,70,27.05,1.35,6,自連賣
4	,2498.TW,宏達電,55,-0.72,14502,47.3,16.28,6,自連賣
5	,3685.TW,元創精密,19.5,0.26,74,24.75,-21.21,6,自連賣
6	,3701.TW,大眾控,38.25,-0.39,146,52.9,-27.69,6,自連賣
7	,5483.TW,中美晶,143.5,-1.37,3418,162.5,-8.85,6,自連賣
8	,2007.TW,燁興,12.7,1.2,8163,15.45,-17.8,5,自連賣
9	,2353.TW,宏碁,23.15,0.22,5082,27.85,-8.64,5,自連賣
10	,2392.TW,正崴,36.85,-0.94,578,33.6,14.94,5,自連賣
