符合條件商品
資料日期：2022年 11月  2日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/02),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:37 符合檔數(13)
1	,4577.TW,達航科技,31.15,0.16,67,29.75,4.71,20,自連賣
2	,1586.TW,和勤,33.5,-0.59,70,34.35,-2.47,9,自連賣
3	,6854.TW,錼創科技-KY創,102,-4.23,79,96.8,5.37,9,自連賣
4	,2889.TW,國票金,11.35,0,2314,11.15,1.79,6,自連賣
5	,3388.TW,崇越電,72.9,-0.14,4,70.9,2.82,6,自連賣
6	,1737.TW,臺鹽,32.15,0,25,30.25,6.28,5,自連賣
7	,2474.TW,可成,169,-1.74,2651,172,-1.74,5,自連賣
8	,2851.TW,中再保,18.45,1.1,929,17.85,3.36,5,自連賣
9	,3023.TW,信邦,275.5,-0.18,232,255.5,7.83,5,自連賣
10	,4566.TW,時碩工業,51.4,0.59,362,51.8,-0.77,5,自連賣
11	,5534.TW,長虹,73.6,2.22,690,71,3.66,5,自連賣
12	,6690.TW,安碁資訊,112,0,4,104.5,7.18,5,自連賣
13	,9939.TW,宏全,86.9,2.12,1021,83.3,4.32,5,自連賣
