符合條件商品
資料日期：2022年 11月  3日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/03),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:36 符合檔數(9)
1	,4577.TW,達航科技,31.15,0.16,67,31.6,-1.42,20,自連賣
2	,2889.TW,國票金,11.35,0,2314,11.1,2.25,7,自連賣
3	,3388.TW,崇越電,72.9,-0.14,4,71,2.68,7,自連賣
4	,1737.TW,臺鹽,32.15,0,25,30.2,6.46,6,自連賣
5	,2474.TW,可成,169,-1.74,2651,172.5,-2.03,6,自連賣
6	,3023.TW,信邦,275.5,-0.18,232,257.5,6.99,6,自連賣
7	,6690.TW,安碁資訊,112,0,4,112.5,-0.44,6,自連賣
8	,9939.TW,宏全,86.9,2.12,1021,84,3.45,6,自連賣
9	,6248.TW,沛波,22.6,0.44,273,20.5,10.24,5,自連賣
