符合條件商品
資料日期：2022年 11月  7日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/07),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:36 符合檔數(10)
1	,4577.TW,達航科技,31.15,0.16,67,33.1,-5.89,20,自連賣
2	,2889.TW,國票金,11.35,0,2314,11.25,0.89,9,自連賣
3	,2474.TW,可成,169,-1.74,2651,173.5,-2.59,8,自連賣
4	,6690.TW,安碁資訊,112,0,4,107.5,4.19,8,自連賣
5	,2358.TW,廷鑫,14.7,-2,2597,14.35,4.26,6,自連賣
6	,3005.TW,神基,43.55,0.35,857,39.65,9.84,6,自連賣
7	,3416.TW,融程電,83,0.36,22,83.7,-0.84,6,自連賣
8	,5536.TW,聖暉*,102.5,-0.97,167,96.1,6.66,6,自連賣
9	,2352.TW,佳世達,27.5,1.66,4573,27,1.85,5,自連賣
10	,8086.TW,宏捷科,67.7,1.04,620,63.6,6.45,5,自連賣
