符合條件商品
資料日期：2022年  8月 24日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(08/24),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:02 符合檔數(27)
1	,3026.TW,禾伸堂,89.9,0,51,90,-0.11,20,自連賣
2	,8039.TW,台虹,41,-0.61,92,41.15,-0.36,20,自連賣
3	,2546.TW,根基,50.5,0.2,33,50.5,0,11,自連賣
4	,5880.TW,合庫金,25.95,-0.76,4866,27,-3.89,11,自連賣
5	,6763.TW,綠界科技,412,7.57,105,497.5,-17.19,9,自連賣
6	,8942.TW,森鉅,60.2,-0.17,53,65.7,-5.39,9,自連賣
7	,1608.TW,華榮,13.9,-1.42,1366,15.5,-10.32,8,自連賣
8	,6121.TW,新普,288.5,-0.35,276,284,6.37,8,自連賣
9	,2020.TW,美亞,23.5,-0.63,75,24.6,-4.47,7,自連賣
10	,5536.TW,聖暉*,102.5,-0.97,167,196,4.59,7,自連賣
11	,1326.TW,台化,69.4,-0.72,1689,69.7,-0.43,6,自連賣
12	,2481.TW,強茂,60.4,-0.33,2094,68.1,-11.31,6,自連賣
13	,2617.TW,台航,27.25,-1.27,1531,28.25,-3.54,6,自連賣
14	,2897.TW,王道銀行,8.32,-0.36,812,8.51,-2.23,6,自連賣
15	,8110.TW,華東,11.6,-1.28,672,13.15,-11.79,6,自連賣
16	,2105.TW,正新,33.75,-0.74,1203,35.25,-4.26,5,自連賣
17	,2412.TW,中華電,112.5,-0.44,6521,122,-7.79,5,自連賣
18	,2498.TW,宏達電,55,-0.72,14502,59.5,-7.56,5,自連賣
19	,2504.TW,國產,25.1,1.01,1440,25.2,-0.4,5,自連賣
20	,2845.TW,遠東銀,11.1,-0.89,1864,11.95,-2.2,5,自連賣
21	,3162.TW,精確,49,-1.31,3011,49.7,-1.41,5,自連賣
22	,3406.TW,玉晶光,364,-0.68,820,403,-9.68,5,自連賣
23	,3701.TW,大眾控,38.25,-0.39,146,52.7,-27.42,5,自連賣
24	,6118.TW,建達,35.35,-0.98,2147,41.95,-15.13,5,自連賣
25	,6505.TW,台塑化,80.1,-1.11,1418,85.1,-5.88,5,自連賣
26	,6854.TW,錼創科技-KY創,102,-4.23,79,115.5,-11.69,5,自連賣
27	,8121.TW,越峰,25.05,-1.38,169,32.1,-21.96,5,自連賣
