符合條件商品
資料日期：2022年  2月  9日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(02/09),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:30 符合檔數(13)
1	,2439.TW,美律,79.5,0.63,452,91.8,-9.07,14,自連賣
2	,2489.TW,瑞軒,9.93,1.02,1113,16.95,-34.67,13,自連賣
3	,2542.TW,興富發,40.35,-3.93,8630,47,3.09,11,自連賣
4	,5014.TW,建錩,18.95,2.16,16605,20.4,-0.37,11,自連賣
5	,3357.TW,臺慶科,80.1,-0.5,17,124.5,-29.95,10,自連賣
6	,2314.TW,台揚,38.25,-0.13,479,67.1,-43,9,自連賣
7	,2539.TW,櫻花建,31.95,0,247,31,18.07,9,自連賣
8	,4566.TW,時碩工業,51.4,0.59,362,44.9,17.3,7,自連賣
9	,6214.TW,精誠,70,-0.28,922,84.3,-11.04,6,自連賣
10	,3211.TW,順達,73.1,-0.14,70,103,-18.14,5,自連賣
11	,5009.TW,榮剛,37.5,-0.66,11974,21.95,80.64,5,自連賣
12	,6138.TW,茂達,117.5,-0.42,755,228.5,-44.94,5,自連賣
13	,6206.TW,飛捷,65.6,0.46,146,75.1,-8.7,5,自連賣
