符合條件商品
資料日期：2022年 10月  3日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/03),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:50 符合檔數(18)
1	,4157.TW,太景*-KY,16.15,-1.52,3200,14.8,9.12,19,自連賣
2	,6706.TW,惠特,89.3,1.59,265,82.7,7.98,15,自連賣
3	,2231.TW,為升,142,-2.07,335,163,-4.17,13,自連賣
4	,1708.TW,東鹼,40.75,-1.33,1193,41.9,-2.74,12,自連賣
5	,3701.TW,大眾控,38.25,-0.39,146,37.35,2.41,10,自連賣
6	,3645.TW,達邁,32.55,-1.21,101,33.5,-2.84,9,自連賣
7	,3228.TW,金麗科,187,-1.32,123,287,-34.84,8,自連賣
8	,6830.TW,汎銓,98,-0.1,49,91.8,6.75,7,自連賣
9	,1227.TW,佳格,39.4,-0.51,249,38.2,3.14,6,自連賣
10	,2208.TW,台船,19.5,-0.51,1938,16,21.88,6,自連賣
11	,4577.TW,達航科技,31.15,0.16,67,30.9,0.81,6,自連賣
12	,8341.TW,日友,162.5,-7.41,2828,153,6.21,6,自連賣
13	,2013.TW,中鋼構,59.3,-0.84,197,52.2,13.6,5,自連賣
14	,3093.TW,港建*,27.65,2.79,195,92.4,-70.08,5,自連賣
15	,4123.TW,晟德,46.35,0.65,1096,45.9,0.98,5,自連賣
16	,6111.TW,大宇資,61.4,3.89,5227,48,27.92,5,自連賣
17	,6585.TW,鼎基,55.9,6.88,488,51.5,8.54,5,自連賣
18	,8163.TW,達方,37.8,-0.13,469,38.95,-2.95,5,自連賣
