符合條件商品
資料日期：2022年  3月  4日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(03/04),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:27 符合檔數(16)
1	,2542.TW,興富發,40.35,-3.93,8630,50.5,-4.04,20,自連賣
2	,3596.TW,智易,98.3,-0.2,490,113.5,-7.66,11,自連賣
3	,2852.TW,第一保,15.8,0.32,77,14.8,15.58,9,自連賣
4	,2108.TW,南帝,38.2,-0.26,608,73.1,-42.17,6,自連賣
5	,2383.TW,台光電,176.5,-0.84,2034,273,-31.38,6,自連賣
6	,4743.TW,合一,259.5,-1.14,14786,241,7.68,6,自連賣
7	,8110.TW,華東,11.6,-1.28,672,17.2,-31.84,6,自連賣
8	,8213.TW,志超,36.4,0,113,50,-18.4,6,自連賣
9	,9802.TW,鈺齊-KY,162,0.31,3063,113,47.15,6,自連賣
10	,2356.TW,英業達,26,0.19,6530,25.3,9.15,5,自連賣
11	,2427.TW,三商電,11.95,0,66,12.8,-4.02,5,自連賣
12	,2441.TW,超豐,48.2,-2.33,4006,74.1,-29.56,5,自連賣
13	,2816.TW,旺旺保,15.85,-0.31,49,19.55,-13.81,5,自連賣
14	,5347.TW,世界,81.5,-1.69,3288,127,-31.63,5,自連賣
15	,5519.TW,隆大,22.8,0.44,85,23.3,7.34,5,自連賣
16	,8390.TW,金益鼎,36.8,-2.26,415,36.75,-8.18,5,自連賣
