符合條件商品
資料日期：2021年 11月 26日
策略,	01每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融券使用率,	法人持股比例,	融資使用率,	投信持股比例
執行時間：2021-11-29 08:48 符合檔數(1446)
1	,1101.TW,台泥,46.5,-1.38,25062,0.01,25.84,0.46,2.42
2	,1102.TW,亞泥,42.25,-0.24,10446,0.03,22.28,0.33,2.41
3	,1103.TW,嘉泥,20.35,-2.16,1080,0,5.69,1.19,0.04
4	,1104.TW,環泥,20.95,-1.18,494,0.01,12.09,1.07,0
5	,1108.TW,幸福,11.55,-1.7,518,0,1.01,3.03,0
6	,1109.TW,信大,20.35,-1.93,648,0,4.55,1.18,0
7	,1110.TW,東泥,19.8,-1.74,1378,0.01,7.22,4.25,0.02
8	,1201.TW,味全,22,-1.35,1033,0.01,11.45,2.33,0
9	,1203.TW,味王,33.1,-0.15,13,0,1.86,0.29,0
10	,1210.TW,大成,52.5,-0.57,1498,0.07,12.05,0.53,0.22
11	,1215.TW,卜蜂,80.3,-0.62,508,0,40.17,1.01,0.87
12	,1216.TW,統一,67.4,-1.03,5085,0,45.01,0.09,1.14
13	,1217.TW,愛之味,10.3,-1.9,2076,0.01,8.1,10.22,0
14	,1218.TW,泰山,26.95,-1.1,337,0,2.25,1.78,0
15	,1219.TW,福壽,20.7,-0.72,291,0.02,4.01,9.1,0.03
16	,1220.TW,台榮,15.5,-0.32,175,0.05,7.35,2.25,0
17	,1225.TW,福懋油,50.4,-0.98,113,0,0.73,8.54,0
18	,1227.TW,佳格,51.7,0.19,1051,0,7.05,1.02,0.17
19	,1229.TW,聯華,56.5,-0.88,1549,0,12.05,0.26,0.1
20	,1231.TW,聯華食,68,-0.44,107,0,1.92,0.26,0.02
21	,1232.TW,大統益,160.5,-0.93,52,0,2.06,0.15,0.71
22	,1233.TW,天仁,34.15,0.44,43,0,5.29,0,0
23	,1234.TW,黑松,34.9,-0.71,125,0,5.21,0.14,0
24	,1235.TW,興泰,45.25,0,412,0,0.23,20.9,0
25	,1236.TW,宏亞,19.6,-3.21,420,0.65,0.34,7.74,0
26	,1240.TW,茂生農經,51,-0.58,21,0,0.28,1.02,0
27	,1256.TW,鮮活果汁-KY,360.5,-0.14,22,0,5.15,1.43,0.1
28	,1258.TW,其祥-KY,17.5,-0.57,4,0,72.04,0.28,0
29	,1259.TW,安心,68.8,-0.58,12,0,26.29,0.14,0
30	,1264.TW,德麥,294,-0.17,15,0,7.68,0.05,0
31	,1268.TW,漢來美食,118.5,-0.42,20,0,0.18,0.31,0
32	,1301.TW,台塑,103.5,-1.43,6125,0,39.18,0.16,0.97
33	,1303.TW,南亞,84,-2.67,13816,0.01,33.97,0.17,0.89
34	,1304.TW,台聚,33.4,1.06,6798,0.1,40.74,5.89,0.12
35	,1305.TW,華夏,35.15,-1.68,6714,0.09,12.08,12.39,0
36	,1307.TW,三芳,20.85,-0.48,151,0,11.29,0.57,0
37	,1308.TW,亞聚,37.6,-0.53,6739,0.16,10.24,15.56,0.06
38	,1309.TW,台達化,34.65,-2.53,2083,1.48,3.4,8.99,0
39	,1310.TW,台苯,17.65,-1.12,1488,0.01,8.61,5.39,0.02
40	,1312.TW,國喬,29.8,0.17,63109,0.36,26.1,24.3,0
41	,1313.TW,聯成,22.1,-1.78,3852,0.06,9.2,5.71,0.01
42	,1314.TW,中石化,13.1,-2.24,46058,0.23,12.86,18.55,0.01
43	,1315.TW,達新,67.7,0.59,246,0,1.9,1.37,0.02
44	,1316.TW,上曜,21.85,-2.02,26620,10.83,2.56,73.21,0
45	,1319.TW,東陽,32.7,-1.06,781,0.04,15,2.31,0.11
46	,1321.TW,大洋,35.7,-1.24,533,0,2.49,3.31,0
47	,1323.TW,永裕,34.9,-1.27,73,0,3.48,0.87,0
48	,1324.TW,地球,10.95,-0.9,98,0,0.75,2.08,0
49	,1325.TW,恆大,43.85,9.9,2759,10.18,9.47,17.6,0
50	,1326.TW,台化,79.4,-0.87,5753,0,35.96,0.11,0.49
51	,1336.TW,台翰,20.6,-0.48,38,0.01,1.32,12.04,0
52	,1337.TW,再生-KY,7.12,-1.79,1228,0.11,24.35,25.34,0
