符合條件商品
資料日期：2021年 12月 10日
策略,	00每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例,	法人持股比例,	融資使用率,	內部人持股比例
執行時間：2021-12-12 22:25 符合檔數(1450)
78	,1453.TW,大將,8.98,1.47,240,74.1,0.27,4.38,22.22
79	,1454.TW,台富,12.7,-0.78,1844,62.95,0.47,11.73,18.39
80	,1455.TW,集盛,16.75,-0.89,2720,49.31,2.83,19.82,24.69
81	,1456.TW,怡華,22,-3.72,397,81.29,13.61,8.27,47.63
82	,1457.TW,宜進,18.2,-0.82,302,59.16,2.35,4.61,9.98
83	,1459.TW,聯發,13.4,-1.11,376,73.22,1.93,0.87,17.83
84	,1463.TW,強盛,14.55,-1.02,119,54.51,2.48,5.48,21.83
85	,1464.TW,得力,15.45,0.65,111,52.32,1.68,2.39,10.13
86	,1465.TW,偉全,12.3,0,48,59.21,0.51,19.35,16.74
87	,1466.TW,聚隆,15.3,-1.29,144,53.03,1.58,18.84,20.62
88	,1467.TW,南緯,13.95,-0.71,595,62.19,20.1,32.46,43.96
89	,1470.TW,大統新創,18.1,-3.21,107,70.76,0.21,0.06,21.58
90	,1473.TW,台南,17.85,0.28,14,60.33,9.07,1.01,21.97
91	,1474.TW,弘裕,15.15,-0.66,291,41.51,1.55,16.27,18.77
92	,1476.TW,儒鴻,618,-1.75,815,69.3,43.72,0.63,17.79
93	,1477.TW,聚陽,247,-0.8,844,56.41,31.94,2.4,11.2
94	,1503.TW,士電,54.1,1.12,63,84.22,32.06,0.12,28.06
95	,1504.TW,東元,30.65,0.16,582,80.99,23.07,1.11,8.82
96	,1507.TW,永大,64.4,0,570,85.51,13.42,0.03,8.29
97	,1513.TW,中興電,43.7,-0.11,1364,41.91,8.76,15.4,10.21
98	,1514.TW,亞力,24.75,1.85,1320,40.62,8.93,5.74,16.63
99	,1515.TW,力山,59,-0.34,1333,47.56,8.05,19.16,13.57
100	,1516.TW,川飛,23.7,0,118,49.74,0.63,30.22,26.54
101	,1517.TW,利奇,28.15,2.55,5612,44.87,3.67,10.33,14.4
102	,1519.TW,華城,34.9,0.14,315,65.84,6.59,6.83,20.57
103	,1521.TW,大億,41.4,0,33,60.02,33.35,0.66,34.19
104	,1522.TW,堤維西,19.1,-0.52,227,55.49,5.85,2,8.43
105	,1524.TW,耿鼎,11.15,-0.45,666,47.08,0.35,10.82,26.36
106	,1525.TW,江申,59.6,-2.13,9,81.69,0.46,7.34,77.83
107	,1526.TW,日馳,49.05,0.1,159,30.21,3.64,27.56,28.08
108	,1527.TW,鑽全,42.6,-0.23,126,22.92,9.25,6.05,15.51
109	,1528.TW,恩德,11.55,-0.43,901,49.12,3.75,10.43,13.2
110	,1529.TW,樂士,20.9,-6.28,6313,69.21,7.34,33.53,21.39
111	,1530.TW,亞崴,33.35,2.3,8,74.92,0.79,1.04,58.93
112	,1531.TW,高林股,15.6,-0.95,70,60.86,2.53,2.8,32.29
113	,1532.TW,勤美,32.5,-0.91,174,67.85,11.92,3.01,20.06
114	,1533.TW,車王電,57.1,-3.38,589,52.43,5.55,11.09,35.5
115	,1535.TW,中宇,39.1,0.51,37,76,1.06,0.31,60.43
116	,1536.TW,和大,90.9,0.44,620,54.47,13.54,7.23,12.91
117	,1537.TW,廣隆,138.5,-0.36,71,43.91,18.9,0.78,17
118	,1539.TW,巨庭,23.55,-0.63,1377,58.1,0.62,10.32,15.1
119	,1540.TW,喬福,15,0.67,106,31,0.41,1.32,20.83
120	,1541.TW,錩泰,44,1.15,1,80.56,9.72,0.79,38.66
121	,1558.TW,伸興,146,0,15,11.27,8.29,2.67,11.74
122	,1560.TW,中砂,90.1,-0.11,1239,45.46,15.52,16.5,16.77
123	,1565.TW,精華,317.5,0.95,234,19.33,32.41,9.13,8.86
124	,1568.TW,倉佑,20.95,-0.71,67,54.15,1.65,5.98,21.37
