符合條件商品
資料日期：2023年  4月 17日
策略,	10主力買比
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2023-04-17 23:39 符合檔數(553)
113	,1752.TW,南光,80.3,10,5994,1.71
114	,6160.TW,欣技,32.15,9.91,8485,1.7
115	,2428.TW,興勤,163,0.62,668,1.7
116	,5608.TW,四維航,27.3,0.74,3194,1.69
117	,3535.TW,晶彩科,22.55,0.89,336,1.69
118	,3236.TW,千如,30.85,0.98,930,1.69
119	,6231.TW,系微,132,6.45,3660,1.69
120	,3092.TW,鴻碩,37.2,3.62,719,1.68
121	,8112.TW,至上,44.7,0.9,1642,1.68
122	,2301.TW,光寶科,75.3,-1.31,9093,1.68
123	,2302.TW,麗正,22.3,1.83,2291,1.67
124	,5438.TW,東友,18.9,3,103,1.67
125	,8924.TW,大田,126.5,2.02,512,1.67
126	,3546.TW,宇峻,81.2,0.5,152,1.67
127	,4942.TW,嘉彰,38.3,0.66,151,1.67
128	,4931.TW,新盛力,47.9,5.51,3389,1.67
129	,4406.TW,新昕纖,10.25,0.99,66,1.66
130	,6591.TW,動力-KY,53,0.57,256,1.65
131	,5228.TW,鈺鎧,22.8,-0.44,29,1.65
132	,3025.TW,星通,36.3,10,16319,1.65
133	,9951.TW,皇田,72.8,0.97,182,1.65
134	,2474.TW,可成,184.5,0,660,1.65
135	,1326.TW,台化,69.9,-0.43,1984,1.64
136	,6438.TW,迅得,112,5.66,2710,1.64
137	,1701.TW,中化,26.85,1.13,4374,1.64
138	,4566.TW,時碩工業,61,9.91,4012,1.64
139	,2616.TW,山隆,32.5,0.15,114,1.64
140	,2025.TW,千興,5.59,-0.18,649,1.63
141	,2605.TW,新興,25.25,0.2,3620,1.63
142	,3669.TW,圓展,46.25,0.54,106,1.62
143	,3617.TW,碩天,133.5,0.75,687,1.62
144	,1785.TW,光洋科,37.95,2.02,2591,1.62
145	,8431.TW,匯鑽科,67,2.6,448,1.62
146	,1240.TW,茂生農經,46.25,1.43,93,1.62
147	,6655.TW,科定,128,0,34,1.62
148	,4952.TW,凌通,58,1.22,297,1.61
149	,9927.TW,泰銘,45.55,2.36,789,1.61
150	,6417.TW,韋僑,169,9.74,3338,1.61
151	,6531.TW,愛普*,315,0.64,3334,1.6
152	,3515.TW,華擎,144,1.41,528,1.6
153	,1711.TW,永光,19.3,1.85,2180,1.6
154	,6788.TW,華景電,140.5,2.55,791,1.6
155	,3078.TW,僑威,53.4,8.21,21399,1.6
156	,2431.TW,聯昌,11.6,3.11,806,1.59
157	,2637.TW,慧洋-KY,66,1.38,3445,1.59
158	,2405.TW,輔信,13,1.56,2166,1.59
159	,2617.TW,台航,32.9,0.61,1263,1.59
160	,1586.TW,和勤,34.15,1.49,216,1.59
