符合條件商品
資料日期：2023年  4月 17日
策略,	11主力賣比
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力賣出比
執行時間：2023-04-17 23:39 符合檔數(431)
1	,1102.TW,亞泥,43.75,0.23,3361,1.91
2	,1109.TW,信大,17.55,-0.28,535,2.19
3	,1201.TW,味全,20.1,-0.25,499,1.42
4	,1216.TW,統一,73.3,0.27,3986,1.44
5	,1220.TW,台榮,16.75,0,463,1.54
6	,1227.TW,佳格,40.4,-0.25,1313,2.05
7	,1229.TW,聯華,60.2,1.35,4006,1.38
8	,1232.TW,大統益,148.5,-0.34,65,1.39
9	,1264.TW,德麥,276,-0.18,27,1.7
10	,1268.TW,漢來美食,148,1.72,449,1.51
11	,1301.TW,台塑,94,0.75,5686,1.82
12	,1303.TW,南亞,77.7,-0.26,3293,5.26
13	,1341.TW,富林-KY,69.9,-0.14,15,2.6
14	,1414.TW,東和,17.85,0.28,69,2
15	,1416.TW,廣豐,11.7,0.43,772,1.88
16	,1423.TW,利華,20.95,-0.95,220,3.41
17	,1438.TW,三地開發,31.8,0.32,89,1.63
18	,1439.TW,雋揚,22.35,-0.45,36,2.03
19	,1441.TW,大東,8.09,-0.12,115,2.71
20	,1442.TW,名軒,33.85,0,582,1.52
21	,1446.TW,宏和,32.25,1.26,233,2.19
22	,1455.TW,集盛,10.8,0.93,860,1.56
23	,1456.TW,怡華,15.85,1.28,132,2.55
24	,1457.TW,宜進,18.75,0,158,1.66
25	,1459.TW,聯發,9.05,-0.66,84,1.8
26	,1466.TW,聚隆,11.7,-0.43,50,1.44
27	,1467.TW,南緯,11.5,-0.43,514,2.57
28	,1468.TW,昶和,15.1,-1.63,76,1.73
29	,1474.TW,弘裕,12.8,-0.78,255,2.39
30	,1477.TW,聚陽,224,-1.75,1368,1.71
31	,1514.TW,亞力,51.5,1.58,31534,1.38
32	,1516.TW,川飛,20.45,-0.24,229,1.48
33	,1517.TW,利奇,19.95,-0.75,407,1.85
34	,1527.TW,鑽全,43.45,0.12,214,1.37
35	,1531.TW,高林股,14.45,-0.34,145,2.64
36	,1537.TW,廣隆,142.5,-0.7,113,1.85
37	,1538.TW,正峰,9.86,4.01,416,17.13
38	,1565.TW,精華,261,-0.95,126,1.61
39	,1569.TW,濱川,24.95,-0.4,399,2.4
40	,1580.TW,新麥,106.5,0.47,162,1.46
41	,1583.TW,程泰,67.7,-0.88,17,2.2
42	,1589.TW,永冠-KY,80.9,-1.82,5985,1.46
43	,1593.TW,祺驊,78.2,0.39,23,1.44
44	,1598.TW,岱宇,45.2,0.89,233,1.56
45	,1599.TW,宏佳騰,39.25,0.13,75,1.55
46	,1605.TW,華新,51.9,0.78,69105,1.49
47	,1609.TW,大亞,28.4,-0.7,21491,1.35
48	,1614.TW,三洋電,37.3,-0.27,87,1.58
49	,1615.TW,大山,36.5,-0.14,234,2.07
50	,1617.TW,榮星,15.05,0,62,3.91
51	,1618.TW,合機,19.5,-1.76,6065,1.53
52	,1626.TW,艾美特-KY,18.55,-0.8,82,2.63
53	,1718.TW,中纖,8.41,-0.24,2380,1.4
54	,1722.TW,台肥,57.5,-0.35,1243,1.63
55	,1725.TW,元禎,21.3,0,24,1.75
56	,1737.TW,臺鹽,33.8,0,184,1.41
57	,1742.TW,台蠟,14.8,-0.67,162,2.03
58	,1760.TW,寶齡富錦,170.5,-1.73,2523,1.55
59	,1776.TW,展宇,16.95,0,38,3.27
60	,1788.TW,杏昌,144,0.7,56,1.51
61	,1799.TW,易威,20.2,-0.49,68,1.64
62	,1805.TW,寶徠,10.15,0,27,1.5
63	,1808.TW,潤隆,73.6,-0.41,224,1.45
64	,1813.TW,寶利徠,22.25,-0.22,80,1.86
65	,1906.TW,寶隆,16.05,0.63,1150,1.88
66	,2015.TW,豐興,69.3,0.14,182,1.6
67	,2020.TW,美亞,23.6,0,174,2.21
68	,2032.TW,新鋼,20.1,-0.25,282,1.41
69	,2035.TW,唐榮,31.3,0,22,1.52
70	,2038.TW,海光,22.05,-0.68,272,1.76
71	,2061.TW,風青,21.15,1.2,64,1.48
72	,2067.TW,嘉鋼,12.15,1.25,42,4.26
73	,2102.TW,泰豐,21.65,-0.23,227,1.64
74	,2103.TW,台橡,28.15,-0.35,773,1.51
75	,2105.TW,正新,37.9,-0.26,4710,1.75
