符合條件商品
資料日期：2022年 12月 30日
策略,	A06突破6月均量
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/30),	區間漲幅%
執行時間：2023-01-04 00:51 符合檔數(658)
416	,5206.TW,坤悅,15.95,-1.85,98,16.25,-1.85
417	,5212.TW,凌網,37.15,0.68,68,36.9,0.68
418	,5220.TW,萬達光電,28.2,0,5,28.2,0
419	,5222.TW,全訊,138.5,-0.36,151,139,-0.36
420	,5230.TW,雷笛克光學,23.05,0,23,23.05,0
421	,5244.TW,弘凱,26.95,1.7,10,26.5,1.7
422	,5263.TW,智崴,126,-1.95,417,128.5,-1.95
423	,5278.TW,尚凡,187,-3.11,42,193,-3.11
424	,5283.TW,禾聯碩,105.5,-0.47,42,106,-0.47
425	,5284.TW,jpp-KY,69.5,2.96,1076,67.5,2.96
426	,5287.TW,數字,189,-0.53,5,190,-0.53
427	,5288.TW,豐祥-KY,165,0.61,138,164,0.61
428	,5289.TW,宜鼎,184,-0.81,35,185.5,-0.81
429	,5306.TW,桂盟,142.5,1.79,70,140,1.79
430	,5309.TW,系統電,39,1.83,948,38.3,1.83
431	,5315.TW,光聯,18.1,0.28,56,18.05,0.28
432	,5328.TW,華容,10.1,0,40,10.1,0
433	,5345.TW,天揚,6.55,1.55,13,6.45,1.55
434	,5386.TW,青雲,36.4,4.6,2351,34.8,4.6
435	,5392.TW,能率,20,-1.96,210,20.4,-1.96
436	,5398.TW,慕康生醫,16.5,0.61,9,16.4,0.61
437	,5443.TW,均豪,28,1.45,294,27.6,1.45
438	,5465.TW,富驊,19.55,0.51,69,19.45,0.51
439	,5471.TW,松翰,50.5,0.8,230,50.1,0.8
440	,5478.TW,智冠,80.5,0.88,168,79.8,0.88
441	,5498.TW,凱崴,10.8,1.89,1043,10.6,1.89
442	,5511.TW,德昌,29.85,-0.5,51,30,-0.5
443	,5516.TW,雙喜,18.5,1.37,80,18.25,1.37
444	,5522.TW,遠雄,56.6,-0.35,377,56.8,-0.35
445	,5525.TW,順天,24.55,-0.81,62,24.75,-0.81
446	,5529.TW,鉅陞,12.8,-0.78,12,12.9,-0.78
447	,5530.TW,龍巖,38.4,-1.66,303,39.05,-1.66
448	,5536.TW,聖暉*,101,-0.49,158,101.5,-0.49
449	,5601.TW,台聯櫃,36,0,2,36,0
450	,5603.TW,陸海,21.65,-0.23,152,21.7,-0.23
451	,5608.TW,四維航,25,-0.4,2747,25.1,-0.4
452	,5701.TW,劍湖山,2.99,1.7,345,2.94,1.7
453	,5704.TW,老爺知,51,-1.73,312,51.9,-1.73
454	,5706.TW,鳳凰,61.9,0.81,821,61.4,0.81
455	,5871.TW,中租-KY,217,0,2552,217,0
456	,5876.TW,上海商銀,44.25,0.45,3002,44.05,0.45
457	,5903.TW,全家,203.5,-0.73,43,205,-0.73
458	,5905.TW,南仁湖,11.9,-1.24,851,12.05,-1.24
459	,5907.TW,大洋-KY,17.05,-1.16,447,17.25,-1.16
460	,6015.TW,宏遠證,8.72,-0.57,347,8.77,-0.57
461	,6021.TW,美好證,19.25,-3.75,8,20,-3.75
462	,6024.TW,群益期,36.65,-0.27,77,36.75,-0.27
463	,6101.TW,寬魚國際,25.35,-0.59,55,25.5,-0.59
464	,6109.TW,亞元,15.65,3.64,797,15.1,3.64
465	,6111.TW,大宇資,68.1,4.61,11068,65.1,4.61
466	,6112.TW,邁達特,32.85,0.46,99,32.7,0.46
467	,6122.TW,擎邦,17.85,4.39,1292,17.1,4.39
468	,6127.TW,九豪,16.2,0.31,110,16.15,0.31
469	,6134.TW,萬旭,21.05,-0.24,163,21.1,-0.24
470	,6136.TW,富爾特,18.2,0.28,115,18.15,0.28
471	,6138.TW,茂達,117,1.74,474,115,1.74
472	,6139.TW,亞翔,37.25,-1.06,706,37.65,-1.06
473	,6141.TW,柏承,19.1,0.53,55,19,0.53
474	,6142.TW,友勁,10.05,-2.43,563,10.3,-2.43
475	,6144.TW,得利影,15.1,-0.33,0,15.15,-0.33
476	,6150.TW,撼訊,72.5,4.77,9309,69.2,4.77
477	,6155.TW,鈞寶,24.6,0.82,157,24.4,0.82
478	,6163.TW,華電網,14.9,0.68,111,14.8,0.68
479	,6165.TW,浪凡,26.95,-1.46,51,27.35,-1.46
480	,6169.TW,昱泉,20.6,0,80,20.6,0
481	,6173.TW,信昌電,34.55,1.32,201,34.1,1.32
482	,6175.TW,立敦,32.9,0.92,119,32.6,0.92
483	,6176.TW,瑞儀,105.5,0.48,549,105,0.48
484	,6177.TW,達麗,30.15,1.86,1162,29.6,1.86
485	,6179.TW,亞通,25.1,1.21,158,24.8,1.21
486	,6180.TW,橘子,70.1,0.29,11764,69.9,0.29
487	,6184.TW,大豐電,48.15,0.21,35,48.05,0.21
488	,6186.TW,新潤,35.6,-3.26,1045,36.8,-3.26
489	,6187.TW,萬潤,62.9,3.45,399,60.8,3.45
490	,6192.TW,巨路,70.8,2.61,338,69,2.61
491	,6194.TW,育富,23.25,-0.21,23,23.3,-0.21
492	,6195.TW,詩肯,42.6,0.12,3,42.55,0.12
493	,6196.TW,帆宣,119,0.85,1610,118,0.85
494	,6197.TW,佳必琪,40.35,0.88,110,40,0.88
495	,6202.TW,盛群,69.4,1.76,1072,68.2,1.76
496	,6204.TW,艾華,58.8,0.34,8,58.6,0.34
497	,6212.TW,理銘,46,-1.08,2,46.5,-1.08
498	,6214.TW,精誠,70.3,1.15,133,69.5,1.15
499	,6223.TW,旺矽,118,4.89,2409,112.5,4.89
500	,6224.TW,聚鼎,57.6,1.59,48,56.7,1.59
501	,6230.TW,尼得科超眾,114,-1.72,33,116,-1.72
502	,6231.TW,系微,86.9,4.95,567,82.8,4.95
503	,6234.TW,高僑,23.45,-0.64,1773,23.6,-0.64
504	,6239.TW,力成,80.7,1.89,1300,79.2,1.89
505	,6242.TW,立康,55,-2.48,89,56.4,-2.48
506	,6243.TW,迅杰,27.85,0,68,27.85,0
507	,6244.TW,茂迪,28.5,0,4141,28.5,0
508	,6245.TW,立端,93.8,1.96,2138,92,1.96
509	,6246.TW,臺龍,14.45,-1.7,27,14.7,-1.7
510	,6248.TW,沛波,22.2,-1.11,56,22.45,-1.11
511	,6263.TW,普萊德,90.5,0.78,45,89.8,0.78
512	,6264.TW,富裔,8.15,0,12,8.15,0
513	,6266.TW,泰詠,23.8,-0.21,394,23.85,-0.21
514	,6269.TW,台郡,98.4,0.41,323,98,0.41
515	,6276.TW,安鈦克,16.75,1.52,165,16.5,1.52
516	,6277.TW,宏正,77.4,-0.13,17,77.5,-0.13
517	,6284.TW,佳邦,51.8,0,638,51.8,0
518	,6288.TW,聯嘉,22.7,1.11,269,22.45,1.11
519	,6294.TW,智基,107,-0.93,14,108,-0.93
520	,6415.TW,矽力*-KY,453.5,3.89,1350,436.5,3.89
521	,6425.TW,易發,21.65,1.41,85,21.35,1.41
522	,6431.TW,光麗-KY,20.4,0.25,12,20.35,0.25
523	,6441.TW,廣錠,55.8,8.56,1565,51.4,8.56
524	,6451.TW,訊芯-KY,81.6,0.12,445,81.5,0.12
525	,6457.TW,紘康,59.4,0.68,27,59,0.68
526	,6464.TW,台數科,97.1,0.41,242,96.7,0.41
527	,6486.TW,互動,63.4,2.09,44,62.1,2.09
528	,6491.TW,晶碩,415.5,-2,1063,424,-2
529	,6492.TW,生華科,57.9,-0.17,125,58,-0.17
530	,6494.TW,九齊,71.9,1.41,100,70.9,1.41
531	,6496.TW,科懋,27.7,-0.36,6,27.8,-0.36
532	,6499.TW,益安,57.5,-1.03,75,58.1,-1.03
533	,6504.TW,南六,72.2,-1.37,53,73.2,-1.37
534	,6509.TW,聚和,41.3,0.98,737,40.9,0.98
535	,6510.TW,精測,475,2.04,104,465.5,2.04
536	,6515.TW,穎崴,410,-1.91,1036,418,-1.91
537	,6523.TW,達爾膚,104,0.48,258,103.5,0.48
538	,6535.TW,順藥,38.8,-1.52,486,39.4,-1.52
539	,6552.TW,易華電,30.1,0.33,62,30,0.33
540	,6556.TW,勝品,111.5,-1.33,50,113,-1.33
541	,6558.TW,興能高,22.4,2.52,126,21.85,2.52
542	,6561.TW,是方,280.5,-0.18,6,281,-0.18
543	,6568.TW,宏觀,159,4.95,616,151.5,4.95
544	,6569.TW,醫揚,97.5,-0.31,16,97.8,-0.31
545	,6573.TW,虹揚-KY,13.3,-0.75,11,13.4,-0.75
546	,6574.TW,霈方,49.05,-0.2,9,49.15,-0.2
547	,6576.TW,逸達,93.5,2.3,317,91.4,2.3
548	,6577.TW,勁豐,58.2,0,3,58.2,0
549	,6578.TW,達邦蛋白,15.6,-3.11,699,16.1,-3.11
550	,6579.TW,研揚,87.4,0.34,52,87.1,0.34
551	,6582.TW,申豐,57.7,-0.52,89,58,-0.52
552	,6585.TW,鼎基,58.9,-2.48,204,60.4,-2.48
553	,6589.TW,台康生技,118.5,-3.66,6607,123,-3.66
554	,6590.TW,普鴻,56.5,0,20,56.5,0
555	,6593.TW,台灣銘板,43.1,-0.46,30,43.3,-0.46
556	,6598.TW,ABC-KY,30.25,-2.42,656,31,-2.42
557	,6609.TW,瀧澤科,35.6,1.71,813,35,1.71
558	,6613.TW,朋億*,87.5,-1.13,134,88.5,-1.13
559	,6615.TW,慧智,36.5,-0.54,2,36.7,-0.54
560	,6624.TW,萬年清,41.65,2.33,2,40.7,2.33
561	,6625.TW,必應,41.1,0,311,41.1,0
562	,6629.TW,泰金-KY,46.5,-0.21,1,46.6,-0.21
563	,6642.TW,富致,45,0.56,9,44.75,0.56
564	,6643.TW,M31,480,5.03,2824,457,5.03
565	,6651.TW,全宇昕,66.6,0.91,33,66,0.91
566	,6662.TW,樂斯科,29.6,-0.84,5,29.85,-0.84
567	,6664.TW,群翊,98.1,-0.1,71,98.2,-0.1
568	,6666.TW,羅麗芬-KY,79.7,0.89,321,79,0.89
569	,6668.TW,中揚光,38.1,0.26,90,38,0.26
570	,6670.TW,復盛應用,204.5,-2.85,607,210.5,-2.85
571	,6672.TW,騰輝電子-KY,74.8,-0.66,359,75.3,-0.66
572	,6674.TW,鋐寶科技,26.3,2.33,24,25.7,2.33
573	,6679.TW,鈺太,236.5,1.07,962,234,1.07
574	,6691.TW,洋基工程,202,1.51,193,199,1.51
575	,6703.TW,軒郁,97.3,-1.02,41,98.3,-1.02
576	,6706.TW,惠特,89.2,1.36,217,88,1.36
577	,6712.TW,長聖,224,1.59,1803,220.5,1.59
578	,6715.TW,嘉基,127.5,2.82,144,124,2.82
579	,6741.TW,91APP*-KY,110,5.77,3369,104,5.77
580	,6747.TW,亨泰光,187.5,0.54,17,186.5,0.54
581	,6752.TW,叡揚,61,1.67,17,60,1.67
582	,6754.TW,匯僑設計,46.1,-0.32,108,46.25,-0.32
583	,6761.TW,穩得,86.4,2.37,4,84.4,2.37
584	,6762.TW,達亞,230,0,0,230,0
585	,6763.TW,綠界科技,388,0.26,27,387,0.26
586	,6768.TW,志強-KY,71.3,-0.28,244,71.5,-0.28
587	,6781.TW,AES-KY,658,2.33,455,643,2.33
588	,6788.TW,華景電,92.9,1.09,179,91.9,1.09
589	,6790.TW,永豐實,34.95,0,20,34.95,0
590	,6806.TW,森崴能源,90.4,6.48,10508,84.9,6.48
591	,6829.TW,千附精密,72.1,-1.77,88,73.4,-1.77
592	,8033.TW,雷虎,42.15,-1.4,2480,42.75,-1.4
593	,8038.TW,長園科,38.25,1.73,151,37.6,1.73
594	,8042.TW,金山電,35.2,-0.42,12,35.35,-0.42
595	,8044.TW,網家,54,1.5,1019,53.2,1.5
596	,8046.TW,南電,233,2.64,6337,227,2.64
597	,8048.TW,德勝,32.7,0.93,33,32.4,0.93
598	,8049.TW,晶采,29.95,-0.17,506,30,-0.17
599	,8050.TW,廣積,78.9,2.07,2676,77.3,2.07
600	,8064.TW,東捷,17.25,4.23,379,16.55,4.23
601	,8072.TW,陞泰,25.75,1.18,269,25.45,1.18
602	,8074.TW,鉅橡,19.1,0.26,11,19.05,0.26
603	,8076.TW,伍豐,27.9,-0.18,449,27.95,-0.18
604	,8084.TW,巨虹,107.5,5.39,441,102,5.39
605	,8088.TW,品安,23.8,1.49,264,23.45,1.49
606	,8091.TW,翔名,86.6,0.23,363,86.4,0.23
607	,8092.TW,建暐,12.35,0.82,33,12.25,0.82
608	,8104.TW,錸寶,34.5,0.88,49,34.2,0.88
609	,8171.TW,天宇,53.3,9.56,11597,48.65,9.56
610	,8215.TW,明基材,32,0.47,445,31.85,0.47
611	,8249.TW,菱光,27.4,-0.72,89,27.6,-0.72
612	,8255.TW,朋程,165,0.92,599,163.5,0.92
613	,8279.TW,生展,164.5,1.54,31,162,1.54
614	,8284.TW,三竹,55.8,0.36,15,55.6,0.36
615	,8341.TW,日友,174,0.58,1231,173,0.58
616	,8358.TW,金居,51.9,3.8,1557,50,3.8
617	,8383.TW,千附,37.95,0.53,41,37.75,0.53
618	,8403.TW,盛弘,33.2,-1.78,512,33.8,-1.78
619	,8415.TW,大國鋼,38.2,0.79,331,37.9,0.79
620	,8416.TW,實威,115.5,-0.43,2,116,-0.43
621	,8422.TW,可寧衛,182,1.11,289,180,1.11
622	,8429.TW,金麗-KY,10.7,-2.73,642,11,-2.73
623	,8436.TW,大江,176.5,3.22,2678,171,3.22
624	,8437.TW,大地-KY,100.5,-0.5,4,101,-0.5
625	,8443.TW,阿瘦,11.05,1.38,27,10.9,1.38
626	,8446.TW,華研,81.5,0.49,32,81.1,0.49
627	,8455.TW,大拓-KY,22.25,3.49,1,21.5,3.49
628	,8462.TW,柏文,120,0.84,13,119,0.84
629	,8463.TW,潤泰材,23.7,-0.21,41,23.75,-0.21
630	,8466.TW,美吉吉-KY,40.9,-0.73,29,41.2,-0.73
631	,8476.TW,台境,61,4.1,832,58.6,4.1
632	,8477.TW,創業家,17.6,0,38,17.6,0
633	,8488.TW,吉源-KY,14.9,-0.67,0,15,-0.67
634	,8499.TW,鼎炫-KY,99.7,-0.1,14,99.8,-0.1
635	,8923.TW,時報,21.65,3.1,3,21,3.1
636	,8929.TW,富堡,20.15,-1.23,6,20.4,-1.23
637	,8930.TW,青鋼,16.75,1.52,90,16.5,1.52
638	,8931.TW,大汽電,43.5,4.57,297,41.6,4.57
639	,8932.TW,宏大,42.4,-3.75,1118,44.05,-3.75
640	,8935.TW,邦泰,12.15,-9.67,605,13.45,-9.67
641	,8936.TW,國統,21.5,0.94,585,21.3,0.94
642	,8940.TW,新天地,16.75,0.3,112,16.7,0.3
643	,8996.TW,高力,193.5,2.93,24058,188,2.93
644	,9902.TW,台火,12.4,-1.2,89,12.55,-1.2
645	,9906.TW,欣巴巴,46.8,-0.85,25,47.2,-0.85
646	,9910.TW,豐泰,204,-1.21,939,206.5,-1.21
647	,9914.TW,美利達,171,2.4,402,167,2.4
648	,9917.TW,中保科,98.8,-1.2,192,100,-1.2
649	,9919.TW,康那香,18,-2.44,3120,18.45,-2.44
650	,9921.TW,巨大,200,-0.25,977,200.5,-0.25
651	,9934.TW,成霖,13.1,-1.13,93,13.25,-1.13
652	,9938.TW,百和,57.3,0.88,593,56.8,0.88
653	,9939.TW,宏全,86.4,-0.69,729,87,-0.69
654	,9940.TW,信義,26.9,0,105,26.9,0
655	,9944.TW,新麗,20.3,-0.73,72,20.45,-0.73
656	,9951.TW,皇田,64.4,-1.08,33,65.1,-1.08
657	,9958.TW,世紀鋼,90.9,2.6,3176,88.6,2.6
658	,9962.TW,有益,17.5,2.34,954,17.1,2.34
