符合條件商品
資料日期：2022年 12月 30日
策略,	A06突破6月均量
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/30),	區間漲幅%
執行時間：2023-01-04 00:51 符合檔數(658)
98	,2025.TW,千興,4.92,-1.4,343,4.99,-1.4
99	,2027.TW,大成鋼,42.6,0.47,6105,42.4,0.47
100	,2028.TW,威致,27.9,0.9,974,27.65,0.9
101	,2029.TW,盛餘,24.4,-0.41,257,24.5,-0.41
102	,2030.TW,彰源,23.25,0.22,846,23.2,0.22
103	,2031.TW,新光鋼,43.4,1.17,1373,42.9,1.17
104	,2032.TW,新鋼,20.35,0.25,818,20.3,0.25
105	,2033.TW,佳大,15.75,0,433,15.75,0
106	,2035.TW,唐榮,31.85,0.31,14,31.75,0.31
107	,2038.TW,海光,22.05,0.23,994,22,0.23
108	,2063.TW,世鎧,44.1,1.38,353,43.5,1.38
109	,2067.TW,嘉鋼,10.65,-2.74,19,10.95,-2.74
110	,2069.TW,運錩,21.3,-0.7,556,21.45,-0.7
111	,2070.TW,精湛,38,0.13,95,37.95,0.13
112	,2104.TW,國際中橡,19.4,-0.26,634,19.45,-0.26
113	,2108.TW,南帝,37.15,0.27,303,37.05,0.27
114	,2109.TW,華豐,14.45,-0.34,103,14.5,-0.34
115	,2201.TW,裕隆,63.2,1.94,17921,62,1.94
116	,2204.TW,中華,50.9,-1.17,805,51.5,-1.17
117	,2208.TW,台船,19.2,-1.54,1381,19.5,-1.54
118	,2211.TW,長榮鋼,51.4,-0.39,216,51.6,-0.39
119	,2231.TW,為升,139.5,1.09,318,138,1.09
120	,2236.TW,百達-KY,26.05,0.58,1834,25.9,0.58
121	,2243.TW,宏旭-KY,16.7,2.14,925,16.35,2.14
122	,2301.TW,光寶科,64.2,0.63,3467,63.8,0.63
123	,2317.TW,鴻海,99.1,-0.8,46488,99.9,-0.8
124	,2321.TW,東訊,6.16,2.5,21,6.01,2.5
125	,2323.TW,中環,7.36,1.52,1551,7.25,1.52
126	,2324.TW,仁寶,23.2,0.65,9671,23.05,0.65
127	,2328.TW,廣宇,38.1,2.14,1777,37.3,2.14
128	,2332.TW,友訊,14.8,-0.34,828,14.85,-0.34
129	,2337.TW,旺宏,34.25,1.48,3003,33.75,1.48
130	,2338.TW,光罩,87.5,3.31,6895,84.7,3.31
131	,2347.TW,聯強,59.1,-0.17,2789,59.2,-0.17
132	,2349.TW,錸德,7.69,1.05,721,7.61,1.05
133	,2352.TW,佳世達,27.8,-1.24,2878,28.15,-1.24
134	,2354.TW,鴻準,51.3,-1.16,2535,51.9,-1.16
135	,2356.TW,英業達,26.1,-0.57,5197,26.25,-0.57
136	,2357.TW,華碩,270,0.56,1048,268.5,0.56
137	,2363.TW,矽統,16.2,-0.31,1250,16.25,-0.31
138	,2371.TW,大同,34.7,0.58,4369,34.5,0.58
139	,2373.TW,震旦行,77.9,0,49,77.9,0
140	,2376.TW,技嘉,111,4.23,10673,106.5,4.23
141	,2377.TW,微星,122.5,2.51,1683,119.5,2.51
142	,2379.TW,瑞昱,289,2.85,1541,281,2.85
143	,2382.TW,廣達,72.1,-0.28,8321,72.3,-0.28
144	,2385.TW,群光,86.1,-0.23,737,86.3,-0.23
145	,2390.TW,云辰,12.05,-0.41,739,12.1,-0.41
146	,2392.TW,正崴,37.1,0.54,611,36.9,0.54
147	,2393.TW,億光,36.65,-0.81,232,36.95,-0.81
148	,2397.TW,友通,59,0.17,19,58.9,0.17
149	,2402.TW,毅嘉,17.9,-1.65,1924,18.2,-1.65
150	,2404.TW,漢唐,184,0.55,397,183,0.55
151	,2406.TW,國碩,18.55,0.82,744,18.4,0.82
152	,2417.TW,圓剛,22.2,0,209,22.2,0
153	,2421.TW,建準,42.95,0.59,703,42.7,0.59
154	,2424.TW,隴華,21.25,1.19,38,21,1.19
155	,2425.TW,承啟,30.8,-0.65,6453,31,-0.65
156	,2434.TW,統懋,28.7,3.24,4,27.8,3.24
157	,2438.TW,翔耀,14.25,2.52,70,13.9,2.52
