符合條件商品
資料日期：2023年  1月  3日
策略,	07基本資料D
序號,	代碼,	商品,	成交,	漲幅%,	總量,	6月均量,	當月總量,	最大漲幅,	月份,	大戶增減
執行時間：2023-01-03 23:46 符合檔數(1652)
78	,1444.TW,力麗,10.15,-0.49,874,70247.83,45750,30.72,202009,0
79	,1445.TW,大宇,16.15,-0.92,49,1224.83,1389,19.01,202110,0
80	,1446.TW,宏和,31.35,2.12,153,3149,1325,24.08,202004,1
81	,1447.TW,力鵬,7.62,-0.65,875,27909,17244,48.21,202104,0
82	,1449.TW,佳和,16.25,0.31,156,18718.83,7194,145.98,202011,0
83	,1451.TW,年興,21,0.24,223,10569.83,7633,23.55,202104,0
84	,1452.TW,宏益,17.45,-0.57,54,1992.33,1804,24.46,202104,0
85	,1453.TW,大將,14.85,0.68,199,42642.33,8097,127.94,202204,0
86	,1454.TW,台富,13.25,0,117,3259.83,1849,33.48,202212,1
87	,1455.TW,集盛,10.4,0.48,870,19941,13016,45.93,202105,1
88	,1456.TW,怡華,15.35,0,46,1389.33,1063,85.28,202011,1
89	,1457.TW,宜進,18.65,-0.27,98,6260.83,6778,13.04,202104,1
90	,1459.TW,聯發,8.2,-0.49,20,4179.33,1266,30,202104,1
91	,1460.TW,宏遠,7.05,-0.56,413,11549.67,10054,34.34,202004,1
92	,1463.TW,強盛,14.25,-0.35,99,1583.5,1979,12.78,202008,0
93	,1464.TW,得力,14.05,0,161,6532.5,4265,28.31,202004,0
94	,1465.TW,偉全,13.95,0.72,5,1459.33,1607,17.58,202004,1
95	,1466.TW,聚隆,11.95,-1.24,68,2221,2143,91,202006,1
96	,1467.TW,南緯,11.15,0.45,6227,49849.17,66376,103.64,202006,0
97	,1468.TW,昶和,13.45,0,31,1049.83,1007,56.47,202006,0
98	,1470.TW,大統新創,18.45,1.37,42,587.17,559,17.79,202204,1
99	,1471.TW,首利,7.66,0.13,128,30433.33,7570,97.26,202104,1
100	,1472.TW,三洋實業,22.45,0.22,8,384.5,166,269.47,202110,1
101	,1473.TW,台南,21.2,1.44,115,5943.5,3506,22.09,202002,1
102	,1474.TW,弘裕,12,0.42,39,5173.17,3498,42.48,202006,1
103	,1475.TW,業旺,64,0.47,58,2528.33,3148,193.06,201913,1
104	,1476.TW,儒鴻,483.5,-2.42,709,18093.17,17754,24.74,202004,1
105	,1477.TW,聚陽,225.5,-3.22,2767,51927.67,28707,27.56,202208,1
106	,1503.TW,士電,61,0.83,265,9465.67,3642,14.5,202205,0
107	,1504.TW,東元,27.35,-0.73,2031,73929.17,55401,13.25,202102,0
108	,1506.TW,正道,17.35,0.87,190,8996.83,8250,32.65,202004,1
109	,1512.TW,瑞利,4.7,-2.08,199,4744,15164,77.71,202005,1
110	,1513.TW,中興電,72.1,7.29,57810,370374,591219,30.86,202203,1
111	,1514.TW,亞力,30.5,3.92,8738,85878.83,61395,23.19,202008,1
112	,1515.TW,力山,29.9,0,277,21155.67,16480,71.7,202004,1
113	,1516.TW,川飛,19.8,-0.5,32,7413.83,4451,26.26,202203,0
114	,1517.TW,利奇,20.6,2.23,775,42676,19678,51.85,202104,0
115	,1519.TW,華城,52.4,8.49,25523,75658,164976,21.43,202008,1
116	,1521.TW,大億,34.45,-1.29,20,624.83,407,18.23,202205,1
117	,1522.TW,堤維西,27.95,0.36,2732,194223.67,95425,40.51,202205,0
118	,1524.TW,耿鼎,24.7,-0.6,3484,524494,150050,78.6,202205,0
119	,1525.TW,江申,56.8,-0.35,31,1022.5,450,59.57,202008,1
120	,1526.TW,日馳,40.85,0.74,133,17348.67,8565,75.07,202005,0
121	,1527.TW,鑽全,40.9,-0.12,133,5538.83,3544,12.53,202011,0
122	,1528.TW,恩德,10.05,-0.99,334,13119.17,12806,40.7,202004,0
123	,1529.TW,樂事綠能,21.3,5.45,9701,61024.5,78918,28.92,202212,1
124	,1530.TW,亞崴,31,0,14,634.33,707,19.22,202004,0
125	,1531.TW,高林股,13.9,-0.71,18,2579.5,1839,22.49,202004,1
126	,1532.TW,勤美,28.8,0.35,183,6544.33,5829,18.83,202104,1
127	,1533.TW,車王電,49,0.31,64,16492.83,5591,74.44,202013,1
128	,1535.TW,中宇,42.85,0,64,1446,1534,20.3,202004,0
129	,1536.TW,和大,67,0,3200,63831,35455,33.01,202207,0
130	,1537.TW,廣隆,137,0,46,2442.17,1352,9.4,202004,1
131	,1538.TW,正峰,8.09,1.12,25,241.5,432,123.82,202011,1
132	,1539.TW,巨庭,28.75,0.52,179,87510.67,25618,52.04,202208,0
133	,1540.TW,喬福,15.25,0,41,4425.67,2908,12.58,202104,1
134	,1541.TW,錩泰,33.3,-0.6,14,2153.83,468,31.31,202007,1
135	,1558.TW,伸興,119,0,44,2060.67,2041,11.06,202004,0
136	,1560.TW,中砂,108,2.37,2032,193824,168551,37.34,202212,0
137	,1565.TW,精華,249,1.01,105,3561.67,5626,21.95,202103,1
138	,1568.TW,倉佑,22.55,-0.66,115,64666.67,10233,51.94,202011,0
139	,1569.TW,濱川,22,0,126,11638.67,5298,63.88,202004,0
140	,1570.TW,力肯,16.65,-1.19,28,1774,892,13.82,202104,1
141	,1580.TW,新麥,90.3,-0.66,60,1449.33,2471,14.19,202102,0
142	,1582.TW,信錦,59.1,0.17,57,2943.17,2289,20.99,202004,0
