符合條件商品
資料日期：2023年  1月  3日
策略,	07基本資料D
序號,	代碼,	商品,	成交,	漲幅%,	總量,	6月均量,	當月總量,	最大漲幅,	月份,	大戶增減
執行時間：2023-01-03 23:46 符合檔數(1652)
334	,2369.TW,菱生,13.05,0.77,329,23430.67,12983,36.67,202107,0
335	,2371.TW,大同,34.7,0.58,4406,214614,258116,25.65,202012,1
336	,2373.TW,震旦行,77.9,0,50,1003,1930,7.22,202103,0
337	,2374.TW,佳能,20.3,0,327,42300,14036,26.65,202212,1
338	,2375.TW,凱美,53.9,0.75,133,13867.83,9035,51.76,202011,1
339	,2376.TW,技嘉,111,4.23,10764,193853.5,227638,29.61,202110,0
340	,2377.TW,微星,122.5,2.51,1701,105240.33,115386,21.4,202007,0
341	,2379.TW,瑞昱,289,2.85,1553,86534.17,89779,25.25,202007,0
342	,2380.TW,虹光,11.3,1.35,322,26914,18373,57.25,202104,0
343	,2382.TW,廣達,72.1,-0.28,8341,172840.67,227437,15.29,202103,0
344	,2383.TW,台光電,176.5,3.22,1491,72188.33,71016,32.93,202106,0
345	,2385.TW,群光,86.1,-0.23,744,39573.67,50816,11.35,202004,1
346	,2387.TW,精元,38.15,0.26,287,20394.83,12607,57.89,202008,0
347	,2388.TW,威盛,69.1,2.67,10481,601677.83,406890,63.9,202004,0
348	,2390.TW,云辰,12.05,-0.41,756,23851.67,24942,46.17,202005,0
349	,2392.TW,正崴,37.1,0.54,612,31935.83,35162,31.45,202004,1
350	,2393.TW,億光,36.65,-0.81,235,22059,30737,30.92,202004,1
351	,2395.TW,研華,334,0.91,411,18255.17,14280,14.01,202012,1
352	,2397.TW,友通,59,0.17,19,394.83,528,20.45,202004,1
353	,2399.TW,映泰,13.7,3.01,8033,56323.67,55314,73.45,202103,0
354	,2401.TW,凌陽,22.65,1.12,575,65323.83,33774,37.16,202013,0
355	,2402.TW,毅嘉,17.9,-1.65,1938,89285,124103,22.83,202004,0
356	,2404.TW,漢唐,184,0.55,405,13728.33,19910,23.45,202211,0
357	,2405.TW,輔信,11.75,1.73,570,104964.17,32255,68.46,202212,1
358	,2406.TW,國碩,18.55,0.82,750,59014.5,89880,68.87,201912,0
359	,2408.TW,南亞科,53,3.52,7493,218068.33,166204,25.26,202011,0
360	,2409.TW,友達,15.45,3,31623,1169101.83,986400,57.48,202104,0
361	,2412.TW,中華電,113,0,7433,201370.33,153876,5.96,202202,1
362	,2413.TW,環科,26,4.84,1117,67833.83,55373,31.94,202011,0
363	,2414.TW,精技,30.3,-0.16,18,4704.83,2366,13.18,202108,0
364	,2415.TW,錩新,20.15,-1.23,47,3839.5,2427,40.28,202102,1
365	,2417.TW,圓剛,22.2,0,210,16095.5,18023,111.68,202006,0
366	,2419.TW,仲琦,24.4,1.88,820,216424.17,48425,63.09,202207,0
367	,2420.TW,新巨,39.2,-0.13,61,3212,1780,25.48,202004,0
368	,2421.TW,建準,42.95,0.59,706,39805.83,54864,36.73,202005,1
369	,2423.TW,固緯,27.55,0.18,132,3054.33,2468,11.19,202004,0
370	,2424.TW,隴華,21.25,1.19,54,668.83,1957,79.58,202010,0
371	,2425.TW,承啟,30.8,-0.65,6459,23436.5,42566,41.43,202103,1
372	,2426.TW,鼎元,16.6,0,199,12705.17,5626,33.61,202004,1
373	,2427.TW,三商電,12,0.42,85,10487,4694,18.64,202212,1
374	,2428.TW,興勤,124,0,311,8311.17,6633,34.56,202011,1
375	,2429.TW,銘旺科,10.8,-1.37,2,426.17,310,94.72,201913,1
376	,2430.TW,燦坤,43.4,-1.81,196,2645.67,2173,44.31,202208,0
377	,2431.TW,聯昌,9.9,-0.1,146,4359,3018,24.34,202004,0
378	,2433.TW,互盛電,48.05,-0.21,9,518,299,9.77,202004,1
379	,2434.TW,統懋,28.7,3.24,5,773.5,893,345.18,202009,1
380	,2436.TW,偉詮電,42,1.69,595,49144.67,28968,49.55,202012,0
381	,2438.TW,翔耀,14.25,2.52,71,948.33,1365,54.42,202013,1
382	,2439.TW,美律,80.7,1.25,382,31393,21105,13.98,202007,0
383	,2440.TW,太空梭,12.05,-0.41,50,11393,1885,86.2,202104,1
384	,2441.TW,超豐,47.9,-0.21,658,39750.67,84527,20.81,202107,0
385	,2442.TW,新美齊,13.2,-0.38,227,11035.5,17135,30.16,202004,1
386	,2443.TW,昶虹,2.88,2.49,77,1528.83,1479,37.84,202009,0
387	,2444.TW,兆勁,16.6,0.3,2602,37713.83,123989,21.52,202212,1
388	,2449.TW,京元電子,36.6,1.1,2407,147246,115561,20.15,202104,1
389	,2450.TW,神腦,30.8,0.33,13,1647.5,1497,20.75,202012,0
390	,2451.TW,創見,66,0,153,8029.83,6741,23.28,202104,0
391	,2453.TW,凌群,25.55,0.2,16,3010.17,2051,41.26,202103,0
392	,2454.TW,聯發科,644,3.04,4509,139725.17,123282,26.72,202004,0
393	,2455.TW,全新,69.2,0.29,1345,50988.5,51889,35.81,202211,0
394	,2457.TW,飛宏,39.95,1.27,1284,132762.83,180803,64.15,202103,1
395	,2458.TW,義隆,87,1.16,454,47378.83,29558,30.29,202007,0
396	,2459.TW,敦吉,51,-0.39,38,1266.33,1022,15.76,202103,1
397	,2460.TW,建通,16.55,1.85,91,9760.5,5194,33.57,202103,0
398	,2461.TW,光群雷,18.5,0.27,48,6820.33,4500,23.86,202011,0
399	,2462.TW,良得電,28.15,-1.23,272,8229.5,13418,21.07,202202,1
400	,2464.TW,盟立,38,0.4,96,6421.17,15181,15.42,202007,1
401	,2465.TW,麗臺,41.8,10,10592,71540.33,118568,74.9,202103,1
402	,2466.TW,冠西電,32.75,-1.5,53,1523.5,1319,15.99,202106,1
403	,2467.TW,志聖,43.3,0.7,39,3455.67,1463,16.87,202104,0
404	,2468.TW,華經,25.75,0.98,670,99687.17,77015,76.74,202208,1
405	,2471.TW,資通,28.05,-0.53,169,2487,3042,35.41,202004,0
406	,2472.TW,立隆電,54.2,1.12,181,6369.33,4709,47.26,202004,0
407	,2474.TW,可成,170.5,0.89,1194,71546.5,99869,16.62,202004,0
408	,2476.TW,鉅祥,45.3,1.23,209,57963.67,26943,28.24,202110,0
409	,2477.TW,美隆電,19.6,0.26,18,2852.67,1412,25.22,202010,0
410	,2478.TW,大毅,42.85,0.94,19,3588.83,2428,56.01,202004,0
411	,2480.TW,敦陽科,84.6,-1.51,207,4688.5,3353,14.91,202004,1
412	,2481.TW,強茂,59.1,2.07,926,121385,93945,68.36,202106,0
413	,2482.TW,連宇,24.7,3.78,992,177301.17,86710,80.67,202205,1
414	,2483.TW,百容,24.15,0.62,53,23740.5,6184,21.68,202209,0
415	,2484.TW,希華,34.3,1.48,697,64807.17,50607,29.26,202004,0
416	,2485.TW,兆赫,17.1,0.29,622,22497.67,31144,37.57,202104,0
417	,2486.TW,一詮,22.1,1.84,1567,61425.83,150184,52.59,202103,0
418	,2488.TW,漢平,28.9,0.35,43,5154.17,1985,13.27,202208,0
419	,2489.TW,瑞軒,9.93,-0.7,977,45521.17,43967,54.01,202103,0
420	,2491.TW,吉祥全,11.5,1.32,210,4353.5,2769,71.76,202103,1
421	,2492.TW,華新科,79.2,0.25,552,39621,34965,40.59,201912,0
422	,2493.TW,揚博,43.3,0.12,87,4460,2538,19.28,202005,0
423	,2495.TW,普安,18.95,-1.04,1605,57124.5,128839,72.45,202104,1
424	,2496.TW,卓越,47.55,0,7,415.5,457,19.96,202103,1
425	,2497.TW,怡利電,72,2.56,883,155220.17,118399,74.07,202011,1
426	,2498.TW,宏達電,58.1,4.31,25895,1160150.67,614957,78.26,202110,0
427	,2501.TW,國建,15.4,0.98,386,12692,17744,14.78,202004,0
428	,2504.TW,國產,25.15,-0.4,886,46376,33963,51.6,201910,1
429	,2505.TW,國揚,17.8,-0.84,125,3601.33,3015,43.45,202004,1
430	,2506.TW,太設,9.12,0.55,352,6746.83,6112,25.13,202011,1
431	,2509.TW,全坤建,14.7,0,30,1074.5,895,15.4,202104,0
432	,2511.TW,太子,10.5,0,389,12208.17,10430,14.64,202108,0
433	,2514.TW,龍邦,16.75,-0.3,158,3021,6867,26.71,202104,0
434	,2515.TW,中工,8.11,-0.37,1234,65470.33,49708,22.65,202011,0
435	,2516.TW,新建,5,0,46,4063,2940,32.06,202104,0
436	,2520.TW,冠德,29.65,1.54,1425,24215,18478,18.88,202211,1
437	,2524.TW,京城,31.85,-0.93,9,2112.17,478,16.16,202111,0
438	,2527.TW,宏璟,20.75,0.24,138,4727.33,2023,20.96,202106,1
439	,2528.TW,皇普,15.95,-0.31,41,3609.67,3589,19.87,202211,0
440	,2530.TW,華建,17.2,-0.29,387,25435.5,14531,15.11,202004,0
441	,2534.TW,宏盛,22.7,0.22,790,34562.67,36424,16.45,202004,0
442	,2535.TW,達欣工,29.95,-0.66,288,7093.83,5303,23.71,202103,0
443	,2536.TW,宏普,22.5,0,91,4717.17,3525,11.67,201912,0
444	,2537.TW,聯上發,7.05,-0.84,389,24026.33,11728,32.93,201912,1
445	,2538.TW,基泰,12.8,1.19,502,24241.67,8624,19.81,202108,0
446	,2539.TW,櫻花建,31.85,-0.16,419,7183,5041,9.06,202004,0
447	,2540.TW,愛山林,71.3,-2.06,97,7982,5840,59.41,202004,1
448	,2542.TW,興富發,40.35,0.12,2197,124171.5,223512,12.37,202107,1
449	,2543.TW,皇昌,9.12,-0.11,30,5661.5,2912,31.78,202104,1
450	,2545.TW,皇翔,40.15,-0.74,122,6787,3788,31.33,202203,0
451	,2546.TW,根基,52.1,1.17,174,1789.67,1853,22.86,202008,1
452	,2547.TW,日勝生,9.05,-0.88,313,13251,16897,27.01,202011,0
453	,2548.TW,華固,88.3,-0.79,234,8294.83,5715,12.31,201911,0
454	,2596.TW,綠意,17.55,-0.28,49,1204.33,957,13.25,202004,1
455	,2597.TW,潤弘,127,1.2,103,2474.17,3696,41.92,202103,1
456	,2601.TW,益航,8.65,-1.03,1776,54877.33,56996,106.77,202106,0
457	,2603.TW,長榮,160,-1.84,23687,1204763.17,637396,99.8,202106,1
458	,2605.TW,新興,19.65,-1.75,2650,99103.17,106061,105.73,202106,1
459	,2606.TW,裕民,47.5,-2.26,5980,164861.5,278201,69.98,202104,1
460	,2607.TW,榮運,27.65,-0.54,1535,127416.67,87946,124.43,202106,0
461	,2608.TW,嘉里大榮,37.6,-0.53,103,8808.5,7913,50.89,202105,0
462	,2609.TW,陽明,64.6,-1.37,34641,1078077.67,1198704,120.75,202012,0
463	,2610.TW,華航,18.9,-0.53,27118,1313178.33,1401014,51.16,202111,1
464	,2611.TW,志信,13.4,-0.74,326,23442.5,40215,143.68,202106,0
465	,2612.TW,中航,39.8,-4.21,2294,27388.67,64009,93.53,202106,0
466	,2613.TW,中櫃,21.95,-3.09,630,17020.5,22969,86.89,202106,0
467	,2614.TW,東森,22.85,-2.14,2798,90171.67,218273,147.84,202106,0
468	,2615.TW,萬海,79.2,-1.12,21641,428830.5,603573,121.38,202106,0
469	,2616.TW,山隆,31.7,-0.63,179,3381,2815,7.81,202103,0
470	,2617.TW,台航,26.7,-0.74,805,32702.33,39477,75.63,202104,0
471	,2618.TW,長榮航,28.15,0,36342,1490560.67,1011416,34.38,202202,0
472	,2630.TW,亞航,16.7,0,21,1405.83,1151,32.37,202106,1
473	,2633.TW,台灣高鐵,28.8,0.17,2186,73213,89045,18.61,202004,0
474	,2634.TW,漢翔,35.4,-0.98,11102,238453.5,373133,20.08,202008,1
475	,2636.TW,台驊投控,76.3,0.39,1452,34369.33,48258,152.91,202106,0
476	,2637.TW,慧洋-KY,62.6,1.95,5413,219110.33,327522,97.77,202104,1
477	,2640.TW,大車隊,89.5,0.11,29,906.83,1134,17.23,202004,1
478	,2641.TW,正德,18.55,-0.8,1241,79002.33,134242,97.29,202106,0
479	,2642.TW,宅配通,49.45,-1.3,196,7329.67,16281,144.29,202105,1
480	,2643.TW,捷迅,68.5,0.74,31,1473.67,1113,79.13,202106,1
481	,2701.TW,萬企,12.1,-0.82,27,2900.33,2712,10.74,202104,0
482	,2702.TW,華園,22.5,-0.66,297,15281.5,14111,43.88,202005,1
483	,2704.TW,國賓,31.85,-2.3,106,4999.5,2624,21.92,201911,1
484	,2705.TW,六福,16.55,-0.9,137,9351.83,7284,69.1,201911,1
485	,2706.TW,第一店,14.1,-0.35,240,5462.33,4065,9.06,202106,0
486	,2707.TW,晶華,243.5,-5.44,2298,23778.33,48379,32.12,202211,1
487	,2712.TW,遠雄來,32,-0.16,9,272.17,396,59.34,202005,0
488	,2718.TW,晶悅,33,2.17,15,101.5,56,83.91,202103,1
489	,2719.TW,燦星旅,32.4,-3.57,25,331.83,1282,92.47,201910,0
490	,2722.TW,夏都,32.8,-1.8,107,3372.17,2850,56.52,202005,1
491	,2723.TW,美食-KY,146,-3.63,3168,25925.33,59337,36.84,202011,1
492	,2724.TW,富驛-KY,13.55,0,0,56,13,83.15,202201,1
493	,2726.TW,雅茗-KY,22.8,-1.3,64,1622.17,3758,24.21,202211,0
494	,2727.TW,王品,164.5,-2.08,1384,15291.17,23149,76.04,202011,1
495	,2729.TW,瓦城,211,2.93,270,1809.17,2453,18.04,202004,0
496	,2731.TW,雄獅,105.5,-0.94,1616,48530,110263,33.71,202102,1
497	,2732.TW,六角,125.5,0,680,16956.5,21582,30,202209,1
498	,2734.TW,易飛網,27.35,-1.97,170,6734.83,6106,71.49,202102,0
499	,2736.TW,富野,21.95,-2.88,862,74402.5,34001,36.14,202206,1
500	,2739.TW,寒舍,29.85,-0.5,54,1371.5,2952,18.69,202208,1
501	,2740.TW,天蔥,47,-4.86,3,150.67,65,86.14,202005,1
502	,2745.TW,五福,39.85,-0.37,46,5233.67,4004,65.42,202202,0
503	,2748.TW,雲品,57.1,-4.67,2278,17508.67,50168,24.44,202211,1
504	,2801.TW,彰銀,17.25,0.58,2766,321973,120298,9.7,201910,1
505	,2809.TW,京城銀,33.55,-1.03,525,50016.67,127453,15.43,202006,0
506	,2812.TW,台中銀,12.8,0,3000,92116.17,87287,13.06,202203,0
507	,2816.TW,旺旺保,15.8,0,23,1149.83,971,9.79,201911,1
508	,2820.TW,華票,14.5,0,172,19015.17,9182,6.69,202211,0
509	,2832.TW,台產,20.5,0.24,115,2834.5,2513,8.47,202103,1
510	,2834.TW,臺企銀,13,0.39,13145,700679.17,535548,15.77,202203,1
511	,2836.TW,高雄銀,12.4,-0.4,209,11017.33,6257,13.4,202104,0
512	,2838.TW,聯邦銀,15.95,-0.31,334,64807.67,17888,25.09,202203,1
513	,2845.TW,遠東銀,11.05,0.45,1885,142158.67,78386,9.91,202203,1
514	,2849.TW,安泰銀,14.55,-1.36,96,1625.17,1157,12.26,202004,0
515	,2850.TW,新產,49.5,1.33,317,9206.83,4643,15.46,202203,1
516	,2851.TW,中再保,16.95,-0.29,3264,28684,81631,12.93,202106,0
517	,2852.TW,第一保,15.8,0,236,5833.67,5893,12.12,202203,0
518	,2855.TW,統一證,15.65,0,278,19505.83,13733,27.23,202104,0
519	,2867.TW,三商壽,5.43,-1.81,8898,237881.17,345582,16.34,202004,0
520	,2880.TW,華南金,22.7,1.11,10720,227600.5,179442,10.18,202203,1
521	,2881.TW,富邦金,56.4,0.18,7591,355315.17,291260,19.22,202211,1
522	,2882.TW,國泰金,39.95,-0.12,39554,567800.5,670300,15.21,202211,0
523	,2883.TW,開發金,12.65,0.4,14721,788841.17,532914,24.29,202104,1
524	,2884.TW,玉山金,24,-0.21,10098,533119,385743,12.58,202004,0
525	,2885.TW,元大金,21.65,-0.23,14405,422929.33,533164,15.56,202104,1
526	,2886.TW,兆豐金,30.5,0.49,9815,381689.83,309160,14.1,202203,0
527	,2887.TW,台新金,15.1,0,6594,437505.83,280587,14.34,202211,1
528	,2888.TW,新光金,8.8,0.34,14398,649883.5,486406,11.93,202004,1
529	,2889.TW,國票金,11.35,0.44,5566,115004.17,213777,21.58,202103,0
530	,2890.TW,永豐金,16.6,-0.9,17105,555004.83,797206,13.04,202211,0
531	,2891.TW,中信金,22.15,0.23,17424,857699.67,875102,12.75,202211,1
532	,2892.TW,第一金,26.3,-0.75,17051,321676.67,267203,12.21,202004,1
533	,2897.TW,王道銀行,8.35,-0.48,790,55314.33,32474,16.35,202203,1
534	,2901.TW,欣欣,23.5,-0.63,7,802.5,662,39.34,202103,1
535	,2903.TW,遠百,21.15,-1.63,1136,16278.17,39886,10.19,202008,1
536	,2904.TW,匯僑,19.75,0,12,1131,541,10.84,202004,1
537	,2905.TW,三商,15.1,-0.33,225,11430.83,6847,19.91,202006,0
538	,2906.TW,高林,18.1,-0.55,727,46207.83,54053,54.13,202202,1
539	,2908.TW,特力,19.6,-0.25,49,2161.83,1733,8.92,202006,1
540	,2910.TW,統領,29.75,-1.65,20,652.5,476,49.06,201912,0
541	,2911.TW,麗嬰房,7.12,0.85,260,5271.33,19552,27.58,202104,0
542	,2912.TW,統一超,270.5,-0.55,735,29040.83,23864,8.83,202004,1
543	,2913.TW,農林,21.15,-0.47,581,33401.67,34037,35.82,202104,1
544	,2915.TW,潤泰全,65.1,0.15,1691,140270.67,195481,21.56,202202,1
545	,2916.TW,滿心,23.8,1.06,11,720.17,730,29.71,202103,0
546	,2923.TW,鼎固-KY,20.8,-3.48,26,713.67,358,22.57,202102,1
547	,2924.TW,東凌-KY,33.9,5.94,6,46.17,140,83.24,202202,1
548	,2926.TW,誠品生活,59.8,-1.97,22,789,896,17.77,202004,0
549	,2929.TW,淘帝-KY,16.95,-1.45,3690,40992,179978,86.39,202105,0
550	,2937.TW,集雅社,36.4,0,0,360,286,24.85,202005,0
551	,2939.TW,凱羿-KY,32.2,-2.28,63,3914,7670,68,202004,0
552	,3002.TW,歐格,11.3,0.44,65,9044.5,3116,12.61,202010,1
553	,3003.TW,健和興,70.9,1,190,26331.17,7721,27.23,202104,0
554	,3004.TW,豐達科,70,-1.27,85,5450.33,4592,22.36,202004,1
555	,3005.TW,神基,43.75,-0.91,322,33388.17,22622,18.42,202102,1
556	,3006.TW,晶豪科,67.4,3.69,2376,122162,69075,61.54,202104,0
557	,3008.TW,大立光,2075,1.72,397,15812.17,11136,24.05,202211,0
558	,3010.TW,華立,83.5,-0.36,91,5024.83,3594,21.35,202011,1
559	,3011.TW,今皓,17.1,-4.2,741,25240.17,18996,66.67,202203,1
560	,3013.TW,晟銘電,17.6,2.03,2169,45600,171986,17.96,202208,0
561	,3014.TW,聯陽,74.2,1.23,584,13762,18029,26.68,202102,0
562	,3015.TW,全漢,38.2,0.39,48,1787,1499,38.08,202008,0
563	,3016.TW,嘉晶,71.1,1.28,300,40924.67,16223,53.2,202111,0
564	,3017.TW,奇鋐,112.5,0.45,1088,161728.83,162763,48.73,202008,1
565	,3019.TW,亞光,61,0.83,310,27598.33,13899,37.76,201912,0
566	,3021.TW,鴻名,20.15,0.75,18,5565.17,3286,71.61,202103,1
567	,3022.TW,威強電,72.1,1.84,901,77173.83,65329,46.94,201909,1
568	,3023.TW,信邦,274,-0.36,218,12486.67,9648,16.78,202007,1
569	,3024.TW,憶聲,13.3,-0.75,273,25883,15072,37.86,202008,1
570	,3025.TW,星通,20.45,-0.49,375,47069.83,31707,79.05,202011,0
571	,3026.TW,禾伸堂,90.1,-0.99,81,4733.67,3934,39.57,202004,1
572	,3027.TW,盛達,35.1,4.93,11727,131029.83,348467,81.2,202008,1
573	,3028.TW,增你強,28.95,0,197,8322.83,4457,17.8,202103,1
574	,3029.TW,零壹,40.1,-0.12,72,5580.5,3588,17.64,202004,1
575	,3030.TW,德律,64,0.47,151,11357.83,8474,13.82,202004,1
576	,3031.TW,佰鴻,15.15,1,36,2853.83,2468,54.87,202107,1
577	,3032.TW,偉訓,29.85,-0.17,60,1632.17,1153,40.43,202008,0
578	,3033.TW,威健,26.3,0,328,28889.33,16698,19.41,202109,0
579	,3034.TW,聯詠,334.5,6.02,11770,125615.17,147247,27.19,202007,1
580	,3035.TW,智原,147,3.16,12210,594465.83,267659,74.78,202110,0
581	,3036.TW,文曄,61.1,0,532,43704.67,46325,22.7,201911,1
582	,3037.TW,欣興,122,1.67,11471,776144,738043,43.94,202110,0
583	,3038.TW,全台,20.35,0.25,301,27948.83,25063,28,202104,0
584	,3040.TW,遠見,29.35,0,6,735.17,285,43.9,202004,1
585	,3041.TW,揚智,20.6,0.49,261,26144.17,16344,44.31,201911,1
586	,3042.TW,晶技,82.2,-0.6,527,33392.83,22748,47.05,202004,1
587	,3043.TW,科風,26.7,-1.84,46,17641,6662,110.8,202007,0
588	,3044.TW,健鼎,94.9,0.96,485,29180,37081,16.44,202006,0
589	,3045.TW,台灣大,95.4,0.74,1682,90815.5,49609,7.61,202004,0
590	,3046.TW,建碁,47.7,0.85,823,179874.33,57854,82.35,202104,0
591	,3047.TW,訊舟,15.65,3.64,3010,340780.5,115985,40.98,202208,1
592	,3048.TW,益登,26.7,-0.56,191,12136.33,7763,37.45,202103,0
593	,3049.TW,和鑫,9.1,0.11,601,50354.33,34095,26.84,202212,0
594	,3050.TW,鈺德,16.8,-1.47,1581,30927.67,39929,54.01,202011,1
595	,3051.TW,力特,17.5,2.04,461,47882.67,19418,188.69,202212,0
596	,3052.TW,夆典,10.4,0.97,71,2984.17,2793,27.45,201909,1
597	,3054.TW,立萬利,19.3,-3.26,79,987.33,591,21.79,201912,1
598	,3055.TW,蔚華科,24.4,-1.41,76,1484.17,1200,36.38,202008,0
599	,3056.TW,總太,31.05,-0.64,251,17568.83,11867,17.54,202208,0
600	,3057.TW,喬鼎,9.98,0,45,2369.17,3343,66.98,202104,0
601	,3058.TW,立德,9.88,-0.6,153,5512.67,3615,32.5,202013,1
602	,3059.TW,華晶科,33.2,0.3,582,86340.5,43076,24.42,202005,0
603	,3060.TW,銘異,16.1,0,155,4833.17,4328,104.23,202104,1
604	,3062.TW,建漢,23.2,1.09,999,259575,130665,25.74,202004,0
605	,3064.TW,泰偉,13.1,6.07,1,80.67,134,190.83,202009,1
606	,3066.TW,李洲,25.25,-3.81,313,7447.33,2405,111.43,202111,0
607	,3067.TW,全域,35.65,-0.56,1,35.33,91,57.61,201912,1
608	,3071.TW,協禧,24.7,0.41,72,7084.67,3019,31.95,202212,0
609	,3073.TW,天方能源,29.5,2.25,11,210.83,131,137.69,202102,0
610	,3078.TW,僑威,28.2,0.18,177,6403.5,8411,50.75,202008,0
611	,3081.TW,聯亞,108,1.89,714,68977.67,76562,33.62,202207,0
612	,3083.TW,網龍,51.4,0.78,5289,8906.83,27557,57.61,202004,0
613	,3085.TW,新零售,10.7,3.88,6,659.17,260,262.12,202007,1
614	,3086.TW,華義,83.1,-0.84,36,2201.83,2863,189.66,201913,1
615	,3088.TW,艾訊,59.5,0.85,122,14733.83,5247,8.68,202211,1
616	,3089.TW,億杰,67,3.08,69,2436.17,4034,52.86,201908,0
617	,3090.TW,日電貿,52.9,0.57,160,6937.67,10875,17.46,202004,1
618	,3092.TW,鴻碩,33.7,0.9,147,10706.5,13245,32.43,202004,0
619	,3093.TW,港建*,27.2,0.93,79,9014.67,5528,77.51,202205,1
620	,3094.TW,聯傑,23.95,0.63,85,10892.67,3080,48.75,202103,0
621	,3095.TW,及成,36.6,0.41,2,1436.33,381,893.38,202210,1
622	,3105.TW,穩懋,143,4.76,3265,97143.5,64242,27.87,202211,0
623	,3114.TW,好德,25.4,0.4,15,4268.17,2295,41.14,202107,0
624	,3115.TW,富榮綱,11.2,0.45,17,516.33,91,64.52,202005,1
625	,3118.TW,進階,27.9,0.9,6,605.5,570,42.12,202004,0
626	,3122.TW,笙泉,25.2,0.6,154,9826,7244,111.54,202103,1
627	,3128.TW,昇銳,42.6,2.77,2687,147979.17,185735,72.19,202211,1
628	,3130.TW,一零四,205.5,0.24,8,253,204,10.55,202004,0
629	,3131.TW,弘塑,228,0.44,15,3461.67,2039,49.51,202007,1
630	,3141.TW,晶宏,79.6,3.51,1965,107143.17,43171,106.01,202106,0
631	,3147.TW,大綜,51.6,-0.39,52,11384.67,4608,35.05,202103,0
632	,3149.TW,正達,18.45,-0.27,354,27665.83,27580,65.74,202012,0
633	,3152.TW,璟德,182,-0.27,10,2171.17,2030,31.52,202006,1
634	,3162.TW,精確,49.15,-0.2,2590,49677,120974,95.56,202107,0
635	,3163.TW,波若威,51.3,3.64,1049,116563,46214,31.53,202004,0
636	,3164.TW,景岳,23.5,-0.84,92,11621.17,14144,21.59,202102,0
637	,3167.TW,大量,40.7,1.24,12,2363.33,1024,27.94,202107,1
638	,3169.TW,亞信,103,4.04,381,25113.17,17152,104.15,202102,1
639	,3171.TW,新洲,16.4,0.92,12,320,365,20.54,202004,1
640	,3176.TW,基亞,32,-4.76,470,6405.5,9248,37.49,202102,1
641	,3178.TW,公準,62.1,-1.11,38,5673.33,2722,52.75,202005,1
642	,3188.TW,鑫龍騰,12.3,-1.6,142,4995.83,5904,30.77,202109,1
643	,3189.TW,景碩,106,1.44,3960,320093.5,317718,46,202006,0
644	,3191.TW,和進,6.89,-1.43,15,1331,1693,83.01,201909,0
645	,3202.TW,樺晟,14.25,-0.7,66,6883.67,7142,30.71,202111,0
646	,3205.TW,佰研,40.85,0.37,210,52002.17,23214,86.92,202206,1
647	,3206.TW,志豐,29.3,-0.51,101,1965.67,3744,16.82,201908,0
648	,3207.TW,耀勝,49.05,0.51,977,102730.17,88400,43.22,202110,0
649	,3209.TW,全科,36.05,0.98,370,18869,11885,19.54,202202,0
650	,3211.TW,順達,72.7,-0.41,50,3776.33,2555,21.25,202102,0
651	,3213.TW,茂訊,43.7,-0.68,11,970,579,14.37,202103,1
652	,3217.TW,優群,79.5,-0.63,246,8596.5,6209,45.23,202211,1
653	,3218.TW,大學光,299,0.17,1322,14341.83,18444,65.12,202005,1
654	,3219.TW,倚強科,46.2,0.33,25,701,1526,93.61,202008,1
655	,3221.TW,台嘉碩,26,-0.19,318,35008.33,12456,43.06,202107,1
656	,3224.TW,三顧,40.55,-1.1,89,10283.83,7230,36.76,202111,0
657	,3226.TW,至寶電,56,-1.93,2,42.83,24,9.72,202012,0
658	,3227.TW,原相,97.5,1.14,352,10025.67,11239,25.62,202004,1
659	,3228.TW,金麗科,183.5,1.66,1190,44993.5,47905,99.14,202006,0
660	,3229.TW,晟鈦,19.35,-1.53,8,2665.33,1467,113.85,202201,1
661	,3230.TW,錦明,12.9,0,2,8392,4755,168.22,202103,0
662	,3231.TW,緯創,29.2,-0.68,7761,230053,362954,25.17,202006,1
663	,3232.TW,昱捷,30.25,0.5,146,7056.83,9387,75.48,202109,1
664	,3234.TW,光環,21.45,1.66,275,43208.17,20046,39.96,202004,0
665	,3236.TW,千如,23.3,0.65,236,16175.17,46910,35.14,202004,1
666	,3252.TW,海灣,19.75,0.25,570,17040.5,17160,46.36,202206,1
667	,3257.TW,虹冠電,43,-0.46,15,1775.83,1134,28.24,202005,1
668	,3259.TW,鑫創,17.7,0,6,610.5,605,68.37,202010,0
669	,3260.TW,威剛,57.8,1.4,440,32508.5,24279,41.03,202104,0
670	,3264.TW,欣銓,49.6,0,1649,83787.5,50140,30.97,202107,1
671	,3265.TW,台星科,45.5,-0.22,664,34795.5,36461,23.64,202204,0
672	,3266.TW,昇陽,11.75,-0.84,73,3050.33,1304,16.67,201908,1
673	,3268.TW,海德威,21.95,0.46,14,4683.17,1699,52.79,202103,1
674	,3272.TW,東碩,45.8,2.92,403,38214,28227,141.16,202008,1
675	,3276.TW,宇環,12.35,2.07,34,4149.5,2047,44,202103,1
676	,3284.TW,太普高,14.35,2.5,97,4303,1344,29.09,202010,1
677	,3285.TW,微端,19.1,0,3,1494.67,587,48.48,202009,1
678	,3287.TW,廣寰科,13.35,0.38,109,4420.33,9288,63.44,202008,0
679	,3288.TW,點晶,22.75,3.88,3,222.33,204,50.19,202103,1
