符合條件商品
資料日期：2023年  1月  3日
策略,	01融外自投每日總結
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資使用率,	外資持股比例,	自營商持股比例,	投信持股比例,	借融比
執行時間：2023-01-03 23:27 符合檔數(1490)
74	,4995.TW,晶達,38.2,1.33,20,31.06,2.73,0,0,0.13
75	,3491.TW,昇達科,136,1.12,473,30.97,7.82,1.69,1.04,5.74
76	,4153.TW,鈺緯,37.1,-8.51,1468,30.77,1.1,0.07,0,0.34
77	,6442.TW,光聖,44.35,1.72,74,30.7,32.02,0.11,0,0.91
78	,3631.TW,晟楠,40.25,-0.86,40,30.67,10.14,0,0,0.06
79	,5011.TW,久陽,24.6,-0.61,172,30.58,0.78,0.29,0,1.85
80	,8222.TW,寶一,26.3,1.15,3804,30.41,4.28,0.19,0.11,1.7
81	,8054.TW,安國,31.25,4.17,357,29.32,1.57,0.5,0,1.97
82	,3047.TW,訊舟,15.65,3.64,3010,29.23,3.41,0.25,0,5.33
83	,3535.TW,晶彩科,21.65,3.1,536,29.1,2.51,1.17,0.12,4.17
84	,2358.TW,廷鑫,14.05,0,524,29.08,1.33,0,0,2.34
85	,4746.TW,台耀,70.9,-3.54,4668,28.85,9.67,1.15,1.63,4.37
86	,6129.TW,普誠,30.15,1.86,747,28.11,1.06,0.39,0.05,3.79
87	,6443.TW,元晶,35.25,2.03,11812,28.01,16.56,0.69,1.55,8.28
88	,8099.TW,大世科,39.15,0.13,28,27.98,1.56,0.29,0,0.07
89	,8044.TW,網家,54,1.5,1025,27.96,13.29,0.98,0.4,4.1
90	,6532.TW,瑞耘,50.4,0.6,129,27.9,3.42,0.36,0.21,2.29
91	,2462.TW,良得電,28.15,-1.23,272,27.88,1.28,0.36,0,0.72
92	,3289.TW,宜特,75.3,7.26,4225,27.65,7.09,0.96,5.2,4.1
93	,1524.TW,耿鼎,24.7,-0.6,3484,27.28,1.65,1.17,0,4.76
94	,6140.TW,訊達,16.4,0,69,27.25,0.34,0.3,0,0.28
95	,2231.TW,為升,139.5,1.09,326,27.12,7.46,0.33,0.57,2.91
96	,3520.TW,華盈,18.15,-0.27,309,27.05,1.65,0.13,0,1.25
97	,3545.TW,敦泰,62.6,6.83,11084,27.05,13.41,5.36,0.06,11.04
98	,4967.TW,十銓,30.5,0.16,72,27.05,2.07,0.32,0,0.55
99	,2743.TW,山富,59.5,-1.16,991,27,0.21,1.1,0,2.32
100	,3310.TW,佳穎,43.8,-0.11,172,26.95,0.38,0,0,0.76
101	,3687.TW,歐買尬,94.5,0,1465,26.91,2.91,1.28,0,2.48
102	,3006.TW,晶豪科,67.4,3.69,2376,26.9,12.34,1.72,0.57,11.14
103	,2476.TW,鉅祥,45.3,1.23,209,26.7,2.77,0.25,0.01,3.36
104	,3362.TW,先進光,70.9,1.43,655,26.52,1.79,1.88,0,2.77
105	,3441.TW,聯一光,39.8,2.71,476,26.41,3.01,0.72,0,2.05
106	,3062.TW,建漢,23.2,1.09,999,26.36,12.07,0.49,0,7.57
