符合條件商品
資料日期：2023年  1月  3日
策略,	06基本資料C
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例,	券資比
執行時間：2023-01-03 23:46 符合檔數(1775)
439	,2515.TW,中工,8.11,-0.37,1234,49.01,1.48
440	,2516.TW,新建,5,0,46,57.67,0
441	,2520.TW,冠德,29.65,1.54,1425,66.54,3.89
442	,2524.TW,京城,31.85,-0.93,9,92.71,0.05
443	,2527.TW,宏璟,20.75,0.24,138,79.34,0
444	,2528.TW,皇普,15.95,-0.31,41,90.08,0.53
445	,2530.TW,華建,17.2,-0.29,387,87.24,1.18
446	,2534.TW,宏盛,22.7,0.22,790,72.04,1.5
447	,2535.TW,達欣工,29.95,-0.66,288,50.08,0.6
448	,2536.TW,宏普,22.5,0,91,79.75,0.86
449	,2537.TW,聯上發,7.05,-0.84,389,52.96,0.01
450	,2538.TW,基泰,12.8,1.19,502,67.29,0.41
451	,2539.TW,櫻花建,31.85,-0.16,419,89.07,0
452	,2540.TW,愛山林,71.3,-2.06,97,95.57,2.04
453	,2542.TW,興富發,40.35,0.12,2197,59.85,18.62
454	,2543.TW,皇昌,9.12,-0.11,30,86.65,0
455	,2545.TW,皇翔,40.15,-0.74,122,77.58,2.24
456	,2546.TW,根基,52.1,1.17,174,61.48,0
457	,2547.TW,日勝生,9.05,-0.88,313,67.27,0.37
458	,2548.TW,華固,88.3,-0.79,234,58.29,5.98
459	,2596.TW,綠意,17.55,-0.28,49,67.32,0
460	,2597.TW,潤弘,127,1.2,103,80.63,0.28
461	,2601.TW,益航,8.65,-1.03,1776,30.66,2.2
462	,2603.TW,長榮,160,-1.84,23687,62.08,25.22
463	,2605.TW,新興,19.65,-1.75,2650,42.15,12.77
464	,2606.TW,裕民,47.5,-2.26,5980,65.7,21.98
465	,2607.TW,榮運,27.65,-0.54,1535,71.47,1
466	,2608.TW,嘉里大榮,37.6,-0.53,103,78.49,26.77
467	,2609.TW,陽明,64.6,-1.37,34641,58.71,16.76
468	,2610.TW,華航,18.9,-0.53,27118,58.81,22.59
469	,2611.TW,志信,13.4,-0.74,326,46.56,1.55
470	,2612.TW,中航,39.8,-4.21,2294,68.25,8.82
471	,2613.TW,中櫃,21.95,-3.09,630,69.87,2.54
472	,2614.TW,東森,22.85,-2.14,2798,34.97,1.32
473	,2615.TW,萬海,79.2,-1.12,21641,85.45,36.78
474	,2616.TW,山隆,31.7,-0.63,179,55.04,0
475	,2617.TW,台航,26.7,-0.74,805,56.24,6.22
476	,2618.TW,長榮航,28.15,0,36342,73.79,50.92
477	,2630.TW,亞航,16.7,0,21,78.92,0
478	,2633.TW,台灣高鐵,28.8,0.17,2186,85.93,0.62
479	,2634.TW,漢翔,35.4,-0.98,11102,63.34,1.23
480	,2636.TW,台驊投控,76.3,0.39,1452,44.89,0
481	,2637.TW,慧洋-KY,62.6,1.95,5413,73.07,7.51
482	,2640.TW,大車隊,89.5,0.11,29,71.47,0
483	,2641.TW,正德,18.55,-0.8,1241,34.77,11.6
484	,2642.TW,宅配通,49.45,-1.3,196,60.38,14.8
485	,2643.TW,捷迅,68.5,0.74,31,64.62,0
486	,2701.TW,萬企,12.1,-0.82,27,87.9,0
487	,2702.TW,華園,22.5,-0.66,297,74.73,0.81
488	,2704.TW,國賓,31.85,-2.3,106,88.54,0
489	,2705.TW,六福,16.55,-0.9,137,66.02,0
490	,2706.TW,第一店,14.1,-0.35,240,86.22,0
491	,2707.TW,晶華,243.5,-5.44,2298,71.45,11.27
492	,2712.TW,遠雄來,32,-0.16,9,94.61,0
493	,2718.TW,晶悅,33,2.17,15,91.26,0
494	,2719.TW,燦星旅,32.4,-3.57,25,95.09,0
495	,2722.TW,夏都,32.8,-1.8,107,90.38,0.45
496	,2723.TW,美食-KY,146,-3.63,3168,78.06,11.96
497	,2724.TW,富驛-KY,13.55,0,0,85.21,0
498	,2726.TW,雅茗-KY,22.8,-1.3,64,66.15,0.46
499	,2727.TW,王品,164.5,-2.08,1384,44.44,18.06
500	,2729.TW,瓦城,211,2.93,270,68.92,0
501	,2731.TW,雄獅,105.5,-0.94,1616,54.35,55.43
502	,2732.TW,六角,125.5,0,680,62.42,4.95
503	,2734.TW,易飛網,27.35,-1.97,170,45.6,0
504	,2736.TW,富野,21.95,-2.88,862,47.97,21.25
505	,2739.TW,寒舍,29.85,-0.5,54,81.14,0
506	,2740.TW,天蔥,47,-4.86,3,77.31,0
507	,2743.TW,山富,59.5,-1.16,991,59.88,29.17
508	,2745.TW,五福,39.85,-0.37,46,61.31,0
509	,2748.TW,雲品,57.1,-4.67,2278,74.48,47.38
510	,2752.TW,豆府,198,2.59,85,62.08,0
511	,2753.TW,八方雲集,227.5,0.22,1826,67.48,6.46
512	,2754.TW,亞洲藏壽司,141,1.08,380,77.79,29.91
513	,2755.TW,揚秦,82,-0.12,13,67.34,0
514	,2756.TW,聯發國際,124,0.4,69,75.38,0
515	,2801.TW,彰銀,17.25,0.58,2766,82.53,1.63
516	,2809.TW,京城銀,33.55,-1.03,525,78.64,6.56
517	,2812.TW,台中銀,12.8,0,3000,63.6,0.27
518	,2816.TW,旺旺保,15.8,0,23,81.12,1.99
519	,2820.TW,華票,14.5,0,172,64.33,7.98
520	,2832.TW,台產,20.5,0.24,115,68.13,0.34
521	,2834.TW,臺企銀,13,0.39,13145,59.17,3.32
522	,2836.TW,高雄銀,12.4,-0.4,209,83.83,0.25
523	,2838.TW,聯邦銀,15.95,-0.31,334,91.55,5.09
524	,2845.TW,遠東銀,11.05,0.45,1885,75.52,1.02
525	,2849.TW,安泰銀,14.55,-1.36,96,98.34,0
526	,2850.TW,新產,49.5,1.33,317,68.37,2.43
527	,2851.TW,中再保,16.95,-0.29,3264,74.74,8.47
528	,2852.TW,第一保,15.8,0,236,62.82,0
529	,2855.TW,統一證,15.65,0,278,72.79,2.43
530	,2867.TW,三商壽,5.43,-1.81,8898,77.57,0
531	,2880.TW,華南金,22.7,1.11,10720,76.41,4.6
532	,2881.TW,富邦金,56.4,0.18,7591,81.96,29.54
533	,2882.TW,國泰金,39.95,-0.12,39554,78.45,56.5
534	,2883.TW,開發金,12.65,0.4,14721,54.72,23.02
535	,2884.TW,玉山金,24,-0.21,10098,66.5,19.58
536	,2885.TW,元大金,21.65,-0.23,14405,79.12,15.9
537	,2886.TW,兆豐金,30.5,0.49,9815,80.31,7.84
538	,2887.TW,台新金,15.1,0,6594,62.72,1.85
539	,2888.TW,新光金,8.8,0.34,14398,64.17,0.79
540	,2889.TW,國票金,11.35,0.44,5566,56.34,86.05
541	,2890.TW,永豐金,16.6,-0.9,17105,80.64,11.69
542	,2891.TW,中信金,22.15,0.23,17424,79.25,9.32
543	,2892.TW,第一金,26.3,-0.75,17051,70.43,10.47
544	,2897.TW,王道銀行,8.35,-0.48,790,85.57,0.06
545	,2901.TW,欣欣,23.5,-0.63,7,81.57,0
546	,2903.TW,遠百,21.15,-1.63,1136,84.53,1.09
547	,2904.TW,匯僑,19.75,0,12,54.87,0
548	,2905.TW,三商,15.1,-0.33,225,83.6,1.4
549	,2906.TW,高林,18.1,-0.55,727,56.02,1.32
550	,2908.TW,特力,19.6,-0.25,49,89.74,0
551	,2910.TW,統領,29.75,-1.65,20,97.96,0
552	,2911.TW,麗嬰房,7.12,0.85,260,47.52,0
553	,2912.TW,統一超,270.5,-0.55,735,89.32,0.76
554	,2913.TW,農林,21.15,-0.47,581,75.54,1.94
555	,2915.TW,潤泰全,65.1,0.15,1691,70.82,2.61
556	,2916.TW,滿心,23.8,1.06,11,71.13,0
557	,2923.TW,鼎固-KY,20.8,-3.48,26,99.38,0
558	,2924.TW,東凌-KY,33.9,5.94,6,84.12,0
559	,2926.TW,誠品生活,59.8,-1.97,22,71.88,0
560	,2929.TW,淘帝-KY,16.95,-1.45,3690,24.85,8.55
561	,2937.TW,集雅社,36.4,0,0,81.42,0
562	,2939.TW,凱羿-KY,32.2,-2.28,63,66.15,3.84
563	,2945.TW,三商家購,43.7,-0.23,5,83.54,0
564	,2947.TW,振宇五金,92.1,0,0,62.82,0
565	,3002.TW,歐格,11.3,0.44,65,70.35,0
566	,3003.TW,健和興,70.9,1,190,57.3,2.45
567	,3004.TW,豐達科,70,-1.27,85,59.12,0.37
568	,3005.TW,神基,43.75,-0.91,322,75.06,1.05
569	,3006.TW,晶豪科,67.4,3.69,2376,30.31,32.87
570	,3008.TW,大立光,2075,1.72,397,57.75,4.25
571	,3010.TW,華立,83.5,-0.36,91,63.61,10.05
572	,3011.TW,今皓,17.1,-4.2,741,37.35,0
573	,3013.TW,晟銘電,17.6,2.03,2169,67.61,0.98
574	,3014.TW,聯陽,74.2,1.23,584,24.15,12.81
575	,3015.TW,全漢,38.2,0.39,48,65.21,0
576	,3016.TW,嘉晶,71.1,1.28,300,71.14,17.98
577	,3017.TW,奇鋐,112.5,0.45,1088,76.12,22.94
578	,3019.TW,亞光,61,0.83,310,41.41,8.5
579	,3021.TW,鴻名,20.15,0.75,18,72.13,0
580	,3022.TW,威強電,72.1,1.84,901,74.5,5.74
581	,3023.TW,信邦,274,-0.36,218,71.49,12.9
582	,3024.TW,憶聲,13.3,-0.75,273,48.1,0.07
583	,3025.TW,星通,20.45,-0.49,375,22.29,2.89
584	,3026.TW,禾伸堂,90.1,-0.99,81,42.9,0.1
585	,3027.TW,盛達,35.1,4.93,11727,45.12,12.53
586	,3028.TW,增你強,28.95,0,197,36.59,21.38
587	,3029.TW,零壹,40.1,-0.12,72,35.4,1.17
588	,3030.TW,德律,64,0.47,151,58.29,0.14
589	,3031.TW,佰鴻,15.15,1,36,58.65,0
590	,3032.TW,偉訓,29.85,-0.17,60,54.18,0.12
591	,3033.TW,威健,26.3,0,328,29.86,3.14
592	,3034.TW,聯詠,334.5,6.02,11770,62.78,25
593	,3035.TW,智原,147,3.16,12210,54.79,37.71
594	,3036.TW,文曄,61.1,0,532,85.22,4.08
595	,3037.TW,欣興,122,1.67,11471,67.08,12
596	,3038.TW,全台,20.35,0.25,301,40.18,0.42
597	,3040.TW,遠見,29.35,0,6,50.12,0
598	,3041.TW,揚智,20.6,0.49,261,22.93,5.67
599	,3042.TW,晶技,82.2,-0.6,527,42.23,5.89
600	,3043.TW,科風,26.7,-1.84,46,11.91,0
601	,3044.TW,健鼎,94.9,0.96,485,84.56,1.07
602	,3045.TW,台灣大,95.4,0.74,1682,90.53,0
603	,3046.TW,建碁,47.7,0.85,823,57.51,16.49
604	,3047.TW,訊舟,15.65,3.64,3010,27.71,12.38
605	,3048.TW,益登,26.7,-0.56,191,49.11,3.18
606	,3049.TW,和鑫,9.1,0.11,601,50.59,0.4
607	,3050.TW,鈺德,16.8,-1.47,1581,62.54,0.26
608	,3051.TW,力特,17.5,2.04,461,40.42,0.09
609	,3052.TW,夆典,10.4,0.97,71,64.87,0.7
610	,3054.TW,立萬利,19.3,-3.26,79,84.75,0
611	,3055.TW,蔚華科,24.4,-1.41,76,68.94,0.2
612	,3056.TW,總太,31.05,-0.64,251,49.14,1.63
613	,3057.TW,喬鼎,9.98,0,45,28.06,0
614	,3058.TW,立德,9.88,-0.6,153,26.35,0
615	,3059.TW,華晶科,33.2,0.3,582,28.01,3.02
616	,3060.TW,銘異,16.1,0,155,15.03,0.33
617	,3062.TW,建漢,23.2,1.09,999,27.96,1.59
618	,3064.TW,泰偉,13.1,6.07,1,70.49,0
619	,3066.TW,李洲,25.25,-3.81,313,76.17,2.23
620	,3067.TW,全域,35.65,-0.56,1,72.2,0
621	,3071.TW,協禧,24.7,0.41,72,58.78,0
622	,3073.TW,天方能源,29.5,2.25,11,79.21,0
623	,3078.TW,僑威,28.2,0.18,177,41.43,0.03
624	,3081.TW,聯亞,108,1.89,714,51.62,5.38
625	,3083.TW,網龍,51.4,0.78,5289,57.26,7.07
626	,3085.TW,新零售,10.7,3.88,6,79.47,0
627	,3086.TW,華義,83.1,-0.84,36,77.53,2.35
628	,3088.TW,艾訊,59.5,0.85,122,43.66,0
629	,3089.TW,億杰,67,3.08,69,66.04,0
630	,3090.TW,日電貿,52.9,0.57,160,41.36,0.5
631	,3092.TW,鴻碩,33.7,0.9,147,39.59,4.09
632	,3093.TW,港建*,27.2,0.93,79,83.63,0.12
633	,3094.TW,聯傑,23.95,0.63,85,16.03,0.11
634	,3095.TW,及成,36.6,0.41,2,38.79,0
635	,3105.TW,穩懋,143,4.76,3265,66.45,42.37
636	,3114.TW,好德,25.4,0.4,15,51.97,0.08
637	,3115.TW,富榮綱,11.2,0.45,17,72.19,0
638	,3118.TW,進階,27.9,0.9,6,41.39,0
639	,3122.TW,笙泉,25.2,0.6,154,23.17,6.79
640	,3128.TW,昇銳,42.6,2.77,2687,37.23,42.62
641	,3130.TW,一零四,205.5,0.24,8,77.9,0
642	,3131.TW,弘塑,228,0.44,15,41.32,0
643	,3138.TW,耀登,134,2.68,177,22.12,1.69
644	,3141.TW,晶宏,79.6,3.51,1965,15.32,43.33
645	,3147.TW,大綜,51.6,-0.39,52,58.58,0.88
646	,3149.TW,正達,18.45,-0.27,354,37.56,0
647	,3152.TW,璟德,182,-0.27,10,60.33,6.79
648	,3162.TW,精確,49.15,-0.2,2590,65.46,1.1
649	,3163.TW,波若威,51.3,3.64,1049,20.49,1.24
650	,3164.TW,景岳,23.5,-0.84,92,57.48,0.65
651	,3167.TW,大量,40.7,1.24,12,59.55,0.12
652	,3169.TW,亞信,103,4.04,381,30.25,9.33
653	,3171.TW,新洲,16.4,0.92,12,77.45,0
654	,3176.TW,基亞,32,-4.76,470,29.85,0
655	,3178.TW,公準,62.1,-1.11,38,63.38,0.08
656	,3188.TW,鑫龍騰,12.3,-1.6,142,77.45,0.02
657	,3189.TW,景碩,106,1.44,3960,64.39,16.02
658	,3191.TW,和進,6.89,-1.43,15,55.55,0
659	,3202.TW,樺晟,14.25,-0.7,66,29.66,0
660	,3205.TW,佰研,40.85,0.37,210,32.15,13.67
661	,3206.TW,志豐,29.3,-0.51,101,44.48,0
662	,3207.TW,耀勝,49.05,0.51,977,30.83,15.63
663	,3209.TW,全科,36.05,0.98,370,38,35.81
664	,3211.TW,順達,72.7,-0.41,50,29.42,0.24
665	,3213.TW,茂訊,43.7,-0.68,11,23.88,0
666	,3217.TW,優群,79.5,-0.63,246,55.12,0.59
667	,3218.TW,大學光,299,0.17,1322,69.38,4.16
668	,3219.TW,倚強科,46.2,0.33,25,89.14,0.14
669	,3221.TW,台嘉碩,26,-0.19,318,30.04,1
670	,3224.TW,三顧,40.55,-1.1,89,48.49,2.89
671	,3226.TW,至寶電,56,-1.93,2,86.75,0
672	,3227.TW,原相,97.5,1.14,352,31,13.23
673	,3228.TW,金麗科,183.5,1.66,1190,29.56,26.22
674	,3229.TW,晟鈦,19.35,-1.53,8,70.51,0
675	,3230.TW,錦明,12.9,0,2,54.78,0.06
676	,3231.TW,緯創,29.2,-0.68,7761,60.41,7.23
677	,3232.TW,昱捷,30.25,0.5,146,58.75,0.4
678	,3234.TW,光環,21.45,1.66,275,14.6,8.5
679	,3236.TW,千如,23.3,0.65,236,33.81,1.24
680	,3252.TW,海灣,19.75,0.25,570,72.32,0
681	,3257.TW,虹冠電,43,-0.46,15,56.7,1.17
682	,3259.TW,鑫創,17.7,0,6,57.6,0
683	,3260.TW,威剛,57.8,1.4,440,21.62,32.19
684	,3264.TW,欣銓,49.6,0,1649,57.69,6.92
685	,3265.TW,台星科,45.5,-0.22,664,64.24,8.89
686	,3266.TW,昇陽,11.75,-0.84,73,90.18,0.15
687	,3268.TW,海德威,21.95,0.46,14,34.25,0.17
688	,3272.TW,東碩,45.8,2.92,403,55.23,14.88
689	,3276.TW,宇環,12.35,2.07,34,71.48,0
690	,3284.TW,太普高,14.35,2.5,97,77.13,0
691	,3285.TW,微端,19.1,0,3,61.55,0
692	,3287.TW,廣寰科,13.35,0.38,109,60.22,0
693	,3288.TW,點晶,22.75,3.88,3,40.25,0
694	,3289.TW,宜特,75.3,7.26,4225,29.33,12.7
695	,3290.TW,東浦,23,1.55,1141,53.38,0.23
696	,3293.TW,鈊象,433.5,0,1984,55.94,14.02
697	,3294.TW,英濟,17,0.29,43,64.76,0.1
698	,3296.TW,勝德,16.4,1.86,787,72.81,0.33
699	,3297.TW,杭特,17.95,0.56,215,53.47,1.46
700	,3303.TW,岱稜,25.1,0.4,41,50.24,0
701	,3305.TW,昇貿,40,0.88,123,44.6,5.25
702	,3306.TW,鼎天,22.8,1.33,98,50.53,0
703	,3308.TW,聯德,14.4,-0.35,43,76.18,0
704	,3310.TW,佳穎,43.8,-0.11,172,77.67,6.63
705	,3311.TW,閎暉,33.65,1.66,44,54.14,0
706	,3312.TW,弘憶股,17.25,0,127,51.69,0
707	,3313.TW,斐成,9.97,0,59,65.35,0
708	,3317.TW,尼克森,53.7,0.37,328,24.07,1.67
709	,3321.TW,同泰,9.07,-0.33,162,47.6,0
710	,3322.TW,建舜電,19,2.15,317,36.48,3.28
711	,3323.TW,加百裕,33.6,1.82,111,16.68,0.62
712	,3324.TW,雙鴻,152,2.7,681,47.14,14.12
713	,3325.TW,旭品,12.55,0.4,53,29.6,0.34
714	,3332.TW,幸康,41.6,-0.24,1,87.59,0
715	,3338.TW,泰碩,31.5,0.64,117,26.66,0.39
716	,3339.TW,泰谷,12.65,0.4,94,49.56,2.3
717	,3346.TW,麗清,34.75,0.72,326,33.45,3.16
718	,3349.TW,寶德,13,-2.62,3,65.06,0
719	,3354.TW,律勝,13.55,0,454,72.62,0
720	,3356.TW,奇偶,39.5,1.94,1359,27.57,19.57
721	,3357.TW,臺慶科,80.4,-0.62,23,60.65,0
722	,3360.TW,尚立,13.35,0,22,27.88,0
723	,3362.TW,先進光,70.9,1.43,655,60.9,11.94
724	,3363.TW,上詮,22.85,0.66,80,28.53,0.03
725	,3372.TW,典範,11.1,0.45,134,48.06,0.36
726	,3373.TW,熱映,27.2,-3.55,323,28.7,22.07
727	,3374.TW,精材,97.8,1.56,588,53.18,14.14
728	,3376.TW,新日興,82.4,0.98,180,63.91,0.31
729	,3379.TW,彬台,11.6,-0.85,7,48.62,0
730	,3380.TW,明泰,28.75,1.95,751,72.42,2.76
731	,3388.TW,崇越電,74.8,1.91,106,42.59,3.26
732	,3390.TW,旭軟,18,2.27,209,34.47,0.44
733	,3402.TW,漢科,45.2,2.49,288,32.92,1.3
734	,3406.TW,玉晶光,349,4.02,1877,46.91,30.5
735	,3413.TW,京鼎,181.5,1.68,298,54.05,7.77
736	,3416.TW,融程電,83,0,15,65.5,16.48
737	,3419.TW,譁裕,18.45,0.27,603,31.17,1.95
738	,3426.TW,台興,37.8,0,0,57.48,0
739	,3430.TW,奇鈦科,42.75,0.71,85,43.13,0
740	,3432.TW,台端,18.85,2.45,214,67.76,9.92
741	,3434.TW,哲固,24.9,3.53,214,39.12,2.47
742	,3437.TW,榮創,17.05,0,132,34.8,0.27
743	,3438.TW,類比科,54.1,0,184,56.35,30.55
744	,3441.TW,聯一光,39.8,2.71,476,26.56,3.06
745	,3443.TW,創意,684,6.71,6400,67.97,61.89
746	,3444.TW,利機,62.3,-1.74,1389,60.95,1.89
747	,3447.TW,展達,40.9,3.54,470,75.76,0
748	,3450.TW,聯鈞,36.7,-0.14,99,26.22,0.07
749	,3454.TW,晶睿,206.5,4.82,13864,72.94,64.14
750	,3455.TW,由田,79.9,0,172,32.62,0.73
751	,3465.TW,進泰電子,81.2,1.37,12,77.73,0
752	,3466.TW,致振,32.8,1.55,1807,70.36,5.79
753	,3479.TW,安勤,85,4.42,13595,50.23,6.4
754	,3481.TW,群創,11.2,1.36,40806,48.19,2.89
755	,3483.TW,力致,52.6,0.38,214,24.85,0.3
756	,3484.TW,崧騰,43.15,0.47,76,29.98,0.22
757	,3489.TW,森寶,10.1,0,9,80.11,0
758	,3490.TW,單井,24.2,-0.62,206,21.46,0.56
759	,3491.TW,昇達科,136,1.12,473,29.01,15.6
760	,3492.TW,長盛,18.3,0.27,117,48.74,0
761	,3494.TW,誠研,10.8,3.35,825,33.6,0
762	,3498.TW,陽程,37.7,1.34,157,41.37,1.65
763	,3499.TW,環天科,18.45,-0.54,235,45.46,6.48
764	,3501.TW,維熹,49.3,-0.4,63,52.08,0
765	,3504.TW,揚明光,78.5,3.56,903,65.5,26.87
766	,3508.TW,位速,38.5,-1.16,3064,28.98,47.82
767	,3511.TW,矽瑪,33.35,1.21,154,55.13,0.38
768	,3512.TW,皇龍,28.65,0,23,77.25,0
769	,3515.TW,華擎,149,4.93,10907,74.48,23.87
770	,3516.TW,亞帝歐,16.4,0,20,71.4,0
771	,3518.TW,柏騰,19.45,-0.26,103,33.64,0.41
772	,3520.TW,華盈,18.15,-0.27,309,34.44,1.73
773	,3521.TW,鴻翊,22.1,0,344,60.94,0
774	,3522.TW,御頂,10.3,0.49,21,40.38,0
775	,3523.TW,迎輝,18.65,-0.27,31,76.07,0
776	,3526.TW,凡甲,117.5,2.62,86,47.39,2.66
777	,3527.TW,聚積,102.5,2.5,60,23.88,10.95
778	,3528.TW,安馳,50.4,0,34,70.34,0
779	,3529.TW,力旺,1395,4.49,801,55.73,40.62
780	,3530.TW,晶相光,71.9,0.56,32,58.13,16.42
781	,3531.TW,先益,26.3,0.19,13,75.56,0.2
782	,3532.TW,台勝科,140,2.94,1091,87.62,11.19
783	,3533.TW,嘉澤,824,-0.24,575,69.44,44.81
784	,3535.TW,晶彩科,21.65,3.1,536,27.97,18.51
785	,3536.TW,誠創,4,0.25,24,58.24,0
786	,3537.TW,堡達,34.9,0.29,19,32.04,0
787	,3540.TW,曜越,27.9,0.9,205,28.6,0
788	,3541.TW,西柏,53.5,0.94,11,38.05,0.3
789	,3543.TW,州巧,19.65,-0.76,29,61.35,0
790	,3545.TW,敦泰,62.6,6.83,11084,24.02,47.69
791	,3546.TW,宇峻,76.7,-0.52,246,28.73,0.83
792	,3548.TW,兆利,59.9,-1.16,150,42.97,0.53
793	,3550.TW,聯穎,14,0,7,48.8,0.02
794	,3551.TW,世禾,57.6,0.17,17,52.21,1.36
795	,3552.TW,同致,138,1.47,517,39.95,16.87
796	,3555.TW,重鵬,28.7,0,8,76.26,0
797	,3556.TW,禾瑞亞,55,0,77,17.47,2.19
798	,3557.TW,嘉威,49.15,-0.71,12,64.87,0
799	,3558.TW,神準,204.5,2.76,1490,55.51,18.12
800	,3563.TW,牧德,131.5,0.77,53,24.06,0
801	,3564.TW,其陽,30.5,1.84,46,69.22,0
802	,3567.TW,逸昌,23.8,-1.45,55,31.11,4.07
803	,3570.TW,大塚,87.1,0.11,6,60.56,0
804	,3576.TW,聯合再生,20.6,-0.24,4340,44.39,3.23
805	,3577.TW,泓格,88,4.14,560,69.72,1.79
806	,3580.TW,友威科,59.6,1.02,262,35.98,0.78
807	,3581.TW,博磊,21.8,-0.46,17,61.12,0
808	,3583.TW,辛耘,72.7,0.97,152,55.55,1.23
809	,3587.TW,閎康,155.5,2.64,1666,50.89,33.46
810	,3588.TW,通嘉,54.6,2.82,281,34.99,27.76
811	,3591.TW,艾笛森,15.55,-0.64,274,53.22,0.13
812	,3592.TW,瑞鼎,325.5,6.9,2514,41.34,25.55
813	,3593.TW,力銘,13.3,-0.37,2,69.89,0
814	,3594.TW,磐儀,28.2,4.25,1001,54.27,0.48
815	,3596.TW,智易,96.7,1.04,354,68.94,4.81
816	,3597.TW,映興,23.35,0.21,7,66.4,0.11
817	,3605.TW,宏致,31.7,-0.63,100,44.96,0.13
818	,3607.TW,谷崧,11.9,0.42,27,32.9,0.59
819	,3609.TW,三一東林,51.1,-1.35,48,64.96,0.17
820	,3611.TW,鼎翰,193,0.26,18,57.78,0
821	,3615.TW,安可,16.6,0,35,34.37,0.08
822	,3617.TW,碩天,95,1.06,228,68.82,6.77
823	,3622.TW,洋華,27.7,2.03,63,59.31,0.7
824	,3623.TW,富晶通,15.5,0.65,41,52.6,0
825	,3624.TW,光頡,39.6,2.06,428,48.45,13.67
826	,3625.TW,西勝,12.15,-0.41,115,41.01,1.16
827	,3628.TW,盈正,42.75,0.35,57,61.55,0.16
828	,3629.TW,地心引力,39.7,0,0,90.11,0
829	,3630.TW,新鉅科,28.1,0.9,101,53.64,8.39
830	,3631.TW,晟楠,40.25,-0.86,40,82.52,0.19
831	,3632.TW,研勤,9.91,-0.9,11,18.14,0
832	,3645.TW,達邁,32.05,0.16,120,49.75,6.07
833	,3646.TW,艾恩特,23.4,0.43,3,42.39,0
834	,3652.TW,精聯,22.65,0.89,37,72.12,0
835	,3653.TW,健策,376.5,0,786,78.32,41.28
836	,3661.TW,世芯-KY,855,8.5,6365,47.17,35.92
837	,3663.TW,鑫科,28.45,0,39,65.09,0.04
838	,3664.TW,安瑞-KY,11.8,-0.42,29,59.12,0
839	,3665.TW,貿聯-KY,239,1.06,512,62.53,4.77
840	,3666.TW,光耀,19.15,-1.29,107,54.06,0.91
841	,3669.TW,圓展,46.15,-0.32,129,58.55,7.33
842	,3672.TW,康聯訊,26.45,-0.94,5,57.07,0
843	,3673.TW,TPK-KY,29.5,0.17,412,40.24,1.02
844	,3675.TW,德微,166,3.11,366,59.57,19.15
845	,3679.TW,新至陞,92.8,1.64,37,67.99,0
846	,3680.TW,家登,276,4.15,2832,61.77,33.3
847	,3682.TW,亞太電,6,-1.64,1376,76.99,0
848	,3684.TW,榮昌,55.4,-0.36,13,62.26,0
849	,3685.TW,元創精密,19.75,-0.75,32,63.17,0.24
850	,3686.TW,達能,15.45,1.98,238,14.27,0
851	,3687.TW,歐買尬,94.5,0,1465,37.64,11.15
852	,3689.TW,湧德,31.95,0,65,25.51,0.8
853	,3691.TW,碩禾,100,0.5,147,60.23,2.94
854	,3693.TW,營邦,112,-1.75,947,67.56,19.97
855	,3694.TW,海華,19.5,0.52,70,67.18,0.03
856	,3701.TW,大眾控,37.25,0.4,202,80.82,2.8
857	,3702.TW,大聯大,47.85,-0.52,2200,80.56,17.89
858	,3703.TW,欣陸,27.75,-0.89,979,76.01,7.52
859	,3704.TW,合勤控,34.7,-0.57,7262,57.1,4.12
860	,3705.TW,永信,45.1,-1.96,3367,62.1,2.07
861	,3706.TW,神達,29.6,0.34,899,53.71,1.37
862	,3707.TW,漢磊,86.2,1.89,2440,44.93,31.03
863	,3708.TW,上緯投控,99.6,4.29,5200,50.15,6.56
864	,3709.TW,鑫聯大投控,22.85,0.44,4,82.58,0
865	,3710.TW,連展投控,11.25,0.9,757,21.92,0
866	,3711.TW,日月光投控,94.6,0.75,7290,86.59,20.87
867	,3712.TW,永崴投控,28.6,2.88,1137,53.23,0.29
868	,3713.TW,新晶投控,29.45,1.73,197,62.24,0
869	,3714.TW,富采,45.1,0.78,1009,43.68,3.68
870	,3715.TW,定穎投控,16.3,0.62,312,40.53,0.02
871	,4102.TW,永日,33.9,-5.96,3751,33.61,7.45
872	,4104.TW,佳醫,68,0.59,298,45.02,0
873	,4105.TW,東洋,83.5,0.12,807,54.43,3.73
874	,4106.TW,雃博,28.6,-2.72,1580,48.32,8.73
875	,4107.TW,邦特,111.5,0,144,57.83,0
876	,4108.TW,懷特,19.1,0,99,29.12,0
877	,4109.TW,加捷生醫,14.65,-0.34,90,52.22,0.32
878	,4111.TW,濟生,26.65,-1.66,520,38.87,1.15
879	,4113.TW,聯上,11.75,0,214,71.46,0
880	,4114.TW,健喬,46,-5.54,31085,51.67,14.41
881	,4116.TW,明基醫,64.8,1.25,295,55.91,10.38
882	,4119.TW,旭富,96.5,-1.03,167,48.27,0.53
883	,4120.TW,友華,35.85,-0.97,115,68.42,0
884	,4121.TW,優盛,24.6,0.61,4604,37.25,10.37
885	,4123.TW,晟德,46.55,-1.59,965,56.87,0.41
886	,4126.TW,太醫,74.5,-1.32,204,52.48,0
887	,4127.TW,天良,15.1,-2.27,268,36.16,0.44
