符合條件商品
資料日期：2023年  1月  3日
策略,	06基本資料C
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例,	券資比
執行時間：2023-01-03 23:46 符合檔數(1775)
102	,1473.TW,台南,21.2,1.44,115,68.19,0
103	,1474.TW,弘裕,12,0.42,39,52.44,0
104	,1475.TW,業旺,64,0.47,58,64.05,2.32
105	,1476.TW,儒鴻,483.5,-2.42,709,81.42,23.67
106	,1477.TW,聚陽,225.5,-3.22,2767,68.24,49.18
107	,1503.TW,士電,61,0.83,265,86.88,1.52
108	,1504.TW,東元,27.35,-0.73,2031,81.4,0.7
109	,1506.TW,正道,17.35,0.87,190,77.21,0
110	,1512.TW,瑞利,4.7,-2.08,199,60.29,0
111	,1513.TW,中興電,72.1,7.29,57810,58.35,19.35
112	,1514.TW,亞力,30.5,3.92,8738,53.02,1.34
113	,1515.TW,力山,29.9,0,277,53.88,28.32
114	,1516.TW,川飛,19.8,-0.5,32,49.36,0.13
115	,1517.TW,利奇,20.6,2.23,775,47,7.76
116	,1519.TW,華城,52.4,8.49,25523,74.89,5.45
117	,1521.TW,大億,34.45,-1.29,20,67.5,0
118	,1522.TW,堤維西,27.95,0.36,2732,59.44,8.19
119	,1524.TW,耿鼎,24.7,-0.6,3484,37.53,30.4
120	,1525.TW,江申,56.8,-0.35,31,85.52,0.14
121	,1526.TW,日馳,40.85,0.74,133,44.04,1.56
122	,1527.TW,鑽全,40.9,-0.12,133,27.75,0.86
123	,1528.TW,恩德,10.05,-0.99,334,50.12,0.25
124	,1529.TW,樂事綠能,21.3,5.45,9701,62.24,1.77
125	,1530.TW,亞崴,31,0,14,78.19,0
126	,1531.TW,高林股,13.9,-0.71,18,65.67,0
127	,1532.TW,勤美,28.8,0.35,183,76.22,0
128	,1533.TW,車王電,49,0.31,64,67.07,5.48
129	,1535.TW,中宇,42.85,0,64,77.3,0
130	,1536.TW,和大,67,0,3200,54.34,8.29
131	,1537.TW,廣隆,137,0,46,56.25,0
132	,1538.TW,正峰,8.09,1.12,25,56.2,0
133	,1539.TW,巨庭,28.75,0.52,179,60.68,8.4
134	,1540.TW,喬福,15.25,0,41,40.11,0.32
135	,1541.TW,錩泰,33.3,-0.6,14,83.55,0
136	,1558.TW,伸興,119,0,44,31.12,0
137	,1560.TW,中砂,108,2.37,2032,47.07,11.84
138	,1565.TW,精華,249,1.01,105,33.65,0.71
139	,1568.TW,倉佑,22.55,-0.66,115,59.22,1.43
140	,1569.TW,濱川,22,0,126,51.38,0
141	,1570.TW,力肯,16.65,-1.19,28,44.04,0
142	,1580.TW,新麥,90.3,-0.66,60,34.91,0
143	,1582.TW,信錦,59.1,0.17,57,36.73,5.24
144	,1583.TW,程泰,61.2,-0.65,8,93.54,0
145	,1584.TW,精剛,22.4,0.22,3858,53.4,17.27
146	,1586.TW,和勤,35,4.48,68,63.89,0.13
147	,1587.TW,吉茂,21.35,-1.84,75,53.54,0.36
148	,1589.TW,永冠-KY,57.3,0.7,96,46.51,1
149	,1590.TW,亞德客-KY,930,-0.11,579,77.07,7.69
150	,1591.TW,駿吉-KY,17,1.19,61,49.8,0
151	,1593.TW,祺驊,68.3,0,0,51.95,0.66
152	,1595.TW,川寶,38.1,-0.26,6,54.21,0
153	,1597.TW,直得,68.9,-1.57,44,54.61,0.44
154	,1598.TW,岱宇,41.05,0.86,120,59.39,2.1
155	,1599.TW,宏佳騰,39.05,-0.13,7,69.53,1.72
156	,1603.TW,華電,25.95,-0.19,260,84.07,0
157	,1604.TW,聲寶,26.2,-1.13,124,59.69,1.74
158	,1605.TW,華新,46.95,-0.53,76318,82.38,23.85
159	,1608.TW,華榮,13.65,-0.36,460,64.37,0.62
160	,1609.TW,大亞,20.85,2.71,10695,34.15,1.8
161	,1611.TW,中電,13.15,-0.38,396,55.03,0.56
162	,1612.TW,宏泰,16.45,1.23,468,59.97,2.46
163	,1614.TW,三洋電,35.4,-0.14,11,82.92,0
164	,1615.TW,大山,28.45,-0.87,40,82.55,0
