符合條件商品
資料日期：2021年 12月  3日
策略,	10漲停同買同賣資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲停次數,	四大同買,	四大同賣,	內外盤
執行時間：2021-12-05 17:22 符合檔數(1584)
99	,1470.TW,大統新創,18,-0.28,1,0,0,0,11
100	,1471.TW,首利,7.4,-0.67,237,19,0,0,10
101	,1472.TW,三洋實業,32.15,-3.45,4,2,0,0,22
102	,1473.TW,台南,17.85,-0.28,62,0,0,0,10
103	,1474.TW,弘裕,14.9,0,455,7,0,0,8
104	,1475.TW,業旺,48,0.42,18,9,0,0,15
105	,1476.TW,儒鴻,591,1.72,1070,0,9,2,14
106	,1477.TW,聚陽,237,-0.84,2564,0,13,10,10
107	,1503.TW,士電,53.2,0.19,76,0,0,0,22
108	,1504.TW,東元,30.25,-0.17,2015,0,4,2,10
109	,1506.TW,正道,13.25,3.52,1595,5,0,0,13
110	,1507.TW,永大,64.4,-0.16,509,2,0,0,5
111	,1513.TW,中興電,44.95,0.33,1333,0,8,6,15
112	,1514.TW,亞力,23.35,0,177,0,0,0,13
113	,1515.TW,力山,62.9,0.16,771,0,3,2,11
114	,1516.TW,川飛,24,0,91,0,0,0,18
115	,1517.TW,利奇,27.45,3.2,1494,9,0,0,12
116	,1519.TW,華城,35,0,344,1,0,0,8
117	,1521.TW,大億,41.8,0.48,86,0,0,0,13
118	,1522.TW,堤維西,19.15,0.79,155,0,3,0,12
119	,1524.TW,耿鼎,10,-0.5,74,0,0,0,9
120	,1525.TW,江申,59.3,1.37,18,1,0,0,8
121	,1526.TW,日馳,48.6,0.52,122,3,0,0,11
122	,1527.TW,鑽全,41.95,0.36,196,0,0,1,5
123	,1528.TW,恩德,10.85,0.46,428,2,1,0,9
124	,1529.TW,樂士,21.55,9.95,4620,3,0,0,13
125	,1530.TW,亞崴,33.3,0.91,13,1,0,0,14
126	,1531.TW,高林股,15.25,0,92,0,0,0,8
127	,1532.TW,勤美,32.2,-0.31,196,0,1,0,13
128	,1533.TW,車王電,56.6,0.89,166,7,0,0,8
129	,1535.TW,中宇,39.4,0.25,29,1,0,0,9
130	,1536.TW,和大,91.1,0.22,416,0,0,5,9
131	,1537.TW,廣隆,138.5,0.36,54,0,2,0,7
132	,1538.TW,正峰,11.2,3.7,2,3,0,0,13
