符合條件商品
資料日期：2021年 12月 16日
策略,	05準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2021-12-17 07:00 符合檔數(1445)
1	,1101.TW,台泥,46.9,-0.11,7612,0.47,0.57,0.51,0.59,0.54,0.39
2	,1102.TW,亞泥,42.95,-1.04,12503,0.49,0.53,0.56,0.55,0.5,0.4
3	,1103.TW,嘉泥,20.3,0.25,322,0.51,0.63,0.44,0.31,0.32,0.4
4	,1104.TW,環泥,21.3,-1.16,303,0.42,0.53,0.36,0,0.19,0.39
5	,1108.TW,幸福,11.45,-0.87,128,0.53,0.55,0.34,0,0.43,0.37
6	,1109.TW,信大,19.95,0.5,101,0.53,0.62,0.34,0.17,0.2,0.4
7	,1110.TW,東泥,19.75,1.54,706,0.45,0.45,0.28,0,0.48,0.31
8	,1201.TW,味全,22.05,0.68,612,0.6,0.65,0.56,0,0.49,0.43
9	,1203.TW,味王,32.3,0.47,4,0.46,0.53,0.26,0,0,0.29
10	,1210.TW,大成,52.3,-0.38,1385,0.61,0.59,0.57,0.51,0.54,0.42
11	,1215.TW,卜蜂,80.1,0.12,243,0.52,0.63,0.64,0.47,0.45,0.47
12	,1216.TW,統一,68.5,0.15,4638,0.33,0.57,0.55,0.59,0.5,0.42
13	,1217.TW,愛之味,10.35,-0.48,863,0.55,0.58,0.33,0,0.64,0.51
14	,1218.TW,泰山,27.1,0,208,0.55,0.67,0.61,0,0.46,0.42
15	,1219.TW,福壽,19.9,0.25,465,0.55,0.48,0.36,0,0.38,0.4
16	,1220.TW,台榮,15.6,0.32,93,0.45,0.49,0.22,0.25,0.18,0.28
17	,1225.TW,福懋油,51.3,-0.19,33,0.5,0.63,0.23,0,0.14,0.38
18	,1227.TW,佳格,53.2,1.72,2917,0.5,0.62,0.53,0.45,0.23,0.45
19	,1229.TW,聯華,58,0.52,808,0.62,0.57,0.53,0.45,0.4,0.41
20	,1231.TW,聯華食,68.3,0.44,83,0.47,0.61,0.31,0.07,0.17,0.4
21	,1232.TW,大統益,156.5,0,159,0.44,0.48,0.38,0.27,0,0.36
22	,1233.TW,天仁,34.4,0.15,94,0.19,0.45,0.15,0,0,0.21
