符合條件商品
資料日期：2023年  1月  3日
策略,	03總結B
序號,	代碼,	商品,	成交,	漲幅%,	總量,	買,	賣,	主力連買,	融資連買,	外資連買,	自營連買,	投信連買,	借券連賣,	融券連賣,	主力連賣,	融資連賣,	外資連賣,	自營連賣,	投信連賣,	借券連買,	融券連買
執行時間：2023-01-03 23:28 符合檔數(1446)
55	,1342.TW,八貫,128,-2.29,12334,0,0,0,3,0,1,0,0,0,1,0,1,0,0,1,2
56	,1402.TW,遠東新,31.7,-0.63,5497,8,0,0,0,0,1,12,3,0,1,2,1,0,0,0,0
57	,1409.TW,新纖,17.45,-0.57,1474,0,1,0,0,0,1,1,4,1,4,5,1,0,0,0,0
58	,1410.TW,南染,40.45,0.25,34,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0
59	,1414.TW,東和,17.75,-0.28,166,0,0,0,0,0,1,0,2,0,0,2,4,0,0,0,0
60	,1416.TW,廣豐,10.15,0,59,0,6,0,0,0,0,0,0,0,10,1,1,0,0,0,0
61	,1417.TW,嘉裕,14.55,2.11,7758,0,1,0,2,0,0,0,0,0,5,0,1,0,0,4,2
62	,1418.TW,東華,14.1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63	,1419.TW,新紡,39.95,-0.25,21,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0
64	,1423.TW,利華,20.05,-0.5,8,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
65	,1434.TW,福懋,26.7,-0.19,1005,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0
66	,1436.TW,華友聯,56.3,0,45,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
67	,1437.TW,勤益控,25.65,-1.35,924,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0
68	,1438.TW,三地開發,31.4,-0.16,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
69	,1439.TW,雋揚,20.9,0.72,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70	,1440.TW,南紡,16.65,-0.89,524,0,9,0,0,0,0,1,0,1,4,2,4,13,0,1,0
71	,1442.TW,名軒,35.75,2.73,565,0,0,1,3,0,0,0,0,0,0,0,1,1,0,2,1
72	,1443.TW,立益物流,20.9,-0.71,40,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
73	,1444.TW,力麗,10.15,-0.49,874,0,0,0,0,0,0,1,0,0,1,1,1,3,0,1,0
74	,1445.TW,大宇,16.15,-0.92,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75	,1446.TW,宏和,31.35,2.12,153,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0
76	,1447.TW,力鵬,7.62,-0.65,875,0,0,0,0,0,0,0,1,1,3,2,4,1,0,0,0
77	,1449.TW,佳和,16.25,0.31,156,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0
78	,1451.TW,年興,21,0.24,223,0,6,0,0,0,0,0,0,0,10,0,4,1,0,0,0
79	,1452.TW,宏益,17.45,-0.57,54,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0
80	,1453.TW,大將,14.85,0.68,199,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
81	,1454.TW,台富,13.25,0,117,2,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0
82	,1455.TW,集盛,10.4,0.48,870,0,0,4,0,2,0,0,0,0,0,1,0,1,0,0,0
83	,1456.TW,怡華,15.35,0,46,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
84	,1457.TW,宜進,18.65,-0.27,98,0,0,3,1,0,0,0,0,0,0,0,3,1,0,4,0
