符合條件商品
資料日期：2023年  4月 20日
策略,	01主力買進股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2023-04-20 23:57 符合檔數(641)
463	,1560.TW,中砂,112.5,-1.32,1137,0.64
464	,4130.TW,健亞,27.95,-3.95,2179,0.64
465	,1513.TW,中興電,105.5,-2.31,17841,0.64
466	,2427.TW,三商電,14.95,-1.97,3915,0.64
467	,2739.TW,寒舍,68.3,-8.08,2342,0.64
468	,5450.TW,南良,22.6,-5.24,674,0.63
469	,3624.TW,光頡,72.1,-5.26,5092,0.63
470	,3419.TW,譁裕,19.65,-3.44,1410,0.63
471	,5403.TW,中菲,97.3,-5.99,1755,0.63
472	,2753.TW,八方雲集,187.5,-1.57,3547,0.63
473	,1727.TW,中華化,26.85,-3.42,955,0.63
474	,6285.TW,啟碁,97.1,-3.38,12180,0.63
475	,5465.TW,富驊,37.95,-8.88,10592,0.63
476	,6477.TW,安集,54.9,-3.68,11272,0.63
477	,3189.TW,景碩,107.5,-0.92,4853,0.62
478	,3045.TW,台灣大,103,-0.96,6101,0.62
479	,3094.TW,聯傑,33.8,-5.06,4756,0.62
480	,5258.TW,虹堡,84,-3.56,5621,0.62
481	,3576.TW,聯合再生,21.45,-4.03,28793,0.62
482	,2486.TW,一詮,28.9,-3.51,3785,0.62
483	,2312.TW,金寶,13.4,-1.47,7618,0.62
484	,8383.TW,千附,44.15,-2.65,2127,0.62
485	,1102.TW,亞泥,43.5,0.46,2529,0.61
486	,8289.TW,泰藝,45.8,-3.68,1999,0.61
487	,6182.TW,合晶,45.15,-0.22,3941,0.61
488	,8069.TW,元太,167,-2.34,11622,0.61
489	,2388.TW,威盛,77.8,-2.02,6065,0.61
490	,2497.TW,怡利電,74.5,-1.06,1635,0.61
491	,3022.TW,威強電,80.2,-2.55,2875,0.61
492	,4566.TW,時碩工業,61.7,-4.19,3932,0.61
493	,1304.TW,台聚,25.35,-1.93,1972,0.6
494	,3221.TW,台嘉碩,29.3,-2.82,1853,0.6
495	,6411.TW,晶焱,116,-4.53,2938,0.6
496	,2401.TW,凌陽,24.85,-1.78,1881,0.6
497	,2406.TW,國碩,19.95,-2.92,4680,0.6
498	,1605.TW,華新,49.85,-1.68,31595,0.6
499	,8210.TW,勤誠,83.3,-4.25,2423,0.6
500	,2338.TW,光罩,83.7,0.12,3979,0.6
501	,6185.TW,幃翔,18.5,-4.39,2852,0.6
502	,3038.TW,全台,29.45,-1.17,9464,0.59
503	,1734.TW,杏輝,31.85,-3.04,1925,0.59
504	,3592.TW,瑞鼎,418,-4.02,2009,0.59
505	,3209.TW,全科,42.05,-1.41,1757,0.59
506	,2606.TW,裕民,55.9,-0.36,2223,0.59
507	,3207.TW,耀勝,73,-2.28,1525,0.59
508	,6220.TW,岳豐,28.35,-2.24,2276,0.59
509	,6288.TW,聯嘉,32.5,0.15,22392,0.59
510	,1219.TW,福壽,21.1,0,1081,0.59
511	,5706.TW,鳳凰,64,-2.88,1344,0.59
512	,1785.TW,光洋科,36.5,-1.62,1231,0.59
513	,3374.TW,精材,105,-2.33,1353,0.59
514	,4743.TW,合一,270.5,-3.74,9590,0.59
515	,4726.TW,永昕,39.1,-2.74,2343,0.59
516	,8050.TW,廣積,79.7,-2.57,3898,0.58
517	,2392.TW,正崴,42.35,-2.08,1878,0.58
518	,2230.TW,泰茂,81.5,-2.86,1522,0.58
519	,4162.TW,智擎,103.5,-3.27,2819,0.58
520	,1460.TW,宏遠,7.8,-2.01,1536,0.58
521	,6414.TW,樺漢,250.5,-1.96,1138,0.58
522	,2349.TW,錸德,9.21,-1.29,1760,0.58
523	,4927.TW,泰鼎-KY,58.4,-2.34,951,0.58
524	,5210.TW,寶碩,17.9,-4.79,1379,0.58
525	,5478.TW,智冠,99.1,0.41,1110,0.58
526	,4127.TW,天良,15.5,-3.73,906,0.58
527	,5452.TW,佶優,21.75,-5.64,1892,0.58
528	,8150.TW,南茂,38.05,-0.39,1285,0.58
529	,3520.TW,華盈,23,-4.17,2423,0.57
530	,6142.TW,友勁,14.1,-3.09,3608,0.57
531	,1227.TW,佳格,40.15,-0.12,1020,0.57
532	,4142.TW,國光生,39.95,-1.36,1351,0.57
533	,2615.TW,萬海,67.7,-0.44,6771,0.57
534	,2633.TW,台灣高鐵,30.65,-0.33,2708,0.57
535	,1533.TW,車王電,54.2,-5.57,1865,0.57
536	,1789.TW,神隆,26.95,-1.28,1861,0.57
537	,3024.TW,憶聲,14.8,-2.31,1339,0.57
538	,2515.TW,中工,10.4,-1.42,32945,0.56
539	,8059.TW,凱碩,14.2,-2.41,1152,0.56
540	,2357.TW,華碩,276.5,-0.72,1088,0.56
541	,2855.TW,統一證,16.7,0,787,0.56
542	,3163.TW,波若威,55.8,-2.45,1562,0.56
543	,6290.TW,良維,63.8,-6.31,8865,0.56
544	,6205.TW,詮欣,75.6,-2.07,1342,0.56
545	,2323.TW,中環,8.2,-1.44,3160,0.56
546	,6190.TW,萬泰科,32.85,-3.52,4182,0.56
547	,2356.TW,英業達,32.4,-0.31,10210,0.56
548	,6129.TW,普誠,35.35,-4.2,6191,0.56
549	,3673.TW,TPK-KY,38.5,-6.67,15070,0.56
550	,2727.TW,王品,313,-9.93,9988,0.55
551	,4157.TW,太景*-KY,15.35,-3.15,2539,0.55
552	,6115.TW,鎰勝,45,-2.17,317,0.55
553	,3236.TW,千如,29.95,-3.54,1348,0.55
554	,6446.TW,藥華藥,403,-3.7,3153,0.55
555	,3441.TW,聯一光,44.2,-3.28,1415,0.54
556	,4510.TW,高鋒,13.5,-6.57,2598,0.54
557	,3705.TW,永信,44.6,-1.55,937,0.54
558	,8358.TW,金居,56.6,-3.74,5899,0.54
559	,2383.TW,台光電,173,-1.98,1163,0.54
560	,6248.TW,沛波,33.15,-3.07,3043,0.53
561	,2461.TW,光群雷,22.4,-1.54,520,0.53
562	,4167.TW,松瑞藥,19.25,-3.02,7325,0.53
563	,9962.TW,有益,20.3,-2.64,1370,0.53
564	,3552.TW,同致,150,-3.23,910,0.53
565	,1308.TW,亞聚,28,-1.41,2655,0.52
566	,5251.TW,天鉞電,21.9,-3.52,768,0.52
567	,3290.TW,東浦,27.55,-3.5,3908,0.52
568	,3707.TW,漢磊,83.5,-3.47,6059,0.52
569	,9938.TW,百和,57.1,-1.72,1220,0.52
570	,4953.TW,緯軟,119,-5.56,4830,0.52
571	,3042.TW,晶技,86,-1.38,1564,0.52
572	,2504.TW,國產,27.4,-1.44,2872,0.52
573	,2444.TW,兆勁,16.9,-4.79,2054,0.52
574	,2376.TW,技嘉,134,-0.37,2914,0.52
575	,3518.TW,柏騰,32.05,-3.9,1887,0.52
576	,2030.TW,彰源,22.65,-1.74,1612,0.52
577	,1528.TW,恩德,11.35,-2.58,2681,0.52
578	,3706.TW,神達,27.85,-0.36,2872,0.52
579	,3686.TW,達能,16.25,-7.14,3106,0.51
580	,2474.TW,可成,181.5,-0.55,1131,0.51
581	,2736.TW,富野,23.1,-3.35,1132,0.51
582	,1714.TW,和桐,9.13,-1.72,1362,0.51
583	,6125.TW,廣運,31.1,-2.96,5996,0.51
584	,2535.TW,達欣工,30.75,-1.6,5966,0.51
585	,6789.TW,采鈺,231.5,-2.73,1026,0.51
586	,3322.TW,建舜電,22.25,-6.12,4522,0.5
587	,2367.TW,燿華,18.15,-2.68,5019,0.5
588	,1717.TW,長興,33.3,-1.33,2466,0.5
589	,2105.TW,正新,36.9,-1.34,3804,0.5
590	,9945.TW,潤泰新,35.05,-1.13,4841,0.5
591	,3057.TW,喬鼎,11.9,-3.25,480,0.5
592	,6176.TW,瑞儀,112.5,-1.32,2225,0.49
593	,2481.TW,強茂,69.2,-1.98,3546,0.49
594	,6133.TW,金橋,22.65,-1.74,2004,0.49
595	,6606.TW,建德工業,29.6,-4.52,958,0.49
596	,4934.TW,太極,32.55,-7.66,12908,0.49
597	,5381.TW,合正,19.4,-3.48,1147,0.48
598	,8940.TW,新天地,25.05,-9.89,2276,0.48
599	,1609.TW,大亞,27.8,-2.11,19477,0.48
600	,2387.TW,精元,44.3,-0.78,1236,0.48
601	,6153.TW,嘉聯益,24.1,-1.63,2340,0.48
602	,2462.TW,良得電,31.8,-3.93,814,0.48
603	,4114.TW,健喬,46.5,-4.71,20078,0.48
604	,5521.TW,工信,7.78,-2.75,1464,0.48
605	,8936.TW,國統,27.6,-3.66,6404,0.47
606	,2702.TW,華園,23.6,-3.28,642,0.46
607	,3710.TW,連展投控,11.95,-2.45,2811,0.46
608	,4128.TW,中天,65.3,-2.68,5976,0.46
609	,1608.TW,華榮,16.25,-4.69,2932,0.45
610	,2884.TW,玉山金,24.9,-0.6,12648,0.45
611	,6589.TW,台康生技,115,-4.56,4133,0.44
612	,4915.TW,致伸,60.5,-1.47,3757,0.44
613	,5522.TW,遠雄,57.6,-0.35,646,0.44
614	,3047.TW,訊舟,16.8,-3.17,8955,0.44
615	,4552.TW,力達-KY,32.55,-2.54,427,0.44
616	,8933.TW,愛地雅,12.4,-1.2,1496,0.43
617	,1524.TW,耿鼎,24.6,-2.57,4454,0.43
618	,6109.TW,亞元,17.55,-5.9,2193,0.42
619	,2534.TW,宏盛,22.35,-0.22,3270,0.42
620	,1402.TW,遠東新,31.45,-0.79,6155,0.42
621	,5483.TW,中美晶,149,-1.65,3433,0.42
622	,6443.TW,元晶,38.55,-3.02,34385,0.41
623	,2851.TW,中再保,18.15,-0.55,1029,0.41
624	,6257.TW,矽格,54.2,-1.81,2051,0.41
625	,2885.TW,元大金,22.3,-0.67,8458,0.4
626	,6152.TW,百一,12,-0.83,1464,0.4
627	,6770.TW,力積電,31,-3.43,33496,0.4
628	,2498.TW,宏達電,59.6,-3.4,17489,0.39
629	,5905.TW,南仁湖,11.9,-2.06,985,0.38
630	,1712.TW,興農,36.5,-2.01,1857,0.38
631	,6120.TW,達運,10.65,-4.05,2925,0.38
632	,1316.TW,上曜,13.55,-2.87,2273,0.38
633	,2340.TW,台亞,37,-1.99,2306,0.37
634	,1440.TW,南紡,16.8,-0.88,1031,0.36
635	,1216.TW,統一,72.5,-1.49,6982,0.35
636	,2385.TW,群光,95.1,-0.31,1033,0.35
637	,2618.TW,長榮航,26.25,-1.5,19311,0.35
638	,2892.TW,第一金,26.8,-0.19,6393,0.33
639	,1467.TW,南緯,11.5,-0.43,561,0.29
640	,3432.TW,台端,13.3,-3.62,1204,0.28
641	,4716.TW,大立,12.5,-0.4,608,0.26
