符合條件商品
資料日期：2023年  4月 20日
策略,	01主力買進股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2023-04-20 23:57 符合檔數(641)
109	,1752.TW,南光,77.6,-4.2,7158,1.09
110	,1762.TW,中化生,90.2,-3.94,3727,1.08
111	,9958.TW,世紀鋼,114.5,-0.87,6506,1.08
112	,6231.TW,系微,126.5,-4.17,1945,1.08
113	,3466.TW,致振,37.4,0.94,4343,1.08
114	,3006.TW,晶豪科,85.2,-2.63,6041,1.07
115	,6284.TW,佳邦,59.2,-2.95,864,1.07
116	,8044.TW,網家,61.8,-3.89,1002,1.06
117	,5009.TW,榮剛,57.6,-3.36,23992,1.06
118	,2059.TW,川湖,423,0.24,1642,1.06
119	,4572.TW,駐龍,156,-4.59,2264,1.06
120	,2881.TW,富邦金,57.9,-0.52,7132,1.06
121	,6266.TW,泰詠,46.2,-3.14,6080,1.05
122	,3708.TW,上緯投控,107.5,-0.46,2443,1.05
123	,3046.TW,建碁,74,-2.89,4163,1.05
124	,3025.TW,星通,32.45,-4.7,6644,1.05
125	,6112.TW,邁達特,45.3,-2.69,2788,1.05
126	,8155.TW,博智,157,-1.88,2938,1.05
127	,5222.TW,全訊,190.5,-2.81,6791,1.05
128	,6127.TW,九豪,22.85,-0.87,707,1.04
129	,4916.TW,事欣科,33.75,-2.6,3275,1.04
130	,3062.TW,建漢,23.8,-2.26,3201,1.04
131	,3105.TW,穩懋,173,-1.7,3075,1.04
132	,4938.TW,和碩,70.1,-0.14,2718,1.03
133	,2231.TW,為升,179.5,-1.91,1089,1.03
134	,2707.TW,晶華,293,-4.56,3698,1.03
135	,6167.TW,久正,16.7,-2.91,6135,1.03
136	,2208.TW,台船,26,-1.33,18133,1.03
137	,2484.TW,希華,38.4,2.67,11645,1.03
138	,6417.TW,韋僑,171,-6.04,3436,1.03
139	,6191.TW,精成科,33.9,-0.73,1705,1.03
140	,2886.TW,兆豐金,33.9,-0.44,7870,1.03
141	,2017.TW,官田鋼,17.8,0.56,759,1.02
142	,1722.TW,台肥,57.1,0.18,730,1.02
143	,2455.TW,全新,100,0.91,9825,1.02
144	,2880.TW,華南金,22.75,-0.22,4428,1.02
145	,1718.TW,中纖,8.28,-0.48,2481,1.01
146	,5315.TW,光聯,23.4,-1.47,1308,1.01
147	,6568.TW,宏觀,179.5,-4.27,1038,1.01
148	,3499.TW,環天科,22.25,-4.51,1407,1.01
149	,4147.TW,中裕,112.5,-4.66,20140,1.01
150	,2352.TW,佳世達,32.75,-0.15,5354,1
151	,2890.TW,永豐金,16.65,-0.89,14840,1
152	,3694.TW,海華,24.75,-4.26,982,1
153	,3715.TW,定穎投控,24.4,0.62,23389,1
154	,5321.TW,美而快,92.5,-2.53,1489,1
155	,2748.TW,雲品,94.5,-3.28,8951,1
156	,4503.TW,金雨,58.9,1.38,1410,1
157	,2634.TW,漢翔,54.4,-3.89,52634,0.99
158	,2471.TW,資通,57.5,0.35,17105,0.99
159	,1720.TW,生達,66.4,-3.77,4147,0.99
160	,3178.TW,公準,89.1,-3.36,1729,0.99
161	,3532.TW,台勝科,151,-2.27,1962,0.99
162	,3049.TW,和鑫,10.15,-1.46,2813,0.99
163	,2882.TW,國泰金,42.95,0.47,10013,0.99
164	,6625.TW,必應,66.6,1.99,2163,0.99
165	,1589.TW,永冠-KY,79.9,-1.6,2504,0.98
166	,3338.TW,泰碩,46.35,-0.75,942,0.98
167	,3481.TW,群創,14.1,0.36,89594,0.98
168	,2743.TW,山富,60.8,-2.72,710,0.98
169	,1806.TW,冠軍,9.25,0.98,1296,0.98
170	,6177.TW,達麗,31.6,0.8,1020,0.98
171	,6491.TW,晶碩,436,-1.13,899,0.98
172	,4904.TW,遠傳,77.4,-0.13,3038,0.97
173	,6274.TW,台燿,65,-2.26,3848,0.97
174	,5871.TW,中租-KY,225,-1.75,1715,0.97
