符合條件商品
資料日期：2023年  4月 20日
策略,	01主力賣出股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力賣出比
執行時間：2023-04-20 23:58 符合檔數(641)
474	,2743.TW,山富,60.8,-2.72,710,1.02
475	,3481.TW,群創,14.1,0.36,89594,1.02
476	,3338.TW,泰碩,46.35,-0.75,942,1.02
477	,1589.TW,永冠-KY,79.9,-1.6,2504,1.02
478	,6625.TW,必應,66.6,1.99,2163,1.01
479	,2882.TW,國泰金,42.95,0.47,10013,1.01
480	,3049.TW,和鑫,10.15,-1.46,2813,1.01
481	,3532.TW,台勝科,151,-2.27,1962,1.01
482	,3178.TW,公準,89.1,-3.36,1729,1.01
483	,1720.TW,生達,66.4,-3.77,4147,1.01
484	,2471.TW,資通,57.5,0.35,17105,1.01
485	,2634.TW,漢翔,54.4,-3.89,52634,1.01
486	,4503.TW,金雨,58.9,1.38,1410,1
487	,2748.TW,雲品,94.5,-3.28,8951,1
488	,5321.TW,美而快,92.5,-2.53,1489,1
489	,3715.TW,定穎投控,24.4,0.62,23389,1
490	,3694.TW,海華,24.75,-4.26,982,1
491	,2890.TW,永豐金,16.65,-0.89,14840,1
492	,2352.TW,佳世達,32.75,-0.15,5354,1
493	,4147.TW,中裕,112.5,-4.66,20140,0.99
494	,3499.TW,環天科,22.25,-4.51,1407,0.99
495	,6568.TW,宏觀,179.5,-4.27,1038,0.99
496	,5315.TW,光聯,23.4,-1.47,1308,0.99
497	,1718.TW,中纖,8.28,-0.48,2481,0.99
498	,2880.TW,華南金,22.75,-0.22,4428,0.98
499	,2455.TW,全新,100,0.91,9825,0.98
500	,1722.TW,台肥,57.1,0.18,730,0.98
501	,2017.TW,官田鋼,17.8,0.56,759,0.98
502	,2886.TW,兆豐金,33.9,-0.44,7870,0.97
503	,6191.TW,精成科,33.9,-0.73,1705,0.97
504	,6417.TW,韋僑,171,-6.04,3436,0.97
505	,2484.TW,希華,38.4,2.67,11645,0.97
506	,2208.TW,台船,26,-1.33,18133,0.97
507	,6167.TW,久正,16.7,-2.91,6135,0.97
508	,2707.TW,晶華,293,-4.56,3698,0.97
509	,2231.TW,為升,179.5,-1.91,1089,0.97
510	,4938.TW,和碩,70.1,-0.14,2718,0.97
511	,3105.TW,穩懋,173,-1.7,3075,0.96
512	,3062.TW,建漢,23.8,-2.26,3201,0.96
513	,4916.TW,事欣科,33.75,-2.6,3275,0.96
514	,6127.TW,九豪,22.85,-0.87,707,0.96
515	,5222.TW,全訊,190.5,-2.81,6791,0.96
516	,8155.TW,博智,157,-1.88,2938,0.95
517	,6112.TW,邁達特,45.3,-2.69,2788,0.95
518	,3025.TW,星通,32.45,-4.7,6644,0.95
519	,3046.TW,建碁,74,-2.89,4163,0.95
520	,3708.TW,上緯投控,107.5,-0.46,2443,0.95
521	,6266.TW,泰詠,46.2,-3.14,6080,0.95
522	,2881.TW,富邦金,57.9,-0.52,7132,0.95
523	,4572.TW,駐龍,156,-4.59,2264,0.95
524	,2059.TW,川湖,423,0.24,1642,0.95
525	,5009.TW,榮剛,57.6,-3.36,23992,0.94
526	,8044.TW,網家,61.8,-3.89,1002,0.94
527	,6284.TW,佳邦,59.2,-2.95,864,0.94
528	,3006.TW,晶豪科,85.2,-2.63,6041,0.94
529	,3466.TW,致振,37.4,0.94,4343,0.93
530	,6231.TW,系微,126.5,-4.17,1945,0.93
531	,9958.TW,世紀鋼,114.5,-0.87,6506,0.93
532	,1762.TW,中化生,90.2,-3.94,3727,0.92
533	,1752.TW,南光,77.6,-4.2,7158,0.92
534	,6104.TW,創惟,115.5,-3.75,3007,0.92
535	,2402.TW,毅嘉,28.05,-3.77,19181,0.92
536	,9946.TW,三發地產,13.95,-0.36,560,0.92
537	,1760.TW,寶齡富錦,176.5,-6.61,26243,0.92
538	,1529.TW,樂事綠能,39.35,-6.86,6021,0.92
539	,4747.TW,強生,59.5,-1.16,7029,0.91
540	,6669.TW,緯穎,1130,-2.16,1081,0.91
541	,2377.TW,微星,145,-1.02,2428,0.91
542	,4979.TW,華星光,56.1,-6.5,22242,0.91
543	,1711.TW,永光,19.35,1.57,7381,0.9
544	,1314.TW,中石化,10.2,0.99,20398,0.89
545	,3363.TW,上詮,34.7,0,9298,0.89
546	,2421.TW,建準,53.3,-0.74,2455,0.89
547	,2408.TW,南亞科,65.5,-2.24,10469,0.89
548	,1907.TW,永豐餘,30,8.11,27645,0.89
549	,2104.TW,國際中橡,19.85,-0.5,1869,0.88
550	,5211.TW,蒙恬,32.8,-1.8,3389,0.88
551	,9904.TW,寶成,31.1,-1.74,6559,0.88
552	,2049.TW,上銀,244,-2.98,2098,0.88
553	,2206.TW,三陽工業,53,-1.85,16789,0.88
554	,3545.TW,敦泰,83.2,-2.23,4416,0.88
555	,2351.TW,順德,135.5,3.83,4381,0.88
556	,3138.TW,耀登,168,0,1688,0.87
557	,2889.TW,國票金,12.4,0.4,2770,0.87
558	,3234.TW,光環,24.1,-6.04,6530,0.87
559	,2371.TW,大同,32.85,-0.15,4255,0.87
560	,2359.TW,所羅門,34.3,-3.38,9997,0.87
561	,2489.TW,瑞軒,10.45,-0.48,2120,0.87
562	,3680.TW,家登,344,0,1449,0.87
563	,9921.TW,巨大,185.5,-1.33,1125,0.86
564	,2609.TW,陽明,66.4,0.61,21344,0.86
565	,2344.TW,華邦電,25.5,-1.16,21229,0.85
566	,1519.TW,華城,97.1,-1.92,16488,0.85
567	,2449.TW,京元電子,46,-0.33,7158,0.85
568	,6505.TW,台塑化,85.2,-0.47,628,0.84
569	,2023.TW,燁輝,15.65,-0.63,1153,0.83
570	,3702.TW,大聯大,49.95,-0.1,3056,0.83
571	,3703.TW,欣陸,31.4,-1.1,1863,0.83
572	,2883.TW,開發金,13.05,0,14312,0.83
573	,1313.TW,聯成,14.8,-0.34,771,0.83
574	,3058.TW,立德,24.45,9.89,14475,0.83
575	,8478.TW,東哥遊艇,447.5,-1.21,4080,0.82
576	,2482.TW,連宇,66.6,-7.88,4123,0.82
577	,1709.TW,和益,25.5,-0.97,1253,0.82
578	,5607.TW,遠雄港,74.1,2.63,1477,0.82
579	,2031.TW,新光鋼,48.8,5.29,11619,0.81
580	,1905.TW,華紙,19.1,9.77,14226,0.81
581	,2614.TW,東森,19.5,1.3,1965,0.8
582	,6163.TW,華電網,27.95,9.82,23152,0.8
583	,2324.TW,仁寶,24.15,-1.23,38302,0.8
584	,2308.TW,台達電,306.5,0.33,5392,0.8
585	,1522.TW,堤維西,30.7,-0.65,4097,0.79
586	,6456.TW,GIS-KY,81.6,-0.73,1112,0.79
587	,5243.TW,乙盛-KY,71.4,2.29,14767,0.78
588	,2425.TW,承啟,32.6,-1.66,2210,0.78
589	,5469.TW,瀚宇博,38.35,-0.26,1707,0.78
590	,2204.TW,中華,75,7.91,32331,0.78
591	,2630.TW,亞航,25,-6.02,1601,0.78
592	,2454.TW,聯發科,673,-0.3,10238,0.78
593	,2409.TW,友達,18.1,-0.82,28004,0.78
594	,1326.TW,台化,68.8,-0.58,1477,0.78
595	,1101.TW,台泥,37.2,0.27,17578,0.77
596	,2354.TW,鴻準,54.4,-1.09,1848,0.77
597	,9907.TW,統一實,20.45,0.49,6338,0.76
598	,3454.TW,晶睿,233,-2.51,1270,0.76
599	,3661.TW,世芯-KY,1315,1.54,3294,0.76
600	,2723.TW,美食-KY,159.5,-1.85,3810,0.75
601	,1417.TW,嘉裕,14.25,-2.06,1772,0.74
602	,2014.TW,中鴻,25.75,-1.53,9467,0.74
603	,2382.TW,廣達,85.5,-0.58,12175,0.74
604	,2006.TW,東和鋼鐵,59.5,0.17,1282,0.74
605	,6271.TW,同欣電,181,-1.63,2562,0.73
606	,5876.TW,上海商銀,46.35,0.32,2000,0.73
607	,2022.TW,聚亨,8.55,0.83,1330,0.71
608	,2301.TW,光寶科,72.9,-0.41,4631,0.71
609	,6116.TW,彩晶,13,0.78,9707,0.7
610	,2731.TW,雄獅,174,-3.87,4379,0.7
611	,3017.TW,奇鋐,147.5,-2.32,10980,0.69
612	,1444.TW,力麗,10.9,-1.36,3753,0.69
613	,2358.TW,廷鑫,9.43,-0.84,446,0.68
614	,1584.TW,精剛,41,-7.24,9821,0.68
615	,2888.TW,新光金,8.46,-0.35,18112,0.68
616	,2330.TW,台積電,513,0.59,21003,0.65
617	,1229.TW,聯華,60.5,1.34,1520,0.65
618	,4958.TW,臻鼎-KY,111.5,0.45,2161,0.64
619	,8038.TW,長園科,56.2,9.98,7576,0.64
620	,1618.TW,合機,18.65,-1.06,3108,0.64
621	,3711.TW,日月光投控,103.5,0,11745,0.63
622	,9919.TW,康那香,18,-1.64,5993,0.63
623	,1104.TW,環泥,27.05,-0.18,3734,0.62
624	,6218.TW,豪勉,24.2,10,10244,0.62
625	,3035.TW,智原,191,1.33,8866,0.6
626	,6269.TW,台郡,98.5,-1.5,2091,0.6
627	,2801.TW,彰銀,17.55,0.29,2347,0.59
628	,2834.TW,臺企銀,13.8,-0.36,13875,0.57
629	,9941.TW,裕融,186,-0.27,683,0.57
630	,2641.TW,正德,19.4,-0.51,1943,0.56
631	,6005.TW,群益證,13.7,-1.08,9640,0.55
632	,8440.TW,綠電,49.65,-1.88,5259,0.53
633	,2317.TW,鴻海,104.5,0.48,19945,0.52
634	,2903.TW,遠百,22.15,-0.45,1290,0.51
635	,2897.TW,王道銀行,10.15,0,6642,0.49
636	,1409.TW,新纖,18.1,1.69,7976,0.45
637	,6733.TW,博晟生醫,43.15,9.94,2868,0.42
638	,3050.TW,鈺德,15.7,-3.09,930,0.41
639	,2838.TW,聯邦銀,15.8,-0.94,661,0.38
640	,2845.TW,遠東銀,11.15,0,3228,0.33
641	,4950.TW,牧東,18.2,0,910,0.22
