符合條件商品
資料日期：2023年  4月 20日
策略,	01主力賣出股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力賣出比
執行時間：2023-04-20 23:58 符合檔數(641)
108	,2633.TW,台灣高鐵,30.65,-0.33,2708,1.76
109	,2615.TW,萬海,67.7,-0.44,6771,1.76
110	,4142.TW,國光生,39.95,-1.36,1351,1.76
111	,1227.TW,佳格,40.15,-0.12,1020,1.75
112	,6142.TW,友勁,14.1,-3.09,3608,1.74
113	,3520.TW,華盈,23,-4.17,2423,1.74
114	,8150.TW,南茂,38.05,-0.39,1285,1.74
115	,5452.TW,佶優,21.75,-5.64,1892,1.74
116	,4127.TW,天良,15.5,-3.73,906,1.74
117	,5478.TW,智冠,99.1,0.41,1110,1.73
118	,5210.TW,寶碩,17.9,-4.79,1379,1.73
119	,4927.TW,泰鼎-KY,58.4,-2.34,951,1.73
120	,2349.TW,錸德,9.21,-1.29,1760,1.72
121	,6414.TW,樺漢,250.5,-1.96,1138,1.72
122	,1460.TW,宏遠,7.8,-2.01,1536,1.72
123	,4162.TW,智擎,103.5,-3.27,2819,1.72
124	,2230.TW,泰茂,81.5,-2.86,1522,1.72
125	,2392.TW,正崴,42.35,-2.08,1878,1.72
126	,8050.TW,廣積,79.7,-2.57,3898,1.71
127	,4726.TW,永昕,39.1,-2.74,2343,1.71
128	,4743.TW,合一,270.5,-3.74,9590,1.71
129	,3374.TW,精材,105,-2.33,1353,1.7
130	,1785.TW,光洋科,36.5,-1.62,1231,1.7
131	,5706.TW,鳳凰,64,-2.88,1344,1.7
132	,1219.TW,福壽,21.1,0,1081,1.69
133	,6288.TW,聯嘉,32.5,0.15,22392,1.69
134	,6220.TW,岳豐,28.35,-2.24,2276,1.69
135	,3207.TW,耀勝,73,-2.28,1525,1.69
136	,2606.TW,裕民,55.9,-0.36,2223,1.69
137	,3209.TW,全科,42.05,-1.41,1757,1.69
138	,3592.TW,瑞鼎,418,-4.02,2009,1.69
139	,1734.TW,杏輝,31.85,-3.04,1925,1.68
140	,3038.TW,全台,29.45,-1.17,9464,1.68
141	,6185.TW,幃翔,18.5,-4.39,2852,1.67
142	,2338.TW,光罩,83.7,0.12,3979,1.67
143	,8210.TW,勤誠,83.3,-4.25,2423,1.66
144	,1605.TW,華新,49.85,-1.68,31595,1.66
145	,2406.TW,國碩,19.95,-2.92,4680,1.66
146	,2401.TW,凌陽,24.85,-1.78,1881,1.66
147	,6411.TW,晶焱,116,-4.53,2938,1.66
148	,3221.TW,台嘉碩,29.3,-2.82,1853,1.66
149	,1304.TW,台聚,25.35,-1.93,1972,1.66
150	,4566.TW,時碩工業,61.7,-4.19,3932,1.65
151	,3022.TW,威強電,80.2,-2.55,2875,1.65
152	,2497.TW,怡利電,74.5,-1.06,1635,1.65
153	,2388.TW,威盛,77.8,-2.02,6065,1.63
154	,8069.TW,元太,167,-2.34,11622,1.63
155	,6182.TW,合晶,45.15,-0.22,3941,1.63
156	,8289.TW,泰藝,45.8,-3.68,1999,1.63
157	,1102.TW,亞泥,43.5,0.46,2529,1.63
158	,8383.TW,千附,44.15,-2.65,2127,1.63
159	,2312.TW,金寶,13.4,-1.47,7618,1.63
160	,2486.TW,一詮,28.9,-3.51,3785,1.62
161	,3576.TW,聯合再生,21.45,-4.03,28793,1.62
162	,5258.TW,虹堡,84,-3.56,5621,1.62
163	,3094.TW,聯傑,33.8,-5.06,4756,1.62
164	,3045.TW,台灣大,103,-0.96,6101,1.61
165	,3189.TW,景碩,107.5,-0.92,4853,1.6
166	,6477.TW,安集,54.9,-3.68,11272,1.6
167	,5465.TW,富驊,37.95,-8.88,10592,1.6
168	,6285.TW,啟碁,97.1,-3.38,12180,1.59
169	,1727.TW,中華化,26.85,-3.42,955,1.59
170	,2753.TW,八方雲集,187.5,-1.57,3547,1.59
171	,5403.TW,中菲,97.3,-5.99,1755,1.59
172	,3419.TW,譁裕,19.65,-3.44,1410,1.58
173	,3624.TW,光頡,72.1,-5.26,5092,1.58
174	,5450.TW,南良,22.6,-5.24,674,1.58
175	,2739.TW,寒舍,68.3,-8.08,2342,1.57
176	,2427.TW,三商電,14.95,-1.97,3915,1.57
177	,1513.TW,中興電,105.5,-2.31,17841,1.57
178	,4130.TW,健亞,27.95,-3.95,2179,1.57
179	,1560.TW,中砂,112.5,-1.32,1137,1.56
180	,6239.TW,力成,89.8,-0.66,2407,1.56
181	,3588.TW,通嘉,62.7,-4.13,1044,1.56
182	,2812.TW,台中銀,13.95,-1.06,6124,1.56
183	,2607.TW,榮運,27.7,-0.36,1402,1.56
184	,3147.TW,大綜,67.4,-3.99,2565,1.56
185	,6016.TW,康和證,11.35,-1.3,831,1.55
186	,6026.TW,福邦證,12.1,-4.35,3919,1.55
187	,1447.TW,力鵬,8.04,-0.74,942,1.55
188	,3289.TW,宜特,87.5,-3.31,2077,1.55
189	,2485.TW,兆赫,20.1,-4.06,2284,1.54
190	,6509.TW,聚和,45.85,-2.96,2266,1.54
191	,6461.TW,益得,35.35,-5.61,1822,1.54
192	,5425.TW,台半,101,-0.98,4083,1.54
193	,6753.TW,龍德造船,121,-5.84,2702,1.54
194	,8111.TW,立碁,24.45,-3.74,12172,1.54
195	,3325.TW,旭品,17.8,-6.07,1675,1.53
196	,3088.TW,艾訊,76.9,-2.66,1263,1.53
