符合條件商品
資料日期：2023年  4月 20日
策略,	00統計2021年資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲停板的次數
執行時間：2023-04-21 00:24 符合檔數(1711)
121	,1526.TW,日馳,40.85,-1.8,470,2
122	,1527.TW,鑽全,42.4,-1.17,363,0
123	,1528.TW,恩德,11.35,-2.58,2681,1
124	,1529.TW,樂事綠能,39.35,-6.86,6021,16
125	,1530.TW,亞崴,33.4,-1.33,52,0
126	,1531.TW,高林股,14.55,-1.02,107,0
127	,1532.TW,勤美,34.55,-1.85,1054,0
128	,1533.TW,車王電,54.2,-5.57,1865,4
129	,1535.TW,中宇,53.4,-2.73,464,0
130	,1536.TW,和大,72,-1.91,980,1
131	,1537.TW,廣隆,142.5,0,66,0
132	,1538.TW,正峰,10.9,0,748,12
133	,1539.TW,巨庭,29.65,-3.26,906,14
134	,1540.TW,喬福,16.6,-0.6,415,1
135	,1541.TW,錩泰,34.85,-1.83,22,6
136	,1558.TW,伸興,113.5,0.89,80,0
137	,1560.TW,中砂,112.5,-1.32,1137,8
138	,1565.TW,精華,256,-1.35,137,1
139	,1568.TW,倉佑,23.85,-2.25,431,8
140	,1569.TW,濱川,24.6,-0.81,485,1
141	,1570.TW,力肯,18.4,0.27,120,1
142	,1580.TW,新麥,106,-0.93,199,0
143	,1582.TW,信錦,59.7,-0.67,93,0
144	,1583.TW,程泰,66.6,0.15,6,1
145	,1584.TW,精剛,41,-7.24,9821,16
146	,1586.TW,和勤,34.2,-0.15,79,0
147	,1587.TW,吉茂,22.95,0.22,57,1
148	,1589.TW,永冠-KY,79.9,-1.6,2504,1
149	,1590.TW,亞德客-KY,1120,-3.45,840,0
150	,1591.TW,駿吉-KY,27.3,-1.27,262,11
151	,1593.TW,祺驊,78.9,0.13,32,6
152	,1595.TW,川寶,39.4,-1.25,64,0
153	,1597.TW,直得,77.2,-2.03,127,0
154	,1598.TW,岱宇,43.15,-2.15,288,1
155	,1599.TW,宏佳騰,38.5,-0.65,80,1
156	,1603.TW,華電,26.75,-1.65,634,2
157	,1604.TW,聲寶,27.5,-0.18,499,0
158	,1605.TW,華新,49.85,-1.68,31595,5
159	,1608.TW,華榮,16.25,-4.69,2932,2
160	,1609.TW,大亞,27.8,-2.11,19477,2
161	,1611.TW,中電,19.15,9.74,13066,2
162	,1612.TW,宏泰,20.8,-0.95,1169,1
163	,1614.TW,三洋電,37,-0.8,31,1
164	,1615.TW,大山,35.5,-1.53,204,0
165	,1616.TW,億泰,10,9.65,5332,4
166	,1617.TW,榮星,15.55,1.97,112,0
167	,1618.TW,合機,18.65,-1.06,3108,3
168	,1626.TW,艾美特-KY,18.25,-1.08,117,4
