符合條件商品
資料日期：2023年  4月 20日
策略,	00統計2021年資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲停板的次數
執行時間：2023-04-21 00:24 符合檔數(1711)
515	,2809.TW,京城銀,34.6,0.44,419,0
516	,2812.TW,台中銀,13.95,-1.06,6124,0
517	,2816.TW,旺旺保,15.35,0.33,34,0
518	,2820.TW,華票,15.15,0,272,0
519	,2832.TW,台產,20.9,-0.71,96,0
520	,2834.TW,臺企銀,13.8,-0.36,13875,0
521	,2836.TW,高雄銀,12.25,0,356,1
522	,2838.TW,聯邦銀,15.8,-0.94,661,0
523	,2845.TW,遠東銀,11.15,0,3228,0
524	,2849.TW,安泰銀,14.85,0.68,202,0
525	,2850.TW,新產,50.2,0.2,140,0
526	,2851.TW,中再保,18.15,-0.55,1029,0
527	,2852.TW,第一保,15.85,0,200,0
528	,2855.TW,統一證,16.7,0,787,0
529	,2867.TW,三商壽,5.13,-0.97,8930,0
530	,2880.TW,華南金,22.75,-0.22,4428,0
531	,2881.TW,富邦金,57.9,-0.52,7132,0
532	,2882.TW,國泰金,42.95,0.47,10013,0
533	,2883.TW,開發金,13.05,0,14312,0
534	,2884.TW,玉山金,24.9,-0.6,12648,0
535	,2885.TW,元大金,22.3,-0.67,8458,0
536	,2886.TW,兆豐金,33.9,-0.44,7870,0
537	,2887.TW,台新金,17.05,-0.58,10621,0
538	,2888.TW,新光金,8.46,-0.35,18112,0
539	,2889.TW,國票金,12.4,0.4,2770,0
540	,2890.TW,永豐金,16.65,-0.89,14840,0
541	,2891.TW,中信金,22.35,-0.45,10575,0
542	,2892.TW,第一金,26.8,-0.19,6393,0
543	,2897.TW,王道銀行,10.15,0,6642,2
544	,2901.TW,欣欣,24.85,-0.2,22,0
545	,2903.TW,遠百,22.15,-0.45,1290,0
546	,2904.TW,匯僑,20.25,-1.46,77,0
547	,2905.TW,三商,15,-1.96,606,0
548	,2906.TW,高林,17.35,-2.53,877,9
549	,2908.TW,特力,20.95,0,205,0
550	,2910.TW,統領,29.75,0.34,8,0
551	,2911.TW,麗嬰房,7.24,-0.55,125,2
552	,2912.TW,統一超,269,-0.37,595,0
553	,2913.TW,農林,23.9,9.63,35956,0
554	,2915.TW,潤泰全,56.4,-0.53,2573,1
555	,2916.TW,滿心,33.85,-3.15,222,1
556	,2923.TW,鼎固-KY,22.7,0,13,1
557	,2924.TW,宏太-KY,31.7,-2.61,3,16
558	,2926.TW,誠品生活,65,-0.91,14,1
559	,2929.TW,淘帝-KY,13.55,-2.52,904,16
560	,2937.TW,集雅社,34.45,0.15,3,0
561	,2939.TW,凱羿-KY,34.45,0,19,2
562	,2947.TW,振宇五金,92.2,-0.22,10,0
563	,3002.TW,歐格,12.65,0,525,1
564	,3003.TW,健和興,78.3,-1.14,4209,0
565	,3004.TW,豐達科,115.5,-4.94,4930,4
566	,3005.TW,神基,59.2,-3.74,7399,0
567	,3006.TW,晶豪科,85.2,-2.63,6041,3
568	,3008.TW,大立光,2015,-0.74,864,2
569	,3010.TW,華立,88.1,0.11,297,1
570	,3011.TW,今皓,31.3,6.83,8403,14
571	,3013.TW,晟銘電,22.7,-2.16,4781,9
572	,3014.TW,聯陽,88.9,-0.67,326,0
573	,3015.TW,全漢,49.45,-0.5,404,0
574	,3016.TW,嘉晶,67.6,-2.73,1583,1
575	,3017.TW,奇鋐,147.5,-2.32,10980,3
576	,3019.TW,亞光,65.5,-1.65,956,1
577	,3021.TW,鴻名,21.5,-2.27,170,4
578	,3022.TW,威強電,80.2,-2.55,2875,2
579	,3023.TW,信邦,331,-0.75,381,0
580	,3024.TW,憶聲,14.8,-2.31,1339,0
581	,3025.TW,星通,32.45,-4.7,6644,7
582	,3026.TW,禾伸堂,103,-0.48,173,0
583	,3027.TW,盛達,46.15,-4.45,8218,4
584	,3028.TW,增你強,32.35,-0.77,354,0
585	,3029.TW,零壹,56.8,-0.7,11885,0
586	,3030.TW,德律,64.7,0,411,0
587	,3031.TW,佰鴻,18.8,-0.27,1240,0
588	,3032.TW,偉訓,52.8,-5.55,8506,2
589	,3033.TW,威健,30.3,-1.14,2055,0
590	,3034.TW,聯詠,445,-1.11,2613,1
591	,3035.TW,智原,191,1.33,8866,6
592	,3036.TW,文曄,67.1,-1.61,985,0
593	,3037.TW,欣興,135.5,2.26,21484,1
594	,3038.TW,全台,29.45,-1.17,9464,0
595	,3040.TW,遠見,32.5,0,16,0
596	,3041.TW,揚智,20.45,-1.68,1148,1
597	,3042.TW,晶技,86,-1.38,1564,0
598	,3043.TW,科風,40.55,0.12,132,17
599	,3044.TW,健鼎,115,-2.54,933,0
600	,3045.TW,台灣大,103,-0.96,6101,0
601	,3046.TW,建碁,74,-2.89,4163,23
602	,3047.TW,訊舟,16.8,-3.17,8955,3
603	,3048.TW,益登,28.7,0.17,710,0
604	,3049.TW,和鑫,10.15,-1.46,2813,0
605	,3050.TW,鈺德,15.7,-3.09,930,0
606	,3051.TW,力特,19,-2.81,1045,6
607	,3052.TW,夆典,11.2,0.45,401,0
608	,3054.TW,立萬利,18.9,-0.53,10,1
609	,3055.TW,蔚華科,29.1,-1.36,92,1
610	,3056.TW,總太,48.4,-0.62,3408,1
611	,3057.TW,喬鼎,11.9,-3.25,480,2
612	,3058.TW,立德,24.45,9.89,14475,11
613	,3059.TW,華晶科,34.55,-2.81,2395,0
614	,3060.TW,銘異,17.85,-1.92,378,0
615	,3062.TW,建漢,23.8,-2.26,3201,2
616	,3064.TW,泰偉,12.8,-7.25,30,4
617	,3066.TW,李洲,24.35,-0.2,47,25
618	,3067.TW,全域,33.6,-1.61,5,0
619	,3071.TW,協禧,31.3,0.48,2657,2
620	,3078.TW,僑威,54.7,-3.53,35343,1
621	,3081.TW,聯亞,128,-0.78,907,6
622	,3083.TW,網龍,43.8,-0.45,179,0
623	,3085.TW,新零售,21,-2.33,3,4
624	,3086.TW,華義,73.3,-1.87,17,17
625	,3088.TW,艾訊,76.9,-2.66,1263,1
626	,3089.TW,億杰,58.7,-2.17,18,5
627	,3090.TW,日電貿,57.6,-0.86,753,0
628	,3092.TW,鴻碩,38.35,-5.54,5805,4
629	,3093.TW,港建*,38.2,-1.55,680,6
630	,3094.TW,聯傑,33.8,-5.06,4756,2
631	,3095.TW,及成,24.15,-1.83,14,11
632	,3105.TW,穩懋,173,-1.7,3075,3
633	,3114.TW,好德,27.55,-1.25,108,0
634	,3115.TW,富榮綱,11.1,-0.45,6,5
635	,3118.TW,進階,31.3,0.16,93,1
636	,3122.TW,笙泉,25.75,-3.01,361,5
637	,3128.TW,昇銳,39,-5.34,968,10
638	,3130.TW,一零四,210,0.72,13,0
639	,3131.TW,弘塑,311,-1.89,100,3
640	,3138.TW,耀登,168,0,1688,4
641	,3141.TW,晶宏,102.5,-3.76,1941,5
642	,3147.TW,大綜,67.4,-3.99,2565,2
643	,3149.TW,正達,19.65,6.22,4091,8
644	,3152.TW,璟德,238.5,2.36,354,1
645	,3162.TW,精確,51.9,-4.42,4703,1
646	,3163.TW,波若威,55.8,-2.45,1562,4
647	,3164.TW,景岳,25.15,0,156,0
648	,3167.TW,大量,43.2,-0.46,98,0
649	,3169.TW,亞信,138,-0.36,3793,3
650	,3171.TW,新洲,17.6,0,27,0
651	,3176.TW,基亞,33.9,-1.74,213,5
652	,3178.TW,公準,89.1,-3.36,1729,7
653	,3188.TW,鑫龍騰,14.1,0,272,1
654	,3189.TW,景碩,107.5,-0.92,4853,1
655	,3191.TW,和進,7.99,1.14,70,6
656	,3202.TW,樺晟,17.6,-1.95,1252,2
657	,3205.TW,佰研,45.8,2.92,5328,20
658	,3206.TW,志豐,34.45,-1.15,622,0
659	,3207.TW,耀勝,73,-2.28,1525,6
660	,3209.TW,全科,42.05,-1.41,1757,1
661	,3211.TW,順達,77,-0.13,330,1
662	,3213.TW,茂訊,51.5,-0.58,49,0
663	,3217.TW,優群,106,-6.19,2451,4
664	,3218.TW,大學光,405.5,-1.93,493,0
665	,3219.TW,倚強科,54.7,-0.18,0,16
666	,3221.TW,台嘉碩,29.3,-2.82,1853,3
667	,3224.TW,三顧,52.5,-1.32,2753,3
668	,3226.TW,至寶電,56.5,0.18,6,0
669	,3227.TW,原相,106.5,-1.84,418,1
670	,3228.TW,金麗科,174,-2.79,794,9
671	,3229.TW,晟鈦,19.65,-0.51,29,3
672	,3230.TW,錦明,13.55,0.37,832,1
673	,3231.TW,緯創,45.8,0.33,59554,0
674	,3232.TW,昱捷,28.4,-1.56,117,3
675	,3234.TW,光環,24.1,-6.04,6530,3
676	,3236.TW,千如,29.95,-3.54,1348,4
677	,3252.TW,海灣,18.5,-1.07,131,9
678	,3257.TW,虹冠電,55.7,-2.62,108,2
679	,3259.TW,鑫創,19.9,-3.4,50,3
680	,3260.TW,威剛,73.1,-1.62,2895,0
681	,3264.TW,欣銓,55.8,-1.24,5919,0
682	,3265.TW,台星科,54.4,-2.16,1190,5
683	,3266.TW,昇陽,12.9,-0.39,118,2
684	,3268.TW,海德威,23.2,-1.28,101,6
685	,3272.TW,東碩,45.1,-2.59,593,12
686	,3276.TW,宇環,14.25,-0.7,67,1
687	,3284.TW,太普高,16.1,5.23,712,4
688	,3285.TW,微端,20.1,0.5,58,3
689	,3287.TW,廣寰科,14.5,-2.03,214,3
690	,3288.TW,點晶,22.4,-0.22,1,4
691	,3289.TW,宜特,87.5,-3.31,2077,5
692	,3290.TW,東浦,27.55,-3.5,3908,0
693	,3293.TW,鈊象,527,-1.5,824,0
694	,3294.TW,英濟,18.8,-1.83,447,2
695	,3296.TW,勝德,17.8,0.85,702,0
696	,3297.TW,杭特,18.7,-4.35,362,9
697	,3303.TW,岱稜,27.4,-0.9,198,0
698	,3305.TW,昇貿,52.1,-3.34,2296,2
699	,3306.TW,鼎天,26.15,-2.43,372,4
700	,3308.TW,聯德,30.55,-7.28,389,22
701	,3310.TW,佳穎,67.5,0,58,2
702	,3311.TW,閎暉,34.85,0.14,71,1
703	,3312.TW,弘憶股,21.5,-0.92,455,1
704	,3313.TW,斐成,10.3,-1.9,138,5
705	,3317.TW,尼克森,58.5,-3.47,793,0
706	,3321.TW,同泰,6.31,-1.1,190,6
707	,3322.TW,建舜電,22.25,-6.12,4522,6
708	,3323.TW,加百裕,34.85,-0.57,183,1
709	,3324.TW,雙鴻,239,-1.65,4430,1
710	,3325.TW,旭品,17.8,-6.07,1675,3
711	,3332.TW,幸康,48.5,-4.34,201,5
712	,3338.TW,泰碩,46.35,-0.75,942,4
713	,3339.TW,泰谷,14,0.72,117,8
714	,3346.TW,麗清,40.3,-4.05,2277,2
715	,3354.TW,律勝,14.7,-2,100,4
716	,3356.TW,奇偶,38.6,-2.4,1516,9
717	,3357.TW,臺慶科,105,-2.78,147,1
718	,3360.TW,尚立,13.8,-0.36,80,0
719	,3362.TW,先進光,96,-2.54,3548,10
720	,3363.TW,上詮,34.7,0,9298,4
721	,3372.TW,典範,13,0.39,1192,3
722	,3373.TW,熱映,23.5,-1.47,57,10
723	,3374.TW,精材,105,-2.33,1353,2
724	,3376.TW,新日興,88.1,-1.01,196,0
725	,3379.TW,彬台,12.4,-1.2,95,1
726	,3380.TW,明泰,39.3,1.16,7542,0
727	,3388.TW,崇越電,74.5,-0.13,40,0
728	,3390.TW,旭軟,18.3,-2.4,391,7
729	,3402.TW,漢科,53.4,-0.56,555,0
730	,3406.TW,玉晶光,382,-1.42,1149,0
731	,3413.TW,京鼎,190.5,-0.26,327,0
732	,3416.TW,融程電,105,-1.87,269,1
733	,3419.TW,譁裕,19.65,-3.44,1410,2
734	,3426.TW,台興,39.7,-0.25,1,0
735	,3432.TW,台端,13.3,-3.62,1204,15
736	,3434.TW,哲固,29.1,-3.16,160,24
737	,3437.TW,榮創,19.8,-1.74,238,1
738	,3438.TW,類比科,58.5,-4.1,353,4
739	,3441.TW,聯一光,44.2,-3.28,1415,4
740	,3443.TW,創意,1050,1.94,3606,5
741	,3444.TW,利機,63.2,0.16,864,2
742	,3450.TW,聯鈞,38.7,-2.03,365,0
743	,3454.TW,晶睿,233,-2.51,1270,13
744	,3455.TW,由田,89.6,-1.75,783,3
745	,3465.TW,進泰電子,89.4,-0.22,19,4
746	,3466.TW,致振,37.4,0.94,4343,5
747	,3479.TW,安勤,99,-4.81,5713,4
748	,3481.TW,群創,14.1,0.36,89594,1
749	,3483.TW,力致,71.5,-1.52,1478,2
750	,3484.TW,崧騰,47.05,-2.08,776,0
751	,3489.TW,森寶,11.05,-0.45,53,1
752	,3490.TW,單井,27.55,-3.33,334,0
753	,3491.TW,昇達科,172,-2.82,1987,4
754	,3492.TW,長盛,20.5,-0.97,143,3
755	,3494.TW,誠研,7.07,-0.28,208,22
756	,3498.TW,陽程,34.8,-1.28,167,4
757	,3499.TW,環天科,22.25,-4.51,1407,16
758	,3501.TW,維熹,57.6,6.08,4310,0
759	,3504.TW,揚明光,80.6,-4.05,1743,6
760	,3508.TW,位速,34.3,-1.58,393,11
761	,3511.TW,矽瑪,35.7,-1.65,462,3
762	,3512.TW,皇龍,33.3,-0.15,124,0
763	,3515.TW,華擎,136.5,-1.09,338,6
764	,3516.TW,亞帝歐,17.75,-3.27,144,1
765	,3518.TW,柏騰,32.05,-3.9,1887,3
766	,3520.TW,華盈,23,-4.17,2423,9
767	,3521.TW,鴻翊,24.9,-3.11,646,10
768	,3522.TW,御頂,15.5,1.97,1701,3
769	,3523.TW,迎輝,18.6,5.08,3,5
770	,3526.TW,凡甲,137,-2.14,328,0
771	,3527.TW,聚積,120,-1.64,581,2
772	,3528.TW,安馳,63,-1.72,221,1
773	,3529.TW,力旺,2010,-0.99,390,8
774	,3530.TW,晶相光,83.6,-1.65,150,4
775	,3531.TW,先益,27.85,-1.59,27,5
776	,3532.TW,台勝科,151,-2.27,1962,4
777	,3533.TW,嘉澤,908,-2.26,379,2
778	,3535.TW,晶彩科,21.65,-2.48,641,7
779	,3537.TW,堡達,37.95,0.26,152,0
780	,3540.TW,曜越,41.4,-5.8,2289,4
781	,3541.TW,西柏,60.5,-0.17,84,0
782	,3543.TW,州巧,21.7,-1.36,69,0
783	,3545.TW,敦泰,83.2,-2.23,4416,1
784	,3546.TW,宇峻,79.6,-0.5,121,0
785	,3548.TW,兆利,69.4,0.58,480,1
786	,3550.TW,聯穎,16.2,-2.11,611,0
787	,3551.TW,世禾,60.4,-0.82,64,0
788	,3552.TW,同致,150,-3.23,910,5
789	,3555.TW,重鵬,27.45,0.92,2,2
790	,3556.TW,禾瑞亞,65.5,-2.24,356,1
791	,3557.TW,嘉威,68,-0.29,141,2
792	,3558.TW,神準,300.5,-3.69,2598,17
793	,3563.TW,牧德,188.5,-0.79,75,2
794	,3564.TW,其陽,39.45,-3.31,460,3
795	,3567.TW,逸昌,29.5,-0.51,66,0
796	,3570.TW,大塚,138.5,-7.67,651,2
797	,3576.TW,聯合再生,21.45,-4.03,28793,0
798	,3577.TW,泓格,84.6,-1.63,108,5
799	,3580.TW,友威科,57.3,-4.82,1418,0
800	,3581.TW,博磊,22.9,-0.43,50,2
801	,3583.TW,辛耘,87.1,-0.8,634,2
802	,3587.TW,閎康,197,-2.23,632,3
803	,3588.TW,通嘉,62.7,-4.13,1044,4
804	,3591.TW,艾笛森,24.35,-4.7,4030,5
805	,3593.TW,力銘,12.55,-0.79,18,3
806	,3594.TW,磐儀,54,-2.88,2620,6
807	,3596.TW,智易,104,-2.35,1274,0
808	,3597.TW,映興,25.2,-1.18,30,2
809	,3605.TW,宏致,31.3,-1.11,304,0
810	,3607.TW,谷崧,14,-2.1,245,1
811	,3609.TW,三一東林,41.8,-0.48,25,1
812	,3611.TW,鼎翰,233,-5.28,383,1
813	,3615.TW,安可,17.9,-1.38,128,2
814	,3617.TW,碩天,122.5,-4.3,639,4
815	,3622.TW,洋華,31.65,-1.56,228,0
816	,3623.TW,富晶通,16.5,-1.49,44,7
817	,3624.TW,光頡,72.1,-5.26,5092,6
818	,3625.TW,西勝,14.15,-1.74,267,5
819	,3628.TW,盈正,52,1.36,830,7
820	,3629.TW,地心引力,70.6,5.22,196,4
821	,3630.TW,新鉅科,30.05,-3.38,450,2
822	,3631.TW,晟楠,35.75,0.14,118,1
823	,3632.TW,研勤,14.7,0.68,106,2
824	,3645.TW,達邁,34.25,-1.3,285,1
825	,3646.TW,艾恩特,29,-1.36,215,2
826	,3652.TW,精聯,32.95,-9.97,8125,7
827	,3653.TW,健策,463.5,-1.17,688,2
828	,3661.TW,世芯-KY,1315,1.54,3294,6
829	,3663.TW,鑫科,35.2,-4.99,735,4
830	,3664.TW,安瑞-KY,29.05,-3.65,654,24
831	,3665.TW,貿聯-KY,273,0,1290,1
832	,3666.TW,光耀,23.7,-0.84,296,7
833	,3669.TW,圓展,44.95,-1.1,83,2
834	,3672.TW,康聯訊,29.7,0.68,95,2
835	,3673.TW,TPK-KY,38.5,-6.67,15070,1
836	,3675.TW,德微,308,-1.75,3706,11
837	,3679.TW,新至陞,90.3,-0.44,60,1
838	,3680.TW,家登,344,0,1449,3
839	,3682.TW,亞太電,6.53,-1.36,2592,0
840	,3684.TW,榮昌,66.4,-1.78,59,3
841	,3685.TW,元創精密,21.35,-1.61,136,10
842	,3686.TW,達能,16.25,-7.14,3106,11
843	,3687.TW,歐買尬,84.1,-3.89,189,6
844	,3689.TW,湧德,38.3,-1.29,466,1
845	,3691.TW,碩禾,115,-4.96,1750,0
846	,3693.TW,營邦,193.5,-1.02,759,11
847	,3694.TW,海華,24.75,-4.26,982,6
848	,3701.TW,大眾控,57,-2.23,2135,11
849	,3702.TW,大聯大,49.95,-0.1,3056,0
850	,3703.TW,欣陸,31.4,-1.1,1863,1
851	,3704.TW,合勤控,42.85,-5.62,17541,3
852	,3705.TW,永信,44.6,-1.55,937,1
853	,3706.TW,神達,27.85,-0.36,2872,0
854	,3707.TW,漢磊,83.5,-3.47,6059,2
855	,3708.TW,上緯投控,107.5,-0.46,2443,5
856	,3709.TW,鑫聯大投控,22.6,-2.38,43,0
857	,3710.TW,連展投控,11.95,-2.45,2811,12
858	,3711.TW,日月光投控,103.5,0,11745,0
859	,3712.TW,永崴投控,37.3,-4.36,5281,3
860	,3713.TW,新晶投控,28.85,-5.1,227,4
861	,3714.TW,富采,52.3,-2.43,5570,1
862	,4102.TW,永日,31.4,0.64,4200,9
863	,4104.TW,佳醫,85.7,-0.7,539,0
864	,4105.TW,東洋,76.3,-1.04,1042,0
865	,4106.TW,雃博,30.8,-1.91,383,6
866	,4107.TW,邦特,114.5,-0.43,120,0
867	,4108.TW,懷特,19.2,-0.78,178,0
868	,4109.TW,加捷生醫,15.7,-0.95,503,1
869	,4111.TW,濟生,29.35,-2.65,558,2
870	,4113.TW,聯上,16.45,0.3,724,0
871	,4114.TW,健喬,46.5,-4.71,20078,2
872	,4116.TW,明基醫,63.2,-1.56,694,20
873	,4119.TW,旭富,126,-4.91,1609,1
874	,4120.TW,友華,37.2,-1.33,23,1
875	,4121.TW,優盛,25.5,0.39,2936,6
876	,4123.TW,晟德,50.1,-0.6,14472,0
877	,4126.TW,太醫,84.8,-2.3,443,0
878	,4127.TW,天良,15.5,-3.73,906,7
879	,4128.TW,中天,65.3,-2.68,5976,6
880	,4129.TW,聯合,62.4,-1.89,5693,3
881	,4130.TW,健亞,27.95,-3.95,2179,5
882	,4131.TW,晶宇,29,-1.02,26,10
883	,4133.TW,亞諾法,37.05,-1.46,677,11
884	,4137.TW,麗豐-KY,223.5,-3.66,389,1
885	,4138.TW,曜亞,81.5,1.12,221,0
886	,4139.TW,馬光-KY,37.6,0,14,0
887	,4142.TW,國光生,39.95,-1.36,1351,2
888	,4147.TW,中裕,112.5,-4.66,20140,7
889	,4148.TW,全宇生技-KY,65,-4.27,690,11
890	,4153.TW,鈺緯,51.2,-9.86,2302,8
891	,4154.TW,樂威科-KY,31,2.65,10,1
892	,4155.TW,訊映,32.45,-2.55,1375,0
893	,4157.TW,太景*-KY,15.35,-3.15,2539,3
894	,4160.TW,創源,33.75,1.2,703,4
895	,4161.TW,聿新科,29.9,-1.81,232,2
896	,4162.TW,智擎,103.5,-3.27,2819,7
897	,4163.TW,鐿鈦,131.5,-1.5,777,2
898	,4164.TW,承業醫,70.7,-4.2,12836,1
899	,4167.TW,松瑞藥,19.25,-3.02,7325,6
900	,4168.TW,醣聯,32.2,-2.42,1631,4
901	,4171.TW,瑞基,60.2,-1.95,415,13
902	,4173.TW,久裕,19.5,-2.01,290,5
903	,4174.TW,浩鼎,87.6,-3.42,1483,4
904	,4175.TW,杏一,104,-4.59,990,6
905	,4183.TW,福永生技,19.9,-0.5,76,2
906	,4188.TW,安克,16,-1.84,41,2
907	,4190.TW,佐登-KY,103,-0.96,1696,0
908	,4192.TW,杏國,19.5,0,98,5
909	,4198.TW,欣大健康,25.3,1,4,2
910	,4205.TW,中華食,105.5,0,23,0
911	,4207.TW,環泰,14.9,0,711,3
912	,4303.TW,信立,17.5,0.57,50,5
913	,4304.TW,勝昱,9.98,-0.1,24,10
914	,4305.TW,世坤,31.55,-1.56,10,0
915	,4306.TW,炎洲,16.55,-0.3,1385,0
916	,4401.TW,東隆興,26.25,-0.57,55,0
917	,4402.TW,福大,10.85,0,215,23
918	,4406.TW,新昕纖,10.15,0.5,47,0
919	,4413.TW,飛寶企業,14.9,-2.61,21,19
920	,4416.TW,三圓,86,-0.58,2,0
921	,4417.TW,金洲,39.9,-0.99,252,0
922	,4419.TW,元勝,23.75,9.95,284,8
923	,4420.TW,光明,29.75,-1.16,1,0
924	,4426.TW,利勤,24.8,-3.13,580,2
925	,4430.TW,耀億,22.85,-0.65,21,0
926	,4432.TW,銘旺實,22.9,0,191,15
927	,4433.TW,興采,35.6,-3.13,360,6
928	,4438.TW,廣越,115,0,38,0
929	,4439.TW,冠星-KY,112,-0.44,49,2
930	,4502.TW,健信,37,0,20,1
931	,4503.TW,金雨,58.9,1.38,1410,12
932	,4506.TW,崇友,74.1,-0.94,93,0
933	,4510.TW,高鋒,13.5,-6.57,2598,2
934	,4513.TW,福裕,20.25,1.76,1108,6
935	,4523.TW,永彰,39.05,-1.26,24,3
936	,4526.TW,東台,17.35,-2.53,696,1
937	,4527.TW,方土霖,31.7,-1.09,59,0
938	,4528.TW,江興鍛,32.95,-0.3,21,0
939	,4529.TW,淳紳,10.65,5.45,424,15
940	,4530.TW,宏易,6.7,-0.59,22,4
941	,4532.TW,瑞智,17.75,-1.11,478,0
942	,4533.TW,協易機,11.65,-1.27,155,2
943	,4534.TW,慶騰,9.9,1.54,63,4
944	,4535.TW,至興,39.25,-1.38,6,0
945	,4536.TW,拓凱,204.5,-4.22,1537,1
946	,4538.TW,大詠城,21.1,0,0,1
947	,4540.TW,全球傳動,42.75,-1.72,213,1
948	,4541.TW,晟田,39,-5.57,4759,2
949	,4542.TW,科嶠,27.75,-1.6,19,2
950	,4543.TW,萬在,27.75,-5.13,706,11
951	,4545.TW,銘鈺,32.75,-0.46,65,2
952	,4549.TW,桓達,93.3,-1.17,75,0
953	,4550.TW,長佳,31.8,-7.02,1001,2
954	,4551.TW,智伸科,140,-0.71,240,0
955	,4552.TW,力達-KY,32.55,-2.54,427,0
956	,4554.TW,橙的,30,-0.5,178,5
957	,4555.TW,氣立,48.3,0.62,124,0
958	,4556.TW,旭然,30.7,0.33,16,0
959	,4557.TW,永新-KY,107.5,-2.71,67,2
960	,4560.TW,強信-KY,39.35,0.38,42,0
961	,4561.TW,健椿,24.3,-0.82,100,0
962	,4562.TW,穎漢,16.5,-1.2,72,1
963	,4563.TW,百德,40.05,-0.87,24,2
964	,4564.TW,元翎,24,-2.04,504,1
965	,4566.TW,時碩工業,61.7,-4.19,3932,2
966	,4568.TW,科際精密,61.5,-0.32,31,0
967	,4571.TW,鈞興-KY,81.2,-0.37,33,0
968	,4572.TW,駐龍,156,-4.59,2264,1
969	,4576.TW,大銀微系統,77.7,-1.15,94,1
970	,4580.TW,捷流閥業,96.5,-2.13,276,0
971	,4581.TW,光隆精密-KY,49.35,-3.61,213,1
972	,4609.TW,唐鋒,7.84,2.22,7,1
973	,4702.TW,中美實,14.05,-2.43,223,9
974	,4706.TW,大恭,17.3,-0.29,6,0
975	,4707.TW,磐亞,12.85,-1.15,1080,0
976	,4711.TW,永純,15.05,0,21,0
977	,4712.TW,南璋,4.58,0.66,9,7
978	,4714.TW,永捷,11.8,-1.67,448,1
979	,4716.TW,大立,12.5,-0.4,608,1
980	,4720.TW,德淵,14.6,0,336,5
981	,4721.TW,美琪瑪,105.5,-1.86,431,0
982	,4722.TW,國精化,35.2,-0.14,22,0
983	,4726.TW,永昕,39.1,-2.74,2343,3
984	,4728.TW,雙美,257.5,9.81,733,8
985	,4729.TW,熒茂,17.05,-1.73,115,5
986	,4735.TW,豪展,38.7,-0.13,31,3
987	,4736.TW,泰博,184,0,289,1
988	,4737.TW,華廣,74.3,-1.72,60,0
989	,4739.TW,康普,95.3,-2.26,905,0
990	,4741.TW,泓瀚,30,9.89,805,2
991	,4743.TW,合一,270.5,-3.74,9590,10
992	,4744.TW,皇將,33.4,-3.88,1833,3
993	,4745.TW,合富-KY,27.45,0.55,109,3
994	,4746.TW,台耀,82.6,-1.2,1794,4
995	,4747.TW,強生,59.5,-1.16,7029,11
996	,4754.TW,國碳科,40.35,0.25,48,1
997	,4755.TW,三福化,135,-2.53,472,10
998	,4760.TW,勤凱,65.3,-3.26,106,2
999	,4763.TW,材料-KY,465,-3.13,303,8
1000	,4764.TW,雙鍵,52.2,-0.76,62,1
1001	,4766.TW,南寶,147.5,-1.01,74,0
1002	,4767.TW,誠泰科技,26.3,-2.41,76,0
1003	,4804.TW,大略-KY,6.23,0,96,24
1004	,4807.TW,日成-KY,20.8,-1.19,6,1
1005	,4903.TW,聯光通,20.45,-0.97,164,8
1006	,4904.TW,遠傳,77.4,-0.13,3038,0
1007	,4905.TW,台聯電,51,0,81,0
1008	,4906.TW,正文,32.1,-1.23,4173,0
1009	,4907.TW,富宇,34.6,-0.29,41,0
1010	,4908.TW,前鼎,35.5,-2.2,1155,1
1011	,4909.TW,新復興,18.5,-2.37,299,4
1012	,4911.TW,德英,68.4,-3.66,543,22
1013	,4912.TW,聯德控股-KY,75.4,-1.05,14,1
1014	,4915.TW,致伸,60.5,-1.47,3757,0
1015	,4916.TW,事欣科,33.75,-2.6,3275,4
1016	,4919.TW,新唐,142.5,-0.7,2831,4
1017	,4924.TW,欣厚-KY,13.85,4.14,682,7
1018	,4927.TW,泰鼎-KY,58.4,-2.34,951,1
1019	,4930.TW,燦星網,25.7,-1.53,139,1
1020	,4931.TW,新盛力,49.15,3.58,10670,16
1021	,4933.TW,友輝,35.6,-1.39,87,0
1022	,4934.TW,太極,32.55,-7.66,12908,3
1023	,4935.TW,茂林-KY,57.9,-1.86,245,1
1024	,4938.TW,和碩,70.1,-0.14,2718,0
1025	,4939.TW,亞電,16.65,-0.89,140,1
1026	,4942.TW,嘉彰,38.1,-0.91,140,0
1027	,4944.TW,兆遠,12.8,-0.39,35,17
1028	,4945.TW,陞達科技,51.6,-1.71,63,3
1029	,4946.TW,辣椒,28.5,5.36,138,20
1030	,4950.TW,牧東,18.2,0,910,0
1031	,4952.TW,凌通,56.5,-1.22,221,2
1032	,4953.TW,緯軟,119,-5.56,4830,2
1033	,4956.TW,光鋐,16.95,-2.31,345,2
1034	,4958.TW,臻鼎-KY,111.5,0.45,2161,0
1035	,4961.TW,天鈺,163.5,-5.76,9786,5
1036	,4966.TW,譜瑞-KY,1070,-4.04,1442,4
1037	,4967.TW,十銓,73.5,-2.78,7535,3
1038	,4968.TW,立積,172.5,-5.48,11860,7
1039	,4971.TW,IET-KY,67.6,-3.01,590,2
1040	,4972.TW,湯石照明,29.75,-0.67,55,0
