符合條件商品
資料日期：2021年 10月 29日
策略,	每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融券使用率,	法人持股比例,	融資使用率,	投信持股比例
執行時間：2021-10-31 18:46 符合檔數(1446)
351	,2436.TW,偉詮電,81.1,-1.7,10973,3.72,11.3,40.51,2.37
352	,2439.TW,美律,82.2,-1.08,1579,0.69,18.09,13.36,0
353	,2441.TW,超豐,79.5,-0.75,1596,0.02,26.93,1.37,5.04
354	,2442.TW,新美齊,11.6,-1.28,1612,0.03,3.19,18.66,0
355	,2449.TW,京元電子,39.75,-1.61,6967,0.07,43.36,4.86,4.29
356	,2450.TW,神腦,31.85,-0.78,198,0,3.72,0.68,0
357	,2451.TW,創見,67.5,-0.44,549,0.08,14.19,5.3,0.03
358	,2453.TW,凌群,23.5,0.21,171,0,3.92,7.89,0
359	,2454.TW,聯發科,913,-2.46,5550,0.09,69.83,1.86,1.6
360	,2455.TW,全新,140.5,-2.43,14579,1.9,43.83,24.99,10.96
361	,2456.TW,奇力新,86.1,-1.03,716,0.26,14.32,11.98,0.6
362	,2457.TW,飛宏,36.8,1.38,22271,3.15,7.8,25.16,0
363	,2458.TW,義隆,167,-0.6,3243,3.03,35.37,10.11,7.18
364	,2459.TW,敦吉,57,0,61,0,17.7,0.98,0.01
365	,2460.TW,建通,23.5,0.86,623,0.13,2.93,8.97,0
366	,2461.TW,光群雷,20.1,-0.99,333,0.65,6.99,21.51,0
367	,2462.TW,良得電,30.95,6.72,2372,0.01,0.95,41.21,0
368	,2464.TW,盟立,41.8,0.12,356,0.02,4.07,13.1,0
369	,2465.TW,麗臺,65,5.52,4197,2.29,1.43,25.51,0
370	,2466.TW,冠西電,36.9,-0.14,98,0.23,10.28,7.1,0
371	,2467.TW,志聖,45.35,-0.77,448,0.02,11.23,4.42,0.01
372	,2468.TW,華經,13.25,1.15,252,0,0.46,14.43,0
373	,2471.TW,資通,23,2.22,55,0,1.63,6.16,0
374	,2472.TW,立隆電,63.9,-0.16,355,0.05,1.4,17.02,0
375	,2474.TW,可成,161,-1.53,5130,0.11,48.24,4.39,1
376	,2476.TW,鉅祥,66.3,5.74,27139,3.2,6.72,29.58,0.16
377	,2477.TW,美隆電,28,-0.71,172,0.02,22.24,5.53,0
378	,2478.TW,大毅,63.5,-0.47,308,0.14,5.64,17.67,0
379	,2480.TW,敦陽科,70.7,-0.42,100,0,6.29,2.18,0.01
380	,2481.TW,強茂,112.5,4.65,60430,10.66,38.41,17.56,13.93
381	,2482.TW,連宇,14.1,5.22,1232,1.56,1.43,13.56,0
382	,2483.TW,百容,25.4,2.42,317,0,1.05,5.22,0
383	,2484.TW,希華,33.55,-1.32,3819,0.13,6.62,20.9,0
384	,2485.TW,兆赫,19.7,-0.51,4276,0.05,4.95,22.57,0.01
385	,2486.TW,一詮,58.7,0,28366,4.75,3.67,47.44,0.49
386	,2488.TW,漢平,28.3,1.62,178,0,2.26,4.18,0
387	,2491.TW,吉祥全,22.5,0,722,0.08,6.19,7.16,0
388	,2492.TW,華新科,151,-1.63,2646,0.14,22.74,10.83,0.39
389	,2493.TW,揚博,38.3,-0.91,108,0.01,6.18,5.08,0
390	,2495.TW,普安,14.35,-1.71,368,0.01,18.53,8.29,0
391	,2496.TW,卓越,49.25,-0.1,23,0,31.51,5.28,0
392	,2497.TW,怡利電,38.2,3.8,2357,0.26,1.83,10.99,0
393	,2498.TW,宏達電,65.6,9.88,22285,6.9,22.53,20.24,0
394	,2501.TW,國建,19.5,-0.51,366,0,8.13,0.77,0
395	,2504.TW,國產,25.7,2.8,8731,0.01,11.95,8.17,0.33
396	,2505.TW,國揚,24,-0.41,558,0.05,6.85,6.91,0
397	,2506.TW,太設,9.83,0.2,172,0,3.23,2.96,0
398	,2509.TW,全坤建,18.4,-0.27,105,0,1.17,3.03,0
399	,2511.TW,太子,13.25,-0.38,1149,0,8.97,2.49,0
400	,2514.TW,龍邦,17.9,-0.56,739,0,2.83,5.98,0
401	,2515.TW,中工,8.78,-0.57,2418,0.02,11.58,10.01,0
402	,2520.TW,冠德,38.4,0.26,1559,0.08,21.94,9.69,0.27
403	,2524.TW,京城,36.5,-0.27,82,0.01,1.36,9.91,0
404	,2527.TW,宏璟,29.9,-2.61,1121,0,44.7,4.63,0.01
405	,2528.TW,皇普,21.7,-0.23,8,0,0.25,1.3,0
406	,2530.TW,華建,14.9,-0.67,472,0,0.82,8.95,0
407	,2534.TW,宏盛,24.15,-0.41,946,0.02,11.38,2.01,0
408	,2535.TW,達欣工,30.35,-0.49,220,0.01,15.01,1.11,0.05
409	,2536.TW,宏普,21.75,-0.91,234,0,10.11,0.37,0.03
410	,2537.TW,聯上發,9.75,0.52,629,0,1.77,13.48,0
411	,2538.TW,基泰,13.1,-1.5,2201,0.18,12.66,15.07,0
412	,2539.TW,櫻花建,31.4,-0.32,157,0.1,0.68,1.27,0
413	,2540.TW,愛山林,77.8,-1.39,44,0,0.32,0.76,0
414	,2542.TW,興富發,44.95,-0.33,1910,0.25,16.98,1.9,4.11
415	,2545.TW,皇翔,36.55,-0.27,235,0.17,4.26,1.72,0
416	,2546.TW,根基,47.05,-0.21,45,0,3.58,0.23,0
417	,2547.TW,日勝生,10.5,0.48,946,0,19.18,3.6,0
418	,2548.TW,華固,91,0,675,0,25.08,0.32,0.6
419	,2596.TW,綠意,24.95,0.2,116,0,0.65,9.88,0
420	,2597.TW,潤弘,124,-2.36,287,0.02,1.51,1.37,0.06
421	,2601.TW,益航,12.8,0.79,11332,1.03,3.34,13.01,0
422	,2603.TW,長榮,99.5,6.76,226596,0.8,30.37,19.5,1.39
423	,2605.TW,新興,27.7,1.09,14762,0.97,33.46,17.61,0
424	,2606.TW,裕民,52.6,2.53,15644,1.12,9.46,14.22,0.23
425	,2607.TW,榮運,27.05,1.5,5750,0.09,9.06,5.85,0
426	,2608.TW,嘉里大榮,43.35,1.05,1037,0.04,8.28,3.76,0
427	,2609.TW,陽明,96.5,6.51,149099,1.8,15.23,24.23,0.4
428	,2610.TW,華航,17.2,1.47,78118,1.52,8.89,9.6,0.01
429	,2611.TW,志信,21.7,2.12,4516,8.37,6.94,16.96,0
430	,2612.TW,中航,56.2,1.26,3401,1.76,2.35,16.38,0
431	,2613.TW,中櫃,26.1,1.95,1030,0.53,2.59,5.62,0
432	,2614.TW,東森,31.75,5.66,22749,1.48,7.51,15.94,0
433	,2615.TW,萬海,160,4.23,50008,0.96,44.44,6.26,0.32
434	,2616.TW,山隆,35.25,0,45,0,3.07,0.45,0
435	,2617.TW,台航,35.05,1.3,4584,0.23,6.23,14.52,0
436	,2618.TW,長榮航,18.85,1.34,38264,0.35,19.73,7.67,0.13
437	,2633.TW,台灣高鐵,29.05,0,5399,0,10.42,0.68,0.3
438	,2634.TW,漢翔,28.2,-0.53,1182,0,2.2,2.06,0.18
439	,2636.TW,台驊投控,129,3.2,5819,6.5,18.45,33.98,0
440	,2637.TW,慧洋-KY,65.3,1.08,9391,0.5,11.73,10.22,0.01
441	,2640.TW,大車隊,72.6,1.11,30,0,4.04,11.42,0.69
442	,2641.TW,正德,24,3.67,9223,1.32,2.41,21.98,0
443	,2642.TW,宅配通,72.4,4.62,1763,5.32,8.53,10.46,0
444	,2643.TW,捷迅,68.2,2.87,79,0.09,3.33,10.45,0
445	,2701.TW,萬企,12.15,-0.41,84,0,0.43,0.31,0
446	,2704.TW,國賓,30.25,0,135,0.01,10.27,0.87,0
447	,2705.TW,六福,18.05,-0.28,159,0,1.42,0.29,0
448	,2706.TW,第一店,14.45,-0.34,239,0,2.43,1.9,0
449	,2707.TW,晶華,148.5,-1,158,0,12.9,1.8,0
450	,2712.TW,遠雄來,37.95,0,6,0,0.13,0.11,0
451	,2722.TW,夏都,32.7,1.55,87,0,0.44,0.98,0
452	,2723.TW,美食-KY,131,-2.96,994,0.05,60.33,3.45,0.28
453	,2726.TW,雅茗-KY,34.6,0.14,17,0.18,37.13,11.83,0
454	,2727.TW,王品,144,-1.03,808,0.52,6.34,10.29,0.08
455	,2731.TW,雄獅,87.5,0.34,235,0.71,1.12,6.85,0.07
456	,2732.TW,六角,98.6,-0.9,36,0.15,7.3,4.53,0.89
457	,2736.TW,高野,16.1,1.26,71,0,0.28,8.06,0
458	,2739.TW,寒舍,23.45,0,15,0.04,3.57,5.96,0
459	,2743.TW,山富,23.45,0.64,50,0,0.14,14.08,0
460	,2748.TW,雲品,42.25,0.48,96,0.01,0.41,0.89,0
461	,2754.TW,亞洲藏壽司,76.8,-0.9,71,0.01,70.42,3.92,0
462	,2801.TW,彰銀,16.4,-0.61,19096,0,12.14,0.22,0.47
463	,2809.TW,京城銀,41.5,-0.36,2169,0,24.99,0.31,4.19
464	,2812.TW,台中銀,11.95,0.42,5247,0,10.92,0.16,0.08
465	,2816.TW,旺旺保,19.45,0.26,26,0,1.49,0.91,0
466	,2820.TW,華票,16.65,0,552,0,7.79,0.15,0.37
467	,2823.TW,中壽,29,-1.19,9896,0,19.45,0.77,0.07
468	,2832.TW,台產,19.95,-0.25,105,0,3.47,0.26,0
469	,2834.TW,臺企銀,9.46,-0.53,22253,0,13.6,0.56,0.1
470	,2836.TW,高雄銀,11.25,-0.88,530,0,7.46,1.16,0.04
471	,2838.TW,聯邦銀,11.8,-0.84,1265,0,3.48,0.19,0.03
472	,2845.TW,遠東銀,10.45,-0.48,1704,0,10.95,0.25,0.04
473	,2849.TW,安泰銀,16.7,-0.3,227,0,59.3,0.36,0
474	,2850.TW,新產,46.1,-0.22,171,0,7.5,1.16,0
475	,2851.TW,中再保,28.05,0.54,683,0,1.36,2.39,0.03
476	,2852.TW,第一保,13.3,-0.75,114,0,3.25,0.08,0
477	,2855.TW,統一證,22.65,-0.88,845,0.02,10,0.72,0.03
478	,2867.TW,三商壽,9.18,-0.43,2452,0,7.46,3.76,0
479	,2880.TW,華南金,20.35,-0.25,10607,0,18.59,0.08,0.6
480	,2881.TW,富邦金,73.6,-1.21,45597,0.16,23.97,0.66,0.84
481	,2882.TW,國泰金,58.1,0,18175,0.01,25.78,0.53,0.9
482	,2883.TW,開發金,14.2,-1.05,34842,1.07,26.91,1.26,2.14
483	,2884.TW,玉山金,26.55,-0.19,33122,0,36.49,0.12,0.87
484	,2885.TW,元大金,24.7,-0.6,15254,0.01,34.74,0.16,0.75
485	,2886.TW,兆豐金,33.4,0,14144,0,23.09,0.04,1.59
486	,2887.TW,台新金,18.25,-1.08,20245,0,27.79,0.36,0.78
487	,2888.TW,新光金,9.81,-0.61,52468,0.22,20.7,3.12,0.19
488	,2889.TW,國票金,15.9,-0.31,1891,0,11.92,0.41,0.13
489	,2890.TW,永豐金,14.15,0,21959,0,30.55,0.21,0.99
490	,2891.TW,中信金,23.2,-0.85,23208,0,40.68,0.13,1.04
491	,2892.TW,第一金,22.9,0,16777,0,25.1,0.06,1.12
492	,2897.TW,王道銀行,7.8,0.13,1168,0,3.75,0.42,0
493	,2901.TW,欣欣,24.85,-0.6,35,0,0.23,11.39,0
494	,2903.TW,遠百,22.1,-0.67,777,0,10.85,0.47,0.01
495	,2904.TW,匯僑,26.95,-0.19,59,0,0.5,0.08,0
496	,2905.TW,三商,23.15,-0.43,655,0.41,6.69,1.51,0.06
497	,2906.TW,高林,15.3,-0.33,25,0,5.1,2.36,0
498	,2908.TW,特力,24.15,-0.62,166,0.01,6.61,2.96,0
499	,2910.TW,統領,34.4,-0.15,10,0,0.19,0.12,0
500	,2911.TW,麗嬰房,8.19,1.24,448,0.06,18.95,5.47,0
501	,2912.TW,統一超,281,-0.35,1072,0,33.93,0.08,0.97
502	,2913.TW,農林,20.9,0.24,1985,0.02,7.82,10.57,0
503	,2915.TW,潤泰全,108.5,3.83,6516,2.03,18.02,5.49,3.13
504	,2916.TW,滿心,19.7,0.51,17,0,21.56,0.66,0
505	,2926.TW,誠品生活,61,-1.61,20,0.01,13.6,0.46,0
506	,2929.TW,淘帝-KY,12.3,0.41,104,0.04,22.68,3.28,0
507	,2936.TW,客思達-KY,26,0,4,0,91.86,0.78,0
508	,2939.TW,凱羿-KY,35.5,0,40,0.03,54.09,3.58,0
509	,3002.TW,歐格,11.3,0.44,79,0,0.85,15.99,0
510	,3003.TW,健和興,96.9,2.87,7954,1.5,12.03,20.15,0.87
511	,3004.TW,豐達科,58.6,-0.51,33,0.02,2.36,11.25,0
512	,3005.TW,神基,52.3,-1.32,1197,0.01,37.09,1.9,0.25
513	,3006.TW,晶豪科,142.5,0,26572,3.32,17.9,56.41,0.73
514	,3008.TW,大立光,2070,0,499,0.07,42.6,5.72,0.91
515	,3010.TW,華立,85,0.71,1278,0.06,13.88,2.14,0.04
516	,3013.TW,晟銘電,13.5,0.37,223,0.03,1.75,9.49,0
517	,3014.TW,聯陽,104,0,2576,0.14,12.54,17.9,0.4
518	,3015.TW,全漢,40.5,-0.37,149,0.01,11.65,5.1,0
519	,3016.TW,嘉晶,95.3,0.63,23235,2.23,3.65,17.46,0
520	,3017.TW,奇鋐,82.9,2.35,13254,0.74,50.01,18.96,7.06
521	,3019.TW,亞光,88.5,1.03,9340,0.48,13.13,19.87,0.26
522	,3021.TW,鴻名,21.4,-1.15,199,0.02,3.36,6.48,0.06
523	,3022.TW,威強電,44.3,-0.45,160,0,19.64,4.35,0
524	,3023.TW,信邦,230,-2.75,764,0.09,56.46,0.76,1.01
525	,3025.TW,星通,23.4,1.3,1524,0.35,1.8,27.27,0
526	,3026.TW,禾伸堂,118,1.72,760,0.04,12.78,7.84,0.17
527	,3027.TW,盛達,24.5,2.08,5537,0.15,1.14,34.95,0
528	,3028.TW,增你強,28.8,0.35,360,0.07,6.6,4.09,0
529	,3029.TW,零壹,46.1,3.6,2969,0.01,5.75,6.65,0
530	,3030.TW,德律,55.9,0.18,176,0.01,18.28,4.34,0.01
531	,3031.TW,佰鴻,23.4,-4.29,3346,0.41,3.48,7.21,0
532	,3032.TW,偉訓,31.1,-0.48,55,0.02,1.16,7.15,0
533	,3033.TW,威健,27.9,0.54,4261,1.28,10.08,9.92,0.09
534	,3034.TW,聯詠,415.5,1.22,5817,1.15,62.19,6.53,3.35
535	,3035.TW,智原,201,2.29,89283,10.85,45.95,18.98,20.77
536	,3036.TW,文曄,62.8,0.16,676,0.05,13.51,2.54,0.61
537	,3037.TW,欣興,190,6.44,98456,2.04,50.87,7.85,5.95
538	,3038.TW,全台,18.4,0,354,0.02,1.64,15.03,0
539	,3040.TW,遠見,38.7,-0.51,34,0.16,15.15,3.57,0
540	,3041.TW,揚智,28.45,3.83,5275,0.87,11.74,25.61,0.01
541	,3042.TW,晶技,102.5,-0.49,2700,0.14,21.93,16.25,3.2
542	,3044.TW,健鼎,117.5,-0.42,454,0.01,49.09,1.01,4.67
543	,3045.TW,台灣大,98.1,-0.1,5436,0.01,17.08,0.06,1.04
544	,3047.TW,訊舟,10.8,-1.37,905,0.02,3.59,13.14,0
545	,3048.TW,益登,34,-0.44,2057,0.15,7.86,5.79,0
546	,3049.TW,和鑫,11.9,0.42,3455,0.02,8.11,9.45,0
547	,3050.TW,鈺德,17.1,3.64,5667,0.41,7.56,26.24,0
548	,3052.TW,夆典,10.7,1.42,525,0,1.18,5.77,0
549	,3054.TW,立萬利,26.9,-2.89,934,0.29,0.55,8.37,0.02
550	,3055.TW,蔚華科,28.7,0.7,54,0,1.88,24.95,0
551	,3056.TW,總太,38.8,0,188,0,7.03,2.49,0.02
552	,3058.TW,立德,16.25,1.25,5260,0.83,1.25,13.86,0
553	,3059.TW,華晶科,37.6,0.53,3571,0.65,12.76,22.34,0
554	,3060.TW,銘異,22.1,0.23,410,0.16,11.35,14.75,0.01
555	,3062.TW,建漢,26.45,3.52,65898,3.78,11.41,34.13,0.1
556	,3071.TW,協禧,22.7,2.48,247,0,1.92,7.74,0.12
557	,3078.TW,僑威,40.55,0.62,638,0.19,3.22,10.12,0
558	,3081.TW,聯亞,178.5,-1.65,352,0.37,51.79,8.61,0.56
559	,3083.TW,網龍,45.1,1.23,80,0.84,1.25,12.11,0
560	,3086.TW,華義,81,-2.29,18,0,29.05,3.92,0
561	,3088.TW,艾訊,52.4,1.16,1105,0.44,4.72,1.83,0
562	,3090.TW,日電貿,50.4,-0.2,275,0.02,8.95,6.85,0
563	,3092.TW,鴻碩,59.9,1.87,1298,1.49,2.25,28.51,0
564	,3093.TW,港建,77.8,-0.77,23,0.06,68.82,31.71,0
565	,3094.TW,聯傑,32.3,1.25,820,2.1,3.67,22.84,0
566	,3105.TW,穩懋,357.5,10,22692,0.52,50.07,4.76,1.94
567	,3114.TW,好德,26.5,0.76,686,0.05,1.43,12.85,0
568	,3118.TW,進階,29.75,-0.83,7,0,10.48,6.3,0
569	,3122.TW,笙泉,46.45,-3.13,15583,20.79,2.69,40.1,0
570	,3128.TW,昇銳,21.75,1.4,433,0.05,3.56,32.77,0
571	,3130.TW,一零四,177.5,0,2,0,42.52,0,0
572	,3138.TW,耀登,213.5,-2.06,1631,0.41,1.43,9.59,0
573	,3141.TW,晶宏,216,-2.26,25158,15.42,28.68,74.48,14.79
574	,3144.TW,新揚科,38.1,-0.26,31,0,90.03,0.6,0
575	,3147.TW,大綜,57,-0.52,242,0.01,2.85,15.69,0
576	,3152.TW,璟德,343,-2.42,354,0.35,23.24,10.02,2.13
577	,3163.TW,波若威,39.75,-0.63,219,0.84,4.84,22.99,0
578	,3164.TW,景岳,23.95,0.63,34,0,0.89,3.47,0
579	,3167.TW,大量,80.8,0.37,804,0.36,3.24,11.17,0.11
580	,3169.TW,亞信,179.5,3.16,6295,3.9,5.6,67.78,0
581	,3171.TW,新洲,20.9,-0.95,13,0,0.5,0.27,0
582	,3178.TW,公準,74.1,0.14,503,0.19,0.7,15.49,0
583	,3188.TW,鑫龍騰,16,0.95,185,0.03,0.22,10.59,0
584	,3189.TW,景碩,244,-1.01,39141,3.51,33.26,9.73,14.19
585	,3205.TW,佰研,27.1,1.5,126,0.02,9.8,10.24,0
586	,3206.TW,志豐,28.1,0.36,48,0,0.54,7.31,0
587	,3207.TW,耀勝,22.7,0.67,11679,5.26,6.53,48.58,0
588	,3209.TW,全科,30.25,1.34,1410,0,5.72,3.6,0.02
589	,3211.TW,順達,96,-0.52,3849,0.06,13.07,8.96,0.17
590	,3213.TW,茂訊,58.9,-0.67,53,0,7.25,1.33,0
591	,3217.TW,優群,91.5,2.01,261,0.09,5.75,9.7,3.54
592	,3218.TW,大學光,318,4.26,427,0.5,34.58,4.19,1.94
593	,3219.TW,倚強科,99,3.77,66,0.11,3.34,27.16,0
594	,3221.TW,台嘉碩,31.8,-1.24,1235,1.15,9.21,22.84,0
595	,3224.TW,三顧,45.7,-2.66,1392,0.11,1.1,23.82,0
596	,3226.TW,至寶電,68.4,0,5,0,0.03,0.71,0
597	,3227.TW,原相,157.5,-0.32,1573,0.17,18.29,21.34,0.38
598	,3230.TW,錦明,19.75,2.6,420,0,0.69,22.25,0
599	,3231.TW,緯創,29.2,-0.51,6933,0.02,41.5,1.67,6.27
600	,3232.TW,昱捷,29.3,0,2113,2.9,4.7,37.28,0
601	,3234.TW,光環,27.1,-2.17,384,2.66,6.31,27.57,0
602	,3236.TW,千如,28.6,6.72,8321,0.53,10.03,15.25,0
603	,3252.TW,海灣,16.85,0.6,21,0.16,7.5,93.93,0
604	,3257.TW,虹冠電,71.6,7.51,4248,0.09,6.69,20.89,0
605	,3260.TW,威剛,83,-0.95,3154,14.24,7.79,30.08,0.23
606	,3264.TW,欣銓,59.4,2.95,19129,0.16,34.57,12.33,7.38
607	,3265.TW,台星科,30.3,-0.16,153,0.05,7.04,4.64,0
608	,3266.TW,昇陽,12.9,0,55,0,7.05,0.6,0
609	,3268.TW,海德威,25.8,2.18,569,0,1.21,4.83,0
610	,3272.TW,東碩,39.05,0.39,84,0.19,0.37,18.49,0.07
611	,3284.TW,太普高,12.9,4.45,61,0,0.63,17.44,0
612	,3285.TW,微端,20.6,-0.72,48,0,0.86,19.02,0
613	,3287.TW,廣寰科,17.35,9.81,1507,0.07,0.45,15.54,0
614	,3289.TW,宜特,51.6,-0.77,129,0.41,5.81,15.7,0
615	,3290.TW,東浦,14.95,0,317,0.01,0.62,15.82,0
616	,3293.TW,鈊象,714,-0.14,543,0.16,29.75,10.62,0.21
617	,3294.TW,英濟,20.55,9.89,2896,1.06,7.61,27.83,0
618	,3296.TW,勝德,19.7,2.07,330,0.09,2.61,32.58,0
619	,3297.TW,杭特,20.05,0.25,1362,0.33,0.49,15.68,0
620	,3303.TW,岱稜,23.65,-0.42,166,0,2.43,13.03,0
621	,3305.TW,昇貿,70.7,9.95,23840,2.21,9.72,32.74,0.24
622	,3306.TW,鼎天,26.55,-0.93,233,0.04,2.24,9.74,0
623	,3310.TW,佳穎,29.8,-0.33,11,0.05,0.08,26.76,0
624	,3311.TW,閎暉,34.4,-1.01,96,0.01,0.77,6.46,0
625	,3312.TW,弘憶股,21.55,-0.92,325,0.01,5.78,16.09,0
626	,3317.TW,尼克森,74.8,6.7,9237,2.8,5.32,42.53,0
627	,3323.TW,加百裕,46.35,1.64,7643,1.19,2.55,30.05,0
628	,3324.TW,雙鴻,159.5,0.63,614,1.62,9.99,37.87,1.94
629	,3325.TW,旭品,15.9,0.32,99,0.92,0.36,21.57,0
630	,3332.TW,幸康,39.95,3.36,8,0,0.2,0.01,0
631	,3338.TW,泰碩,40.2,-1.95,184,0.14,1.65,22.44,0
632	,3346.TW,麗清,44,-1.46,1266,0.19,2.79,23.73,0
633	,3354.TW,律勝,16.8,0,680,0.32,0.8,9.76,0
634	,3356.TW,奇偶,31.45,-1.26,346,0,6.84,7.74,0
635	,3360.TW,尚立,14.2,-0.7,57,0.01,0.93,15.14,0
636	,3362.TW,先進光,72.2,1.55,1378,1.69,3.43,17.71,0
637	,3363.TW,上詮,33.8,2.89,6859,2.08,4.55,28.61,0
638	,3372.TW,典範,22.5,-1.96,859,0.23,4.6,9.21,1.3
639	,3373.TW,熱映,36.9,-0.54,115,6.46,6.62,14.59,0
640	,3374.TW,精材,135,0,1536,0.59,7.45,16.32,0.53
641	,3376.TW,新日興,99.7,-0.3,480,0.2,21.08,11.9,0.44
642	,3379.TW,彬台,12.05,0,75,0.01,0.27,11.4,0
643	,3380.TW,明泰,27,-2.88,2178,0.18,4.26,4.69,0
644	,3388.TW,崇越電,78.6,0.26,68,0,7.06,0.92,0
645	,3390.TW,旭軟,17.7,0,73,0,0.24,14.35,0
646	,3402.TW,漢科,41.8,-0.12,437,0,2.84,4.18,0
647	,3406.TW,玉晶光,427.5,0.12,2731,2.98,26.88,29.82,1.03
648	,3413.TW,京鼎,204.5,0.99,384,0.5,27.41,13.21,2.03
649	,3416.TW,融程電,81.6,-0.37,243,0.01,3.36,3.59,0.13
650	,3419.TW,譁裕,16.05,-0.31,438,0,6.77,13.13,0
651	,3432.TW,台端,12.9,0.39,35,0,5.38,8.39,0
652	,3434.TW,哲固,16.5,-3.79,471,0.3,0.4,10.89,0
653	,3437.TW,榮創,24.4,-1.41,594,0.45,11.17,16.52,0
654	,3438.TW,類比科,82.7,-1.55,236,0.24,10.61,11.64,0
655	,3441.TW,聯一光,41.7,4.38,963,1.89,2.41,25.46,0
656	,3443.TW,創意,598,-0.17,3364,2.61,45.54,7.46,9.92
657	,3444.TW,利機,40.5,-0.61,61,0.01,9.77,12.24,0
658	,3450.TW,聯鈞,55.8,-1.24,370,0.02,7.58,19.03,0
659	,3454.TW,晶睿,73.9,-2.51,153,0.03,6.11,3.55,0
660	,3455.TW,由田,63.8,0,329,0.03,5,12.52,0.16
661	,3466.TW,致振,18.1,-1.36,1466,1.07,6.84,9.18,0
662	,3479.TW,安勤,49.3,-0.6,38,0.01,2.72,15.29,0.74
663	,3481.TW,群創,16.7,2.77,256812,0.72,31.55,17.76,3.47
664	,3483.TW,力致,71.7,-0.42,500,0.72,1.9,62.32,0.14
665	,3484.TW,崧騰,68.8,-0.43,271,0.17,6.41,15.08,0
666	,3489.TW,森寶,13.25,-1.85,223,0,0.26,13.09,0
667	,3490.TW,單井,27.6,0.36,635,0.15,3.92,27.54,0
668	,3491.TW,昇達科,124.5,9.69,15502,3.1,10.39,29.85,0.84
669	,3492.TW,長盛,19.75,-1.74,118,0,0.46,17.11,0
670	,3498.TW,陽程,34.75,0.58,63,0.75,3.59,20.86,0
671	,3499.TW,環天科,13.25,-0.38,215,0.09,0.45,8.03,0
672	,3501.TW,維熹,48.15,-0.31,85,0,4.17,1.88,0
673	,3504.TW,揚明光,131,0.77,18462,10.36,7.65,29.22,1.12
674	,3508.TW,位速,31.1,9.89,20488,4.87,3.18,26.2,0
675	,3511.TW,矽瑪,45.35,0.11,2888,1.1,1.32,43.98,0
676	,3512.TW,皇龍,29.7,0.85,45,0.04,0.14,15.38,0
677	,3515.TW,華擎,173.5,6.12,3759,0.32,7.33,14.52,0.47
678	,3516.TW,亞帝歐,16.35,0.31,127,0,0.4,65.91,0
679	,3518.TW,柏騰,23.85,-1.85,181,0.12,8.37,15.71,0.09
680	,3526.TW,凡甲,158,1.28,1001,0.14,6.44,16.91,1.72
681	,3527.TW,聚積,215.5,-1.82,4490,2.67,11.21,40.07,0.39
682	,3528.TW,安馳,48.3,0.31,11,0,2.6,0.77,0
683	,3529.TW,力旺,2300,-0.86,613,0.6,76.23,3,13.74
684	,3530.TW,晶相光,141.5,-0.35,2581,2.96,48.76,34.36,0.25
685	,3531.TW,先益,21.95,-0.45,0,0,20.05,0.2,0
686	,3532.TW,台勝科,157.5,0.96,2007,0.06,58.61,2.29,1.77
687	,3533.TW,嘉澤,578,0.7,494,0.23,40.4,2.42,8.68
688	,3535.TW,晶彩科,16.6,-1.19,208,0.01,4.02,11.34,0
689	,3537.TW,堡達,34.35,0.15,75,0,0.37,7.62,0
690	,3540.TW,曜越,40.35,0,230,0.58,1.69,13.29,0
691	,3541.TW,西柏,59,2.61,297,0.03,2.19,12.84,0.02
692	,3543.TW,州巧,27.85,-1.07,72,0,0.66,9.63,0
693	,3545.TW,敦泰,160,-2.44,18963,4.74,25.63,39.58,0.38
694	,3546.TW,宇峻,78.6,0.38,117,0.02,13.19,13.87,0
695	,3548.TW,兆利,52.9,0.19,62,0.12,4.42,46.21,0
696	,3550.TW,聯穎,17.3,-0.57,99,0.12,3.03,31.53,0
697	,3551.TW,世禾,72,2.13,892,0.15,7.27,26.51,1.07
698	,3552.TW,同致,200.5,0.25,2304,1.79,21.77,27.04,0.31
699	,3556.TW,禾瑞亞,76.1,-0.65,815,1.21,9.49,24.73,0
700	,3557.TW,嘉威,81.6,0,45,0.09,19.14,20.83,0
701	,3558.TW,神準,93.1,0.65,89,0,5.82,4.54,0
702	,3563.TW,牧德,234,-1.68,244,0.03,12.9,15.67,0
703	,3567.TW,逸昌,35.3,2.02,172,0,5.02,20.89,2.14
704	,3577.TW,泓格,48.9,0.62,52,0,0.64,7.22,0
705	,3580.TW,友威科,48.5,0.94,85,0.17,1.89,29.94,0
706	,3581.TW,博磊,25.7,-0.19,54,0.02,7.67,8.6,0
707	,3583.TW,辛耘,68.9,0.29,1018,0.38,9.71,14.75,0
708	,3587.TW,閎康,143,-1.04,1506,0.21,7.47,14.73,1.6
709	,3588.TW,通嘉,133.5,-0.37,4019,3.77,8.78,45.89,1.37
710	,3591.TW,艾笛森,20.9,0.48,841,2.07,5.61,30.57,0
711	,3594.TW,磐儀,21.8,-0.23,178,0,6.2,48.81,2.16
712	,3596.TW,智易,105,0,4607,2.77,13.03,13.69,0.7
713	,3597.TW,映興,27.7,-0.54,29,0.3,0.2,10.88,0
714	,3605.TW,宏致,47.45,4.29,3393,0.05,14.41,16.73,0
715	,3607.TW,谷崧,13.35,-1.48,387,0.19,5.6,7.22,0
