符合條件商品
資料日期：2021年 10月 29日
策略,	每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融券使用率,	法人持股比例,	融資使用率,	投信持股比例
執行時間：2021-10-31 18:46 符合檔數(1446)
83	,1457.TW,宜進,17.25,-0.58,408,0.33,2.1,5.41,0
84	,1463.TW,強盛,13.9,-1.07,112,0,2.45,3.68,0
85	,1464.TW,得力,15.35,0,260,0,1.82,2.35,0.07
86	,1465.TW,偉全,12.45,-1.19,174,0,0.49,20.6,0
87	,1466.TW,聚隆,15.25,-1.29,168,0.24,1.52,18.65,0
88	,1467.TW,南緯,13.9,-1.07,782,0.05,20.19,32.76,0
89	,1470.TW,大統新創,18.2,0.55,90,0,0.17,0.04,0
90	,1473.TW,台南,18.2,0.28,36,0,9.07,1.35,0
91	,1474.TW,弘裕,15.25,0.33,523,0.01,2.99,17.27,0
92	,1476.TW,儒鴻,607,-0.33,362,0.03,44.13,0.35,1.4
93	,1477.TW,聚陽,242.5,4.08,1845,0.05,33.59,2.1,4.28
94	,1503.TW,士電,52.2,0,175,0,32.05,0.15,0
95	,1504.TW,東元,30.15,-0.5,3026,0.01,23.51,1.06,0.19
96	,1507.TW,永大,64.6,0,177,0,13.89,0.24,0
97	,1513.TW,中興電,41.15,0.12,4932,0.17,6.35,16.61,0.3
98	,1514.TW,亞力,23.7,0.64,492,0.01,8.41,5.51,0
99	,1515.TW,力山,67,-0.15,314,0.13,10.2,19.09,0.37
100	,1516.TW,川飛,20.95,2.2,40,0,0.35,26.77,0
101	,1517.TW,利奇,25.05,-0.2,768,0.15,3.43,10.89,0
102	,1519.TW,華城,36.7,-0.94,375,0.71,7.02,7.06,0.27
103	,1521.TW,大億,43.1,0.12,8,0,33.35,0.59,0
104	,1522.TW,堤維西,19.95,-0.99,178,0.01,5.84,2.01,0.07
105	,1524.TW,耿鼎,10,0.2,195,0.01,0.5,8.79,0
106	,1525.TW,江申,62.5,0,2,0.01,0.55,7.14,0
107	,1526.TW,日馳,46.2,0,308,0.09,2.84,27.76,0
108	,1527.TW,鑽全,43,-0.23,172,0,9.88,5.98,0.01
109	,1528.TW,恩德,10.6,-0.93,326,0,2.18,19.98,0
110	,1529.TW,樂士,15.85,-0.94,610,0,5.36,19.4,0
111	,1530.TW,亞崴,34.1,0.89,0,0,0.75,1.11,0
112	,1531.TW,高林股,14.65,-0.34,542,0,2.75,3.35,0.25
113	,1532.TW,勤美,32,-0.47,189,0,11.76,3.51,0.23
114	,1533.TW,車王電,60.4,2.2,3384,0.97,5.7,10.55,0
115	,1535.TW,中宇,39.4,-0.38,27,0,1.12,0.36,0
116	,1536.TW,和大,93.7,-0.64,386,0.42,13.82,6.19,0.86
117	,1537.TW,廣隆,141,-1.05,105,0.02,19.46,0.78,0.27
118	,1539.TW,巨庭,17.45,0.87,94,0,0.47,5.96,0
119	,1540.TW,喬福,14.75,0.34,29,0,0.4,1.16,0
120	,1541.TW,錩泰,43,-0.46,6,0,9.7,0.64,0
121	,1558.TW,伸興,152.5,-0.33,39,0,8.98,2.52,0.19
122	,1560.TW,中砂,75.6,0.67,2266,0.24,13.95,9.99,0.14
123	,1565.TW,精華,294.5,3.15,613,0.04,31.77,9.18,2.82
124	,1568.TW,倉佑,22.1,-1.12,127,0.01,1.4,6.05,0
125	,1569.TW,濱川,24.65,0.2,110,0,1.69,10.44,0.01
126	,1570.TW,力肯,20.45,1.74,1280,0.38,3.19,15.28,0
