符合條件商品
資料日期：2023年  1月  3日
策略,	00周KDSAR
序號,	代碼,	商品,	成交,	漲幅%,	總量,	k15,	SAR
執行時間：2023-01-03 23:26 符合檔數(1766)
114	,1516.TW,川飛,19.8,-0.5,32,4,1
115	,1517.TW,利奇,20.6,2.23,775,0,1
116	,1519.TW,華城,52.4,8.49,25523,0,2
117	,1521.TW,大億,34.45,-1.29,20,1,2
118	,1522.TW,堤維西,27.95,0.36,2732,1,1
119	,1524.TW,耿鼎,24.7,-0.6,3484,0,2
120	,1525.TW,江申,56.8,-0.35,31,0,2
121	,1526.TW,日馳,40.85,0.74,133,2,1
122	,1527.TW,鑽全,40.9,-0.12,133,0,2
123	,1528.TW,恩德,10.05,-0.99,334,2,2
124	,1529.TW,樂事綠能,21.3,5.45,9701,6,2
125	,1530.TW,亞崴,31,0,14,0,2
126	,1531.TW,高林股,13.9,-0.71,18,0,1
127	,1532.TW,勤美,28.8,0.35,183,0,2
128	,1533.TW,車王電,49,0.31,64,2,2
129	,1535.TW,中宇,42.85,0,64,1,1
130	,1536.TW,和大,67,0,3200,5,1
131	,1537.TW,廣隆,137,0,46,0,2
132	,1538.TW,正峰,8.09,1.12,25,2,2
133	,1539.TW,巨庭,28.75,0.52,179,2,1
134	,1540.TW,喬福,15.25,0,41,1,2
135	,1541.TW,錩泰,33.3,-0.6,14,9,2
136	,1558.TW,伸興,119,0,44,7,2
137	,1560.TW,中砂,108,2.37,2032,6,2
138	,1565.TW,精華,249,1.01,105,5,2
139	,1568.TW,倉佑,22.55,-0.66,115,3,1
140	,1569.TW,濱川,22,0,126,0,1
141	,1570.TW,力肯,16.65,-1.19,28,1,2
142	,1580.TW,新麥,90.3,-0.66,60,10,2
143	,1582.TW,信錦,59.1,0.17,57,0,1
144	,1583.TW,程泰,61.2,-0.65,8,0,2
145	,1584.TW,精剛,22.4,0.22,3858,3,2
146	,1586.TW,和勤,35,4.48,68,7,2
147	,1587.TW,吉茂,21.35,-1.84,75,2,1
148	,1589.TW,永冠-KY,57.3,0.7,96,0,1
149	,1590.TW,亞德客-KY,930,-0.11,579,0,2
150	,1591.TW,駿吉-KY,17,1.19,61,8,1
151	,1593.TW,祺驊,68.3,0,0,6,2
152	,1595.TW,川寶,38.1,-0.26,6,0,2
153	,1597.TW,直得,68.9,-1.57,44,0,1
154	,1598.TW,岱宇,41.05,0.86,120,0,2
155	,1599.TW,宏佳騰,39.05,-0.13,7,4,1
156	,1603.TW,華電,25.95,-0.19,260,0,2
157	,1604.TW,聲寶,26.2,-1.13,124,0,2
158	,1605.TW,華新,46.95,-0.53,76318,4,2
159	,1608.TW,華榮,13.65,-0.36,460,4,2
160	,1609.TW,大亞,20.85,2.71,10695,7,2
161	,1611.TW,中電,13.15,-0.38,396,11,1
162	,1612.TW,宏泰,16.45,1.23,468,9,2
163	,1614.TW,三洋電,35.4,-0.14,11,0,2
164	,1615.TW,大山,28.45,-0.87,40,4,2
165	,1616.TW,億泰,7.39,0.96,43,6,1
166	,1617.TW,榮星,15,0.33,16,1,1
167	,1618.TW,合機,14.45,0.7,623,0,1
168	,1626.TW,艾美特-KY,16.55,1.22,47,0,1
169	,1701.TW,中化,31.45,-5.41,23413,6,2
170	,1702.TW,南僑,45.15,-0.77,64,3,2
171	,1707.TW,葡萄王,168,0,1074,7,2
172	,1708.TW,東鹼,40.6,1.25,1021,5,1
173	,1709.TW,和益,22.35,0.45,642,2,1
174	,1710.TW,東聯,18.6,0,1268,1,2
175	,1711.TW,永光,18.4,-0.54,591,2,2
176	,1712.TW,興農,36.6,0.41,446,0,1
177	,1713.TW,國化,25,-0.2,65,0,2
178	,1714.TW,和桐,8.7,-0.57,1437,1,2
179	,1717.TW,長興,31.2,-0.16,859,4,2
180	,1718.TW,中纖,8.48,-1.51,3770,2,2
181	,1720.TW,生達,59.4,-3.41,6889,0,2
182	,1721.TW,三晃,14.7,-0.68,328,4,2
183	,1722.TW,台肥,53.3,-0.37,1173,10,1
184	,1723.TW,中碳,105.5,0,91,1,2
185	,1725.TW,元禎,20.2,0.5,11,5,2
186	,1726.TW,永記,70.2,-0.14,45,1,1
187	,1727.TW,中華化,24.75,1.02,171,5,2
188	,1730.TW,花仙子,55.3,-0.18,10,7,2
189	,1731.TW,美吾華,19.75,0,269,4,2
190	,1732.TW,毛寶,32,-2.14,848,9,1
191	,1733.TW,五鼎,25.45,-0.39,223,2,2
192	,1734.TW,杏輝,32.6,-1.66,2849,5,2
193	,1735.TW,日勝化,15.2,0.33,8,7,2
194	,1736.TW,喬山,69.1,-0.58,625,0,2
195	,1737.TW,臺鹽,32.2,-0.77,61,5,2
196	,1742.TW,台蠟,14.6,-0.34,9,1,1
197	,1752.TW,南光,61,-4.54,17694,1,2
198	,1760.TW,寶齡富錦,175.5,-1.96,12029,1,2
199	,1762.TW,中化生,64.1,-2.29,1262,0,2
200	,1773.TW,勝一,115.5,0.87,124,9,2
201	,1776.TW,展宇,16.45,-0.3,8,7,1
202	,1777.TW,生泰,82.6,-1.9,181,0,2
203	,1781.TW,合世,14.95,-1.97,192,5,2
204	,1783.TW,和康生,45.5,-4.51,2263,1,2
205	,1784.TW,訊聯,43.7,-0.46,233,0,2
206	,1785.TW,光洋科,32.25,0.62,398,4,2
207	,1786.TW,科妍,53.6,-1.11,609,0,2
208	,1788.TW,杏昌,144,0,12,1,2
209	,1789.TW,神隆,25.2,-0.98,1010,2,2
210	,1795.TW,美時,250.5,1.83,13203,0,2
211	,1796.TW,金穎生技,66.9,0,37,1,2
212	,1799.TW,易威,16,-0.31,4,12,2
213	,1802.TW,台玻,21.35,0.47,5303,4,1
214	,1805.TW,寶徠,10.65,0,0,7,1
215	,1806.TW,冠軍,8.85,-1.12,197,6,1
216	,1808.TW,潤隆,69.2,-0.43,226,0,2
217	,1809.TW,中釉,12.45,0.81,540,4,2
218	,1810.TW,和成,18.6,0.54,10813,13,2
219	,1813.TW,寶利徠,22.95,0.66,9,0,1
220	,1815.TW,富喬,11.7,0.43,233,1,1
221	,1817.TW,凱撒衛,37.9,0.13,15,2,2
222	,1903.TW,士紙,49.8,0,19,5,2
223	,1904.TW,正隆,27.35,0,278,7,1
224	,1905.TW,華紙,16.05,-0.62,410,3,1
