符合條件商品
資料日期：2023年  1月  3日
策略,	00周KDSAR
序號,	代碼,	商品,	成交,	漲幅%,	總量,	k15,	SAR
執行時間：2023-01-03 23:26 符合檔數(1766)
490	,2706.TW,第一店,14.1,-0.35,240,0,1
491	,2707.TW,晶華,243.5,-5.44,2298,0,2
492	,2712.TW,遠雄來,32,-0.16,9,2,2
493	,2718.TW,晶悅,33,2.17,15,0,1
494	,2719.TW,燦星旅,32.4,-3.57,25,0,2
495	,2722.TW,夏都,32.8,-1.8,107,0,2
496	,2723.TW,美食-KY,146,-3.63,3168,0,2
497	,2724.TW,富驛-KY,13.55,0,0,0,1
498	,2726.TW,雅茗-KY,22.8,-1.3,64,2,2
499	,2727.TW,王品,164.5,-2.08,1384,0,2
500	,2729.TW,瓦城,211,2.93,270,0,1
501	,2731.TW,雄獅,105.5,-0.94,1616,1,2
502	,2732.TW,六角,125.5,0,680,0,2
503	,2734.TW,易飛網,27.35,-1.97,170,3,2
504	,2736.TW,富野,21.95,-2.88,862,2,2
505	,2739.TW,寒舍,29.85,-0.5,54,0,2
506	,2740.TW,天蔥,47,-4.86,3,0,1
507	,2743.TW,山富,59.5,-1.16,991,0,2
508	,2745.TW,五福,39.85,-0.37,46,1,1
509	,2748.TW,雲品,57.1,-4.67,2278,0,2
510	,2752.TW,豆府,198,2.59,85,2,2
511	,2753.TW,八方雲集,227.5,0.22,1826,0,2
512	,2754.TW,亞洲藏壽司,141,1.08,380,0,2
513	,2755.TW,揚秦,82,-0.12,13,0,1
514	,2756.TW,聯發國際,124,0.4,69,2,2
515	,2801.TW,彰銀,17.25,0.58,2766,1,2
516	,2809.TW,京城銀,33.55,-1.03,525,3,2
517	,2812.TW,台中銀,12.8,0,3000,0,2
518	,2816.TW,旺旺保,15.8,0,23,3,2
519	,2820.TW,華票,14.5,0,172,0,1
520	,2832.TW,台產,20.5,0.24,115,0,2
521	,2834.TW,臺企銀,13,0.39,13145,0,2
522	,2836.TW,高雄銀,12.4,-0.4,209,0,2
523	,2838.TW,聯邦銀,15.95,-0.31,334,0,2
524	,2845.TW,遠東銀,11.05,0.45,1885,1,2
525	,2849.TW,安泰銀,14.55,-1.36,96,0,2
526	,2850.TW,新產,49.5,1.33,317,2,2
527	,2851.TW,中再保,16.95,-0.29,3264,17,1
528	,2852.TW,第一保,15.8,0,236,0,2
529	,2855.TW,統一證,15.65,0,278,5,2
530	,2867.TW,三商壽,5.43,-1.81,8898,7,1
531	,2880.TW,華南金,22.7,1.11,10720,0,2
532	,2881.TW,富邦金,56.4,0.18,7591,5,2
533	,2882.TW,國泰金,39.95,-0.12,39554,14,2
534	,2883.TW,開發金,12.65,0.4,14721,8,2
535	,2884.TW,玉山金,24,-0.21,10098,9,2
536	,2885.TW,元大金,21.65,-0.23,14405,5,2
537	,2886.TW,兆豐金,30.5,0.49,9815,7,1
538	,2887.TW,台新金,15.1,0,6594,9,2
539	,2888.TW,新光金,8.8,0.34,14398,7,2
540	,2889.TW,國票金,11.35,0.44,5566,6,2
541	,2890.TW,永豐金,16.6,-0.9,17105,0,2
542	,2891.TW,中信金,22.15,0.23,17424,7,2
543	,2892.TW,第一金,26.3,-0.75,17051,0,2
544	,2897.TW,王道銀行,8.35,-0.48,790,1,2
545	,2901.TW,欣欣,23.5,-0.63,7,2,2
546	,2903.TW,遠百,21.15,-1.63,1136,1,2
547	,2904.TW,匯僑,19.75,0,12,8,2
548	,2905.TW,三商,15.1,-0.33,225,6,2
549	,2906.TW,高林,18.1,-0.55,727,4,2
550	,2908.TW,特力,19.6,-0.25,49,0,1
551	,2910.TW,統領,29.75,-1.65,20,1,1
552	,2911.TW,麗嬰房,7.12,0.85,260,5,2
553	,2912.TW,統一超,270.5,-0.55,735,0,2
554	,2913.TW,農林,21.15,-0.47,581,0,1
555	,2915.TW,潤泰全,65.1,0.15,1691,15,2
556	,2916.TW,滿心,23.8,1.06,11,0,2
557	,2923.TW,鼎固-KY,20.8,-3.48,26,1,2
558	,2924.TW,東凌-KY,33.9,5.94,6,5,2
559	,2926.TW,誠品生活,59.8,-1.97,22,16,2
560	,2929.TW,淘帝-KY,16.95,-1.45,3690,3,2
561	,2937.TW,集雅社,36.4,0,0,0,2
562	,2939.TW,凱羿-KY,32.2,-2.28,63,0,1
563	,2945.TW,三商家購,43.7,-0.23,5,19,2
564	,2947.TW,振宇五金,92.1,0,0,14,1
565	,3002.TW,歐格,11.3,0.44,65,1,1
566	,3003.TW,健和興,70.9,1,190,1,1
567	,3004.TW,豐達科,70,-1.27,85,0,2
568	,3005.TW,神基,43.75,-0.91,322,9,2
569	,3006.TW,晶豪科,67.4,3.69,2376,14,2
570	,3008.TW,大立光,2075,1.72,397,3,2
571	,3010.TW,華立,83.5,-0.36,91,1,1
572	,3011.TW,今皓,17.1,-4.2,741,7,2
573	,3013.TW,晟銘電,17.6,2.03,2169,0,2
574	,3014.TW,聯陽,74.2,1.23,584,9,2
575	,3015.TW,全漢,38.2,0.39,48,0,2
576	,3016.TW,嘉晶,71.1,1.28,300,0,1
577	,3017.TW,奇鋐,112.5,0.45,1088,0,2
578	,3019.TW,亞光,61,0.83,310,0,2
579	,3021.TW,鴻名,20.15,0.75,18,0,1
580	,3022.TW,威強電,72.1,1.84,901,1,2
581	,3023.TW,信邦,274,-0.36,218,0,2
582	,3024.TW,憶聲,13.3,-0.75,273,0,1
583	,3025.TW,星通,20.45,-0.49,375,1,1
584	,3026.TW,禾伸堂,90.1,-0.99,81,5,2
585	,3027.TW,盛達,35.1,4.93,11727,3,2
586	,3028.TW,增你強,28.95,0,197,4,2
587	,3029.TW,零壹,40.1,-0.12,72,4,2
588	,3030.TW,德律,64,0.47,151,1,2
589	,3031.TW,佰鴻,15.15,1,36,1,2
590	,3032.TW,偉訓,29.85,-0.17,60,3,2
591	,3033.TW,威健,26.3,0,328,0,2
592	,3034.TW,聯詠,334.5,6.02,11770,1,2
593	,3035.TW,智原,147,3.16,12210,9,2
594	,3036.TW,文曄,61.1,0,532,4,2
595	,3037.TW,欣興,122,1.67,11471,7,1
596	,3038.TW,全台,20.35,0.25,301,0,2
597	,3040.TW,遠見,29.35,0,6,13,1
598	,3041.TW,揚智,20.6,0.49,261,3,2
599	,3042.TW,晶技,82.2,-0.6,527,0,2
600	,3043.TW,科風,26.7,-1.84,46,1,2
601	,3044.TW,健鼎,94.9,0.96,485,5,2
602	,3045.TW,台灣大,95.4,0.74,1682,8,2
603	,3046.TW,建碁,47.7,0.85,823,4,1
604	,3047.TW,訊舟,15.65,3.64,3010,0,2
605	,3048.TW,益登,26.7,-0.56,191,0,1
606	,3049.TW,和鑫,9.1,0.11,601,7,1
607	,3050.TW,鈺德,16.8,-1.47,1581,0,2
608	,3051.TW,力特,17.5,2.04,461,2,1
609	,3052.TW,夆典,10.4,0.97,71,0,2
610	,3054.TW,立萬利,19.3,-3.26,79,3,1
611	,3055.TW,蔚華科,24.4,-1.41,76,0,1
612	,3056.TW,總太,31.05,-0.64,251,1,2
613	,3057.TW,喬鼎,9.98,0,45,7,1
614	,3058.TW,立德,9.88,-0.6,153,5,1
615	,3059.TW,華晶科,33.2,0.3,582,1,2
616	,3060.TW,銘異,16.1,0,155,1,1
617	,3062.TW,建漢,23.2,1.09,999,2,2
618	,3064.TW,泰偉,13.1,6.07,1,5,2
619	,3066.TW,李洲,25.25,-3.81,313,9,1
620	,3067.TW,全域,35.65,-0.56,1,7,2
621	,3071.TW,協禧,24.7,0.41,72,0,1
622	,3073.TW,天方能源,29.5,2.25,11,0,1
623	,3078.TW,僑威,28.2,0.18,177,5,2
624	,3081.TW,聯亞,108,1.89,714,12,1
625	,3083.TW,網龍,51.4,0.78,5289,0,2
626	,3085.TW,新零售,10.7,3.88,6,0,1
627	,3086.TW,華義,83.1,-0.84,36,6,2
628	,3088.TW,艾訊,59.5,0.85,122,8,2
629	,3089.TW,億杰,67,3.08,69,0,2
630	,3090.TW,日電貿,52.9,0.57,160,0,2
631	,3092.TW,鴻碩,33.7,0.9,147,7,2
632	,3093.TW,港建*,27.2,0.93,79,6,1
633	,3094.TW,聯傑,23.95,0.63,85,0,1
634	,3095.TW,及成,36.6,0.41,2,6,2
635	,3105.TW,穩懋,143,4.76,3265,7,2
636	,3114.TW,好德,25.4,0.4,15,0,1
637	,3115.TW,富榮綱,11.2,0.45,17,0,1
638	,3118.TW,進階,27.9,0.9,6,6,2
639	,3122.TW,笙泉,25.2,0.6,154,9,1
640	,3128.TW,昇銳,42.6,2.77,2687,0,2
641	,3130.TW,一零四,205.5,0.24,8,1,2
642	,3131.TW,弘塑,228,0.44,15,4,2
643	,3138.TW,耀登,134,2.68,177,3,2
644	,3141.TW,晶宏,79.6,3.51,1965,5,1
645	,3147.TW,大綜,51.6,-0.39,52,0,1
646	,3149.TW,正達,18.45,-0.27,354,4,1
647	,3152.TW,璟德,182,-0.27,10,1,2
648	,3162.TW,精確,49.15,-0.2,2590,2,2
649	,3163.TW,波若威,51.3,3.64,1049,1,2
650	,3164.TW,景岳,23.5,-0.84,92,6,2
651	,3167.TW,大量,40.7,1.24,12,4,1
652	,3169.TW,亞信,103,4.04,381,6,2
653	,3171.TW,新洲,16.4,0.92,12,2,2
654	,3176.TW,基亞,32,-4.76,470,8,2
655	,3178.TW,公準,62.1,-1.11,38,4,2
656	,3188.TW,鑫龍騰,12.3,-1.6,142,7,2
657	,3189.TW,景碩,106,1.44,3960,5,2
658	,3191.TW,和進,6.89,-1.43,15,0,1
659	,3202.TW,樺晟,14.25,-0.7,66,1,1
660	,3205.TW,佰研,40.85,0.37,210,2,2
661	,3206.TW,志豐,29.3,-0.51,101,1,2
662	,3207.TW,耀勝,49.05,0.51,977,0,2
663	,3209.TW,全科,36.05,0.98,370,1,2
664	,3211.TW,順達,72.7,-0.41,50,8,2
665	,3213.TW,茂訊,43.7,-0.68,11,9,2
666	,3217.TW,優群,79.5,-0.63,246,4,2
667	,3218.TW,大學光,299,0.17,1322,2,2
668	,3219.TW,倚強科,46.2,0.33,25,11,2
669	,3221.TW,台嘉碩,26,-0.19,318,5,2
670	,3224.TW,三顧,40.55,-1.1,89,5,2
671	,3226.TW,至寶電,56,-1.93,2,1,2
672	,3227.TW,原相,97.5,1.14,352,7,2
673	,3228.TW,金麗科,183.5,1.66,1190,1,1
674	,3229.TW,晟鈦,19.35,-1.53,8,6,1
675	,3230.TW,錦明,12.9,0,2,3,2
676	,3231.TW,緯創,29.2,-0.68,7761,0,2
677	,3232.TW,昱捷,30.25,0.5,146,0,1
678	,3234.TW,光環,21.45,1.66,275,0,2
679	,3236.TW,千如,23.3,0.65,236,1,2
680	,3252.TW,海灣,19.75,0.25,570,6,2
681	,3257.TW,虹冠電,43,-0.46,15,14,2
682	,3259.TW,鑫創,17.7,0,6,10,2
683	,3260.TW,威剛,57.8,1.4,440,8,2
684	,3264.TW,欣銓,49.6,0,1649,0,2
685	,3265.TW,台星科,45.5,-0.22,664,0,2
686	,3266.TW,昇陽,11.75,-0.84,73,2,2
687	,3268.TW,海德威,21.95,0.46,14,1,1
688	,3272.TW,東碩,45.8,2.92,403,2,1
689	,3276.TW,宇環,12.35,2.07,34,2,2
690	,3284.TW,太普高,14.35,2.5,97,1,1
691	,3285.TW,微端,19.1,0,3,0,1
692	,3287.TW,廣寰科,13.35,0.38,109,0,2
693	,3288.TW,點晶,22.75,3.88,3,0,2
694	,3289.TW,宜特,75.3,7.26,4225,0,1
695	,3290.TW,東浦,23,1.55,1141,0,2
696	,3293.TW,鈊象,433.5,0,1984,6,1
697	,3294.TW,英濟,17,0.29,43,2,2
698	,3296.TW,勝德,16.4,1.86,787,0,2
699	,3297.TW,杭特,17.95,0.56,215,0,1
700	,3303.TW,岱稜,25.1,0.4,41,4,1
701	,3305.TW,昇貿,40,0.88,123,5,1
702	,3306.TW,鼎天,22.8,1.33,98,2,2
703	,3308.TW,聯德,14.4,-0.35,43,0,2
704	,3310.TW,佳穎,43.8,-0.11,172,0,2
705	,3311.TW,閎暉,33.65,1.66,44,2,1
706	,3312.TW,弘憶股,17.25,0,127,3,2
707	,3313.TW,斐成,9.97,0,59,3,2
708	,3317.TW,尼克森,53.7,0.37,328,1,2
709	,3321.TW,同泰,9.07,-0.33,162,10,1
710	,3322.TW,建舜電,19,2.15,317,1,2
711	,3323.TW,加百裕,33.6,1.82,111,0,2
712	,3324.TW,雙鴻,152,2.7,681,6,2
713	,3325.TW,旭品,12.55,0.4,53,4,1
714	,3332.TW,幸康,41.6,-0.24,1,5,2
715	,3338.TW,泰碩,31.5,0.64,117,5,1
716	,3339.TW,泰谷,12.65,0.4,94,6,2
717	,3346.TW,麗清,34.75,0.72,326,4,2
718	,3349.TW,寶德,13,-2.62,3,13,2
719	,3354.TW,律勝,13.55,0,454,3,1
720	,3356.TW,奇偶,39.5,1.94,1359,0,1
721	,3357.TW,臺慶科,80.4,-0.62,23,4,2
722	,3360.TW,尚立,13.35,0,22,0,2
723	,3362.TW,先進光,70.9,1.43,655,3,2
724	,3363.TW,上詮,22.85,0.66,80,2,2
725	,3372.TW,典範,11.1,0.45,134,5,2
726	,3373.TW,熱映,27.2,-3.55,323,7,2
727	,3374.TW,精材,97.8,1.56,588,0,1
728	,3376.TW,新日興,82.4,0.98,180,0,1
729	,3379.TW,彬台,11.6,-0.85,7,2,1
730	,3380.TW,明泰,28.75,1.95,751,0,1
731	,3388.TW,崇越電,74.8,1.91,106,3,2
732	,3390.TW,旭軟,18,2.27,209,3,1
733	,3402.TW,漢科,45.2,2.49,288,0,2
734	,3406.TW,玉晶光,349,4.02,1877,3,2
735	,3413.TW,京鼎,181.5,1.68,298,0,2
736	,3416.TW,融程電,83,0,15,0,1
737	,3419.TW,譁裕,18.45,0.27,603,0,2
738	,3426.TW,台興,37.8,0,0,0,2
739	,3430.TW,奇鈦科,42.75,0.71,85,32,1
740	,3432.TW,台端,18.85,2.45,214,1,2
741	,3434.TW,哲固,24.9,3.53,214,3,2
742	,3437.TW,榮創,17.05,0,132,0,2
743	,3438.TW,類比科,54.1,0,184,0,2
744	,3441.TW,聯一光,39.8,2.71,476,2,2
745	,3443.TW,創意,684,6.71,6400,0,2
746	,3444.TW,利機,62.3,-1.74,1389,0,2
747	,3450.TW,聯鈞,36.7,-0.14,99,1,1
748	,3454.TW,晶睿,206.5,4.82,13864,0,2
749	,3455.TW,由田,79.9,0,172,1,2
750	,3465.TW,進泰電子,81.2,1.37,12,11,1
751	,3466.TW,致振,32.8,1.55,1807,0,2
752	,3479.TW,安勤,85,4.42,13595,0,2
753	,3481.TW,群創,11.2,1.36,40806,3,1
754	,3483.TW,力致,52.6,0.38,214,4,2
755	,3484.TW,崧騰,43.15,0.47,76,9,1
756	,3489.TW,森寶,10.1,0,9,0,1
757	,3490.TW,單井,24.2,-0.62,206,1,2
758	,3491.TW,昇達科,136,1.12,473,3,2
759	,3492.TW,長盛,18.3,0.27,117,0,2
760	,3494.TW,誠研,10.8,3.35,825,4,2
761	,3498.TW,陽程,37.7,1.34,157,3,2
762	,3499.TW,環天科,18.45,-0.54,235,1,2
763	,3501.TW,維熹,49.3,-0.4,63,3,2
764	,3504.TW,揚明光,78.5,3.56,903,6,1
765	,3508.TW,位速,38.5,-1.16,3064,8,2
766	,3511.TW,矽瑪,33.35,1.21,154,0,1
767	,3512.TW,皇龍,28.65,0,23,3,2
768	,3515.TW,華擎,149,4.93,10907,16,2
769	,3516.TW,亞帝歐,16.4,0,20,0,1
770	,3518.TW,柏騰,19.45,-0.26,103,0,1
771	,3520.TW,華盈,18.15,-0.27,309,0,2
772	,3521.TW,鴻翊,22.1,0,344,1,1
773	,3522.TW,御頂,10.3,0.49,21,1,1
774	,3523.TW,迎輝,18.65,-0.27,31,0,2
775	,3526.TW,凡甲,117.5,2.62,86,1,1
776	,3527.TW,聚積,102.5,2.5,60,1,2
777	,3528.TW,安馳,50.4,0,34,0,2
778	,3529.TW,力旺,1395,4.49,801,0,2
779	,3530.TW,晶相光,71.9,0.56,32,2,2
780	,3531.TW,先益,26.3,0.19,13,0,1
781	,3532.TW,台勝科,140,2.94,1091,3,1
782	,3533.TW,嘉澤,824,-0.24,575,0,1
783	,3535.TW,晶彩科,21.65,3.1,536,1,1
784	,3536.TW,誠創,4,0.25,24,3,2
785	,3537.TW,堡達,34.9,0.29,19,3,2
786	,3540.TW,曜越,27.9,0.9,205,4,2
787	,3541.TW,西柏,53.5,0.94,11,0,2
788	,3543.TW,州巧,19.65,-0.76,29,0,1
789	,3545.TW,敦泰,62.6,6.83,11084,12,1
790	,3546.TW,宇峻,76.7,-0.52,246,0,2
791	,3548.TW,兆利,59.9,-1.16,150,0,2
792	,3550.TW,聯穎,14,0,7,1,2
793	,3551.TW,世禾,57.6,0.17,17,3,2
794	,3552.TW,同致,138,1.47,517,0,1
795	,3555.TW,重鵬,28.7,0,8,2,2
796	,3556.TW,禾瑞亞,55,0,77,6,2
797	,3557.TW,嘉威,49.15,-0.71,12,9,2
798	,3558.TW,神準,204.5,2.76,1490,0,2
799	,3563.TW,牧德,131.5,0.77,53,10,2
800	,3564.TW,其陽,30.5,1.84,46,0,1
801	,3567.TW,逸昌,23.8,-1.45,55,10,1
802	,3570.TW,大塚,87.1,0.11,6,0,2
803	,3576.TW,聯合再生,20.6,-0.24,4340,0,1
804	,3577.TW,泓格,88,4.14,560,0,2
805	,3580.TW,友威科,59.6,1.02,262,0,2
806	,3581.TW,博磊,21.8,-0.46,17,2,2
807	,3583.TW,辛耘,72.7,0.97,152,2,2
808	,3587.TW,閎康,155.5,2.64,1666,4,2
809	,3588.TW,通嘉,54.6,2.82,281,14,1
810	,3591.TW,艾笛森,15.55,-0.64,274,4,1
811	,3592.TW,瑞鼎,325.5,6.9,2514,9,2
812	,3593.TW,力銘,13.3,-0.37,2,0,1
813	,3594.TW,磐儀,28.2,4.25,1001,0,2
814	,3596.TW,智易,96.7,1.04,354,1,1
815	,3597.TW,映興,23.35,0.21,7,0,1
816	,3605.TW,宏致,31.7,-0.63,100,4,2
817	,3607.TW,谷崧,11.9,0.42,27,0,1
818	,3609.TW,三一東林,51.1,-1.35,48,0,2
819	,3611.TW,鼎翰,193,0.26,18,2,2
820	,3615.TW,安可,16.6,0,35,0,1
821	,3617.TW,碩天,95,1.06,228,2,2
822	,3622.TW,洋華,27.7,2.03,63,0,2
823	,3623.TW,富晶通,15.5,0.65,41,5,2
824	,3624.TW,光頡,39.6,2.06,428,9,1
825	,3625.TW,西勝,12.15,-0.41,115,9,1
826	,3628.TW,盈正,42.75,0.35,57,2,2
827	,3629.TW,地心引力,39.7,0,0,3,2
828	,3630.TW,新鉅科,28.1,0.9,101,0,2
829	,3631.TW,晟楠,40.25,-0.86,40,5,2
830	,3632.TW,研勤,9.91,-0.9,11,2,2
831	,3645.TW,達邁,32.05,0.16,120,3,2
832	,3646.TW,艾恩特,23.4,0.43,3,4,2
833	,3652.TW,精聯,22.65,0.89,37,0,1
834	,3653.TW,健策,376.5,0,786,0,1
835	,3661.TW,世芯-KY,855,8.5,6365,3,2
836	,3663.TW,鑫科,28.45,0,39,4,1
837	,3664.TW,安瑞-KY,11.8,-0.42,29,0,1
838	,3665.TW,貿聯-KY,239,1.06,512,2,1
839	,3666.TW,光耀,19.15,-1.29,107,8,2
840	,3669.TW,圓展,46.15,-0.32,129,6,1
841	,3672.TW,康聯訊,26.45,-0.94,5,1,2
842	,3673.TW,TPK-KY,29.5,0.17,412,2,1
843	,3675.TW,德微,166,3.11,366,2,1
844	,3679.TW,新至陞,92.8,1.64,37,0,2
845	,3680.TW,家登,276,4.15,2832,0,2
846	,3682.TW,亞太電,6,-1.64,1376,7,1
847	,3684.TW,榮昌,55.4,-0.36,13,0,1
848	,3685.TW,元創精密,19.75,-0.75,32,6,1
849	,3686.TW,達能,15.45,1.98,238,2,2
850	,3687.TW,歐買尬,94.5,0,1465,19,2
851	,3689.TW,湧德,31.95,0,65,3,2
852	,3691.TW,碩禾,100,0.5,147,6,2
853	,3693.TW,營邦,112,-1.75,947,0,2
854	,3694.TW,海華,19.5,0.52,70,0,2
855	,3701.TW,大眾控,37.25,0.4,202,4,1
856	,3702.TW,大聯大,47.85,-0.52,2200,2,2
857	,3703.TW,欣陸,27.75,-0.89,979,0,1
858	,3704.TW,合勤控,34.7,-0.57,7262,0,2
859	,3705.TW,永信,45.1,-1.96,3367,5,2
860	,3706.TW,神達,29.6,0.34,899,4,2
861	,3707.TW,漢磊,86.2,1.89,2440,0,2
862	,3708.TW,上緯投控,99.6,4.29,5200,3,2
863	,3709.TW,鑫聯大投控,22.85,0.44,4,10,2
864	,3710.TW,連展投控,11.25,0.9,757,1,1
865	,3711.TW,日月光投控,94.6,0.75,7290,0,2
866	,3712.TW,永崴投控,28.6,2.88,1137,0,2
867	,3713.TW,新晶投控,29.45,1.73,197,3,2
868	,3714.TW,富采,45.1,0.78,1009,4,2
869	,3715.TW,定穎投控,16.3,0.62,312,30,1
870	,4102.TW,永日,33.9,-5.96,3751,6,1
871	,4104.TW,佳醫,68,0.59,298,0,2
872	,4105.TW,東洋,83.5,0.12,807,0,2
873	,4106.TW,雃博,28.6,-2.72,1580,8,2
874	,4107.TW,邦特,111.5,0,144,0,2
875	,4108.TW,懷特,19.1,0,99,5,2
876	,4109.TW,加捷生醫,14.65,-0.34,90,0,2
877	,4111.TW,濟生,26.65,-1.66,520,1,2
878	,4113.TW,聯上,11.75,0,214,0,1
879	,4114.TW,健喬,46,-5.54,31085,0,2
880	,4116.TW,明基醫,64.8,1.25,295,3,2
881	,4119.TW,旭富,96.5,-1.03,167,0,2
882	,4120.TW,友華,35.85,-0.97,115,0,2
883	,4121.TW,優盛,24.6,0.61,4604,7,2
884	,4123.TW,晟德,46.55,-1.59,965,7,2
885	,4126.TW,太醫,74.5,-1.32,204,3,2
886	,4127.TW,天良,15.1,-2.27,268,2,2
887	,4128.TW,中天,62.1,-0.16,2425,0,2
888	,4129.TW,聯合,47.95,0.31,627,0,2
889	,4130.TW,健亞,30.1,-7.38,6660,5,2
890	,4131.TW,晶宇,20.5,0,0,0,1
891	,4133.TW,亞諾法,39.85,-3.28,2745,6,2
892	,4137.TW,麗豐-KY,199,0.25,251,6,2
893	,4138.TW,曜亞,62.8,-1.57,101,0,2
894	,4139.TW,馬光-KY,42.15,-0.35,19,7,1
895	,4142.TW,國光生,35.1,-1.4,792,3,2
896	,4147.TW,中裕,69.7,-1.41,1276,1,2
897	,4148.TW,全宇生技-KY,53.5,-0.37,64,7,1
898	,4153.TW,鈺緯,37.1,-8.51,1468,0,2
899	,4154.TW,樂威科-KY,39.05,-2.38,11,1,1
900	,4155.TW,訊映,27.35,-0.73,983,0,2
901	,4157.TW,太景*-KY,15.65,-2.49,1740,3,2
902	,4160.TW,創源,27.4,0,15,0,2
903	,4161.TW,聿新科,27.5,-2.48,255,4,2
904	,4162.TW,智擎,128,2.4,7051,1,2
905	,4163.TW,鐿鈦,104.5,-1.42,594,0,2
906	,4164.TW,承業醫,43.65,0.23,110,0,2
907	,4167.TW,松瑞藥,23.85,-3.83,15441,4,2
908	,4168.TW,醣聯,30.35,-0.33,1131,0,1
909	,4171.TW,瑞基,70.9,7.42,18621,13,2
910	,4173.TW,久裕,19,-1.81,569,1,2
911	,4174.TW,浩鼎,68.6,-0.72,537,8,2
912	,4175.TW,杏一,76.4,-2.05,112,8,2
913	,4183.TW,福永生技,18.5,0,0,5,2
914	,4188.TW,安克,16.1,0.94,33,5,2
915	,4190.TW,佐登-KY,75.3,0.27,115,0,2
916	,4192.TW,杏國,25.15,-0.98,9,13,2
917	,4198.TW,欣大健康,25.7,-3.02,3,0,2
918	,4205.TW,中華食,100.5,-0.5,11,1,2
919	,4207.TW,環泰,13.05,0.38,34,9,2
920	,4303.TW,信立,15.15,-0.98,36,5,2
921	,4304.TW,勝昱,9.59,-0.1,53,4,1
922	,4305.TW,世坤,30.35,0,2,1,2
923	,4306.TW,炎洲,14.4,0,396,0,2
924	,4401.TW,東隆興,26.55,1.34,17,5,1
925	,4402.TW,福大,11.3,4.63,1206,2,2
926	,4406.TW,新昕纖,10.1,-0.49,17,0,1
927	,4413.TW,飛寶企業,16,-1.23,7,3,1
928	,4416.TW,三圓,80.4,1.64,1,18,2
929	,4417.TW,金洲,38.8,0.78,69,1,2
930	,4419.TW,元勝,10.35,0,0,16,2
931	,4420.TW,光明,29.95,-0.66,3,0,2
932	,4426.TW,利勤,26.45,-1.67,197,5,2
933	,4430.TW,耀億,21.65,-0.69,9,0,1
934	,4432.TW,銘旺實,27.2,-1.09,180,1,2
935	,4433.TW,興采,30,-1.15,30,0,2
936	,4438.TW,廣越,121,0.83,68,3,1
937	,4439.TW,冠星-KY,100,0.2,7,10,1
938	,4440.TW,宜新實業,32,-0.31,27,9,1
939	,4502.TW,健信,37.1,-0.4,7,1,1
940	,4503.TW,金雨,39.65,-1,570,1,2
941	,4506.TW,崇友,70.4,0.43,25,0,2
942	,4510.TW,高鋒,10.15,-1.46,64,6,1
943	,4513.TW,福裕,21.9,-3.95,202,1,1
944	,4523.TW,永彰,40.2,-0.99,93,0,2
945	,4526.TW,東台,13.95,0,34,4,2
946	,4527.TW,方土霖,28.55,0,9,2,2
947	,4528.TW,江興鍛,31.9,0,4,0,1
948	,4529.TW,淳紳,8.92,-0.78,17,0,1
949	,4530.TW,宏易,6.7,-0.45,5,6,1
950	,4532.TW,瑞智,16.15,0.31,233,0,1
951	,4533.TW,協易機,10.5,0,26,3,1
952	,4534.TW,慶騰,8.98,0.34,92,3,2
953	,4535.TW,至興,38.4,0,0,0,1
954	,4536.TW,拓凱,182,-0.55,354,0,2
955	,4538.TW,大詠城,18.15,-0.27,2,0,1
956	,4540.TW,全球傳動,36.35,-0.27,12,5,2
957	,4541.TW,晟田,29.95,-0.66,834,0,2
958	,4542.TW,科嶠,25.1,0.4,0,0,2
959	,4543.TW,萬在,23.35,0,103,2,2
960	,4545.TW,銘鈺,29.55,-1.5,48,1,2
961	,4549.TW,桓達,84.6,-0.12,9,2,1
962	,4550.TW,長佳,23,0,14,0,2
963	,4551.TW,智伸科,150,0.67,229,0,1
964	,4552.TW,力達-KY,30,0.33,26,2,2
965	,4554.TW,橙的,24.1,0,2,10,1
966	,4555.TW,氣立,49.8,0.2,2,3,1
967	,4556.TW,旭然,30.6,0,0,0,1
968	,4557.TW,永新-KY,100.5,0,30,0,1
969	,4558.TW,寶緯,23.8,0.63,4,25,2
970	,4560.TW,強信-KY,38.45,-0.65,22,3,1
971	,4561.TW,健椿,21.55,-0.23,9,8,1
972	,4562.TW,穎漢,15.1,0,47,0,2
973	,4563.TW,百德,39.9,1.14,1867,0,2
974	,4564.TW,元翎,24,-1.23,241,3,1
975	,4566.TW,時碩工業,53.2,4.31,728,0,2
976	,4568.TW,科際精密,59.3,0.68,2,0,1
977	,4571.TW,鈞興-KY,70.4,0.28,7,11,2
978	,4572.TW,駐龍,121,0.83,99,1,2
979	,4576.TW,大銀微系統,70.1,1.15,9,4,2
980	,4577.TW,達航科技,30.45,-2.25,18,20,2
981	,4580.TW,捷流閥業,80.6,0,61,0,1
982	,4581.TW,光隆精密-KY,35.7,-0.14,7,0,2
983	,4583.TW,台灣精銳,184,-0.54,10,16,2
984	,4584.TW,君帆,44.6,0.34,5,36,2
985	,4609.TW,唐鋒,7.93,0,0,0,1
986	,4702.TW,中美實,12.1,-0.82,54,3,2
987	,4706.TW,大恭,16.95,0.59,8,0,2
988	,4707.TW,磐亞,11.95,0,130,3,2
989	,4711.TW,永純,14.95,-0.33,25,4,2
990	,4712.TW,南璋,4.75,3.04,13,10,1
991	,4714.TW,永捷,10.45,-0.48,89,1,2
992	,4716.TW,大立,12.45,-5.32,963,3,2
