符合條件商品
資料日期：2023年  1月  3日
策略,	05基本資料B
序號,	代碼,	商品,	成交,	漲幅%,	總量,	跌幅,	周K,	月均量,	等分坐標低檔
執行時間：2023-01-03 23:29 符合檔數(1732)
348	,2382.TW,廣達,72.1,-0.28,8341,-24.11,69.81,10714.55,低
349	,2383.TW,台光電,176.5,3.22,1491,-38.72,59.01,3127.5,中
350	,2385.TW,群光,86.1,-0.23,744,-6.62,81.67,2351.85,高
351	,2387.TW,精元,38.15,0.26,287,-14.84,48.91,492.65,中
352	,2388.TW,威盛,69.1,2.67,10481,-26.41,41.24,15875.85,中
353	,2390.TW,云辰,12.05,-0.41,756,-52.75,34.71,1047.55,低
354	,2392.TW,正崴,37.1,0.54,612,-7.83,54.93,1094.6,中
355	,2393.TW,億光,36.65,-0.81,235,-35.7,57.39,412.65,低
356	,2395.TW,研華,334,0.91,411,-15.23,81.15,590.9,中
357	,2397.TW,友通,59,0.17,19,-6.2,53.72,20.15,中
358	,2399.TW,映泰,13.7,3.01,8033,-42.68,41.61,2820.35,低
359	,2401.TW,凌陽,22.65,1.12,575,-40.63,28.14,1159.95,低
360	,2402.TW,毅嘉,17.9,-1.65,1938,-12.68,35.16,3279.1,中
361	,2404.TW,漢唐,184,0.55,405,-8.46,82,879.2,高
362	,2405.TW,輔信,11.75,1.73,570,-29.85,30.86,1182.65,低
363	,2406.TW,國碩,18.55,0.82,750,-32.18,46.33,3331.9,低
364	,2408.TW,南亞科,53,3.52,7493,-37.05,26.26,6755.8,低
365	,2409.TW,友達,15.45,3,31623,-31.33,19.73,44650.2,低
366	,2412.TW,中華電,113,0,7433,-14.72,76.02,6971.55,低
367	,2413.TW,環科,26,4.84,1117,-16.13,35.49,1853.95,中
368	,2414.TW,精技,30.3,-0.16,18,-19.52,50.84,104.95,低
369	,2415.TW,錩新,20.15,-1.23,47,-53.62,19,85.6,低
370	,2417.TW,圓剛,22.2,0,210,-39.18,50.75,602.2,低
371	,2419.TW,仲琦,24.4,1.88,820,-22.29,25.53,1643.05,中
372	,2420.TW,新巨,39.2,-0.13,61,-11.51,65.47,74.15,中
373	,2421.TW,建準,42.95,0.59,706,-13.58,42.25,2231.35,中
374	,2423.TW,固緯,27.55,0.18,132,-8.77,73.1,114,中
375	,2424.TW,隴華,21.25,1.19,54,-12.01,60.32,92.95,中
376	,2425.TW,承啟,30.8,-0.65,6459,-5.95,84.57,2323.35,高
377	,2426.TW,鼎元,16.6,0,199,-45.21,43.9,234.95,低
378	,2427.TW,三商電,12,0.42,85,-14.89,74.67,191.45,中
379	,2428.TW,興勤,124,0,311,-19.74,65.36,288.1,中
380	,2429.TW,銘旺科,10.8,-1.37,2,-40.17,60.9,9.65,低
381	,2430.TW,燦坤,43.4,-1.81,196,-9.39,65.51,110.3,高
382	,2431.TW,聯昌,9.9,-0.1,146,-22.66,17.24,122.6,低
383	,2433.TW,互盛電,48.05,-0.21,9,-9.51,75.85,12.05,中
384	,2434.TW,統懋,28.7,3.24,5,-24.97,39.69,39.05,低
385	,2436.TW,偉詮電,42,1.69,595,-57.23,29.97,814.95,低
386	,2438.TW,翔耀,14.25,2.52,71,-6.25,64.77,67.35,高
387	,2439.TW,美律,80.7,1.25,382,-14.96,26.5,882.35,中
388	,2440.TW,太空梭,12.05,-0.41,50,-30.95,25.38,70.15,低
389	,2441.TW,超豐,47.9,-0.21,658,-36.64,48.14,3939.65,低
390	,2442.TW,新美齊,13.2,-0.38,227,-8.01,55.28,586.7,高
391	,2443.TW,昶虹,2.88,2.49,77,-28,48.75,58.25,低
392	,2444.TW,兆勁,16.6,0.3,2602,-20.57,62.96,6212.2,中
393	,2449.TW,京元電子,36.6,1.1,2407,-21.46,80.22,5106.5,中
394	,2450.TW,神腦,30.8,0.33,13,-13.12,69.34,65.8,低
395	,2451.TW,創見,66,0,153,-12.93,49.42,293.95,中
396	,2453.TW,凌群,25.55,0.2,16,-16.64,65.57,90,中
397	,2454.TW,聯發科,644,3.04,4509,-44.96,44.3,5610.3,低
398	,2455.TW,全新,69.2,0.29,1345,-46.77,52.32,2097.2,低
399	,2457.TW,飛宏,39.95,1.27,1284,-19.62,56.04,7934.3,中
400	,2458.TW,義隆,87,1.16,454,-52.07,65.14,1240.3,低
401	,2459.TW,敦吉,51,-0.39,38,-13.27,45.5,44.25,中
402	,2460.TW,建通,16.55,1.85,91,-39.82,42.96,178.95,低
403	,2461.TW,光群雷,18.5,0.27,48,-29.79,48.44,188.95,低
404	,2462.TW,良得電,28.15,-1.23,272,-29.98,76.44,596.2,中
405	,2464.TW,盟立,38,0.4,96,-13.83,45.75,728.9,中
406	,2465.TW,麗臺,41.8,10,10592,-44.12,62.76,5889,中
407	,2466.TW,冠西電,32.75,-1.5,53,-16.03,33.31,57.65,低
408	,2467.TW,志聖,43.3,0.7,39,-15.1,26.35,61.4,中
409	,2468.TW,華經,25.75,0.98,670,-24.26,41.09,2362.55,中
410	,2471.TW,資通,28.05,-0.53,169,-3.77,79.5,144.1,高
411	,2472.TW,立隆電,54.2,1.12,181,-23.01,61.78,183.25,中
412	,2474.TW,可成,170.5,0.89,1194,-9.79,31.54,3949.65,中
413	,2476.TW,鉅祥,45.3,1.23,209,-26.46,40.3,709.35,低
414	,2477.TW,美隆電,19.6,0.26,18,-44.4,69.93,59.55,低
415	,2478.TW,大毅,42.85,0.94,19,-31.55,37.22,74.35,低
416	,2480.TW,敦陽科,84.6,-1.51,207,-16.65,81.95,159.6,中
417	,2481.TW,強茂,59.1,2.07,926,-48.16,42.62,3243.4,低
418	,2482.TW,連宇,24.7,3.78,992,-24,51.25,3446.6,中
419	,2483.TW,百容,24.15,0.62,53,-26.37,24.07,222,低
420	,2484.TW,希華,34.3,1.48,697,-21.33,53.25,1883.35,中
421	,2485.TW,兆赫,17.1,0.29,622,-17.19,31.18,1435.55,中
422	,2486.TW,一詮,22.1,1.84,1567,-56.92,55.17,5309.55,低
423	,2488.TW,漢平,28.9,0.35,43,-10.53,27.73,82.05,中
424	,2489.TW,瑞軒,9.93,-0.7,977,-41.59,57.65,1320.6,低
425	,2491.TW,吉祥全,11.5,1.32,210,-52.48,16.81,127.95,低
426	,2492.TW,華新科,79.2,0.25,552,-51.11,34.37,1474.85,低
427	,2493.TW,揚博,43.3,0.12,87,-4.84,83.72,100.25,中
428	,2495.TW,普安,18.95,-1.04,1605,-21.37,47.36,5781.95,中
429	,2496.TW,卓越,47.55,0,7,-5.47,85.63,20.15,中
430	,2497.TW,怡利電,72,2.56,883,-38.72,38.43,3835.8,低
431	,2498.TW,宏達電,58.1,4.31,25895,-18.17,57.79,20817.35,中
432	,2501.TW,國建,15.4,0.98,386,-20,47.73,821.45,低
433	,2504.TW,國產,25.15,-0.4,886,-23.21,75.4,1525.8,中
434	,2505.TW,國揚,17.8,-0.84,125,-27.2,26.13,136,低
435	,2506.TW,太設,9.12,0.55,352,-13.96,38.13,247.9,低
436	,2509.TW,全坤建,14.7,0,30,-19.45,55.28,30.15,低
437	,2511.TW,太子,10.5,0,389,-26.83,35.85,457.15,低
438	,2514.TW,龍邦,16.75,-0.3,158,-15.83,24.55,311.2,低
439	,2515.TW,中工,8.11,-0.37,1234,-23.49,45.29,2078.7,低
440	,2516.TW,新建,5,0,46,-19.35,55.14,132.4,低
441	,2520.TW,冠德,29.65,1.54,1425,-24.36,89.68,869,中
442	,2524.TW,京城,31.85,-0.93,9,-18.33,22.72,20.15,低
443	,2527.TW,宏璟,20.75,0.24,138,-35.36,40.6,87.25,低
444	,2528.TW,皇普,15.95,-0.31,41,-25.99,31.38,173.4,低
445	,2530.TW,華建,17.2,-0.29,387,-15.48,15.62,570.05,中
446	,2534.TW,宏盛,22.7,0.22,790,-13.03,27.84,1747.7,低
447	,2535.TW,達欣工,29.95,-0.66,288,-17.04,47.88,247.6,低
448	,2536.TW,宏普,22.5,0,91,-6.25,38.34,122.15,中
449	,2537.TW,聯上發,7.05,-0.84,389,-39.22,45.76,502.3,低
450	,2538.TW,基泰,12.8,1.19,502,-13.8,78.55,418.35,中
451	,2539.TW,櫻花建,31.85,-0.16,419,-10.91,50.56,226.2,低
452	,2540.TW,愛山林,71.3,-2.06,97,-54.44,14.25,276.25,低
453	,2542.TW,興富發,40.35,0.12,2197,-20.73,37.18,10560.15,低
454	,2543.TW,皇昌,9.12,-0.11,30,-21.72,56.13,137.8,中
455	,2545.TW,皇翔,40.15,-0.74,122,-34.72,33.42,165.5,低
456	,2546.TW,根基,52.1,1.17,174,-13.17,89.08,86.05,中
457	,2547.TW,日勝生,9.05,-0.88,313,-21.65,28.26,804.2,低
458	,2548.TW,華固,88.3,-0.79,234,-7.92,65.05,258.1,低
459	,2596.TW,綠意,17.55,-0.28,49,-22.86,72.79,39.85,低
460	,2597.TW,潤弘,127,1.2,103,-18.59,94.28,171.2,中
461	,2601.TW,益航,8.65,-1.03,1776,-33.97,54.39,2449.9,低
462	,2603.TW,長榮,160,-1.84,23687,-13.98,72.37,29733.45,高
463	,2605.TW,新興,19.65,-1.75,2650,-40.99,55.9,4918.3,低
464	,2606.TW,裕民,47.5,-2.26,5980,-33.29,79.65,12461.7,中
465	,2607.TW,榮運,27.65,-0.54,1535,-37.09,48.59,3948.7,低
466	,2608.TW,嘉里大榮,37.6,-0.53,103,-29.06,56.73,367.75,低
467	,2609.TW,陽明,64.6,-1.37,34641,-53.02,63.92,55574.3,低
468	,2610.TW,華航,18.9,-0.53,27118,-40.85,64.86,60575.15,低
469	,2611.TW,志信,13.4,-0.74,326,-50.37,50.12,1536.65,低
470	,2612.TW,中航,39.8,-4.21,2294,-32.88,71.13,3213.95,低
471	,2613.TW,中櫃,21.95,-3.09,630,-49.25,42.67,1049.6,低
472	,2614.TW,東森,22.85,-2.14,2798,-38.41,68.2,10670.85,低
473	,2615.TW,萬海,79.2,-1.12,21641,-61.37,69.34,29386.85,低
474	,2616.TW,山隆,31.7,-0.63,179,-21.73,10,93.3,低
475	,2617.TW,台航,26.7,-0.74,805,-33.25,69.45,1844.5,低
476	,2618.TW,長榮航,28.15,0,36342,-25.13,72.6,43346.8,中
477	,2630.TW,亞航,16.7,0,21,-19.71,58.9,46,低
478	,2633.TW,台灣高鐵,28.8,0.17,2186,-3.03,68.3,3944.25,高
479	,2634.TW,漢翔,35.4,-0.98,11102,-10.38,61.26,14088.85,中
480	,2636.TW,台驊投控,76.3,0.39,1452,-52.61,74.1,2210.65,低
481	,2637.TW,慧洋-KY,62.6,1.95,5413,-42.57,70.44,15391.1,低
482	,2640.TW,大車隊,89.5,0.11,29,-2.93,77.33,53.4,高
483	,2641.TW,正德,18.55,-0.8,1241,-38.06,69.12,6367.55,低
484	,2642.TW,宅配通,49.45,-1.3,196,-48.54,67.59,787.5,低
485	,2643.TW,捷迅,68.5,0.74,31,-15.43,26.48,47.95,低
486	,2701.TW,萬企,12.1,-0.82,27,-3.59,54,94.9,中
487	,2702.TW,華園,22.5,-0.66,297,-32.84,53.74,604.2,低
488	,2704.TW,國賓,31.85,-2.3,106,-8.74,66.46,125.55,中
489	,2705.TW,六福,16.55,-0.9,137,-17.04,46.02,325.45,低
490	,2706.TW,第一店,14.1,-0.35,240,-9.62,34.51,167.55,中
491	,2707.TW,晶華,243.5,-5.44,2298,-12.41,77.57,1797.55,高
492	,2712.TW,遠雄來,32,-0.16,9,-20.79,14.97,17.85,低
493	,2718.TW,晶悅,33,2.17,15,-9.59,24.85,2.4,中
494	,2719.TW,燦星旅,32.4,-3.57,25,-20.98,67.3,43.5,高
495	,2722.TW,夏都,32.8,-1.8,107,-15.68,43.2,121.55,中
496	,2723.TW,美食-KY,146,-3.63,3168,-7.01,83.12,2433.45,高
497	,2724.TW,富驛-KY,13.55,0,0,-19.1,60.35,0.45,低
498	,2726.TW,雅茗-KY,22.8,-1.3,64,-33.91,62.5,159.8,中
499	,2727.TW,王品,164.5,-2.08,1384,-3.24,86.86,986.95,高
500	,2729.TW,瓦城,211,2.93,270,-11.72,65.42,113.35,中
501	,2731.TW,雄獅,105.5,-0.94,1616,-14.23,58.88,5364.05,中
502	,2732.TW,六角,125.5,0,680,-9.06,67.06,1015.65,高
503	,2734.TW,易飛網,27.35,-1.97,170,-34.88,54.93,286.85,低
504	,2736.TW,富野,21.95,-2.88,862,-26.59,58.67,1573.95,中
505	,2739.TW,寒舍,29.85,-0.5,54,-7.59,57.63,104.45,高
506	,2740.TW,天蔥,47,-4.86,3,-14.39,30.6,3,高
507	,2743.TW,山富,59.5,-1.16,991,-26.54,62.63,3016.95,中
508	,2745.TW,五福,39.85,-0.37,46,-33.8,63.77,188.95,中
509	,2748.TW,雲品,57.1,-4.67,2278,-12.02,71.63,2485.1,高
510	,2752.TW,豆府,198,2.59,85,-0.75,64.55,28.15,高
511	,2753.TW,八方雲集,227.5,0.22,1826,-1.3,79.86,1156,高
512	,2754.TW,亞洲藏壽司,141,1.08,380,-12.96,62.68,1042.05,高
513	,2755.TW,揚秦,82,-0.12,13,-7.87,76.6,17.15,高
514	,2756.TW,聯發國際,124,0.4,69,-5.7,73.46,73.05,高
515	,2801.TW,彰銀,17.25,0.58,2766,-13.53,74.14,5082.2,低
516	,2809.TW,京城銀,33.55,-1.03,525,-18.37,53.85,6070.4,中
517	,2812.TW,台中銀,12.8,0,3000,-20.99,55.33,3923.75,低
518	,2816.TW,旺旺保,15.8,0,23,-22.93,82.77,37.55,低
519	,2820.TW,華票,14.5,0,172,-18.99,37.84,388.85,低
520	,2832.TW,台產,20.5,0.24,115,-2.84,83.62,103.8,高
521	,2834.TW,臺企銀,13,0.39,13145,-10.03,87.64,20250.35,中
522	,2836.TW,高雄銀,12.4,-0.4,209,-24.16,31.97,266.05,低
523	,2838.TW,聯邦銀,15.95,-0.31,334,-11.14,58.96,746.05,中
524	,2845.TW,遠東銀,11.05,0.45,1885,-15.97,69.5,3356.75,低
525	,2849.TW,安泰銀,14.55,-1.36,96,-11.55,44.41,56.2,低
526	,2850.TW,新產,49.5,1.33,317,-15.24,82.58,223.55,中
527	,2851.TW,中再保,16.95,-0.29,3264,-46.95,27.89,4140.6,低
528	,2852.TW,第一保,15.8,0,236,-7.6,88.5,213.6,中
529	,2855.TW,統一證,15.65,0,278,-32.83,50.86,578.35,低
530	,2867.TW,三商壽,5.43,-1.81,8898,-42.66,31.76,14291.95,低
531	,2880.TW,華南金,22.7,1.11,10720,-11.67,81.68,8341.55,中
532	,2881.TW,富邦金,56.4,0.18,7591,-28.34,56.34,12801.55,低
533	,2882.TW,國泰金,39.95,-0.12,39554,-39.19,40,28879,低
534	,2883.TW,開發金,12.65,0.4,14721,-37.06,50.55,22254,低
535	,2884.TW,玉山金,24,-0.21,10098,-32.77,56.26,16140.75,低
536	,2885.TW,元大金,21.65,-0.23,14405,-20.55,69.57,24409.95,中
537	,2886.TW,兆豐金,30.5,0.49,9815,-32.82,47.1,13127.1,低
538	,2887.TW,台新金,15.1,0,6594,-28.77,88.86,12520.9,低
539	,2888.TW,新光金,8.8,0.34,14398,-26.67,79.22,21424.35,低
540	,2889.TW,國票金,11.35,0.44,5566,-34.58,42.24,8921.1,低
541	,2890.TW,永豐金,16.6,-0.9,17105,-14.21,43.71,36035.55,中
542	,2891.TW,中信金,22.15,0.23,17424,-28.43,60.81,39757.35,低
543	,2892.TW,第一金,26.3,-0.75,17051,-12.33,86.08,12263.55,中
544	,2897.TW,王道銀行,8.35,-0.48,790,-26.11,59.92,1323.2,低
545	,2901.TW,欣欣,23.5,-0.63,7,-8.2,53.66,31.65,低
546	,2903.TW,遠百,21.15,-1.63,1136,-3.86,85.52,1931.15,高
547	,2904.TW,匯僑,19.75,0,12,-21,81.86,17.2,中
548	,2905.TW,三商,15.1,-0.33,225,-32.59,48.99,268,低
549	,2906.TW,高林,18.1,-0.55,727,-39.36,54.54,1768.65,低
550	,2908.TW,特力,19.6,-0.25,49,-13.85,15.15,80.15,低
551	,2910.TW,統領,29.75,-1.65,20,-15,19.55,23.25,低
552	,2911.TW,麗嬰房,7.12,0.85,260,-16.43,38.72,968.25,中
553	,2912.TW,統一超,270.5,-0.55,735,-9.53,65.04,1000.45,低
554	,2913.TW,農林,21.15,-0.47,581,-13.67,29.23,1514.8,中
555	,2915.TW,潤泰全,65.1,0.15,1691,-47.5,63.94,8529.55,低
556	,2916.TW,滿心,23.8,1.06,11,-6.67,75.7,30.15,高
557	,2923.TW,鼎固-KY,20.8,-3.48,26,-28.28,30.8,16.1,低
558	,2924.TW,東凌-KY,33.9,5.94,6,-26.78,55.59,6.85,高
559	,2926.TW,誠品生活,59.8,-1.97,22,-11.54,87.08,32.85,高
560	,2929.TW,淘帝-KY,16.95,-1.45,3690,-9.6,80.26,9059.5,高
561	,2937.TW,集雅社,36.4,0,0,-13.33,41.35,11.3,低
562	,2939.TW,凱羿-KY,32.2,-2.28,63,-25.12,25.61,278.4,中
563	,2945.TW,三商家購,43.7,-0.23,5,-36.3,69.72,16.6,低
564	,2947.TW,振宇五金,92.1,0,0,-39.8,25.85,2.3,低
565	,3002.TW,歐格,11.3,0.44,65,-21.53,27.18,107.8,低
566	,3003.TW,健和興,70.9,1,190,-23.02,41.5,284.55,低
567	,3004.TW,豐達科,70,-1.27,85,-11.17,70.83,198.95,高
568	,3005.TW,神基,43.75,-0.91,322,-27.08,78.93,945.95,中
569	,3006.TW,晶豪科,67.4,3.69,2376,-62.97,33.74,2546.35,低
570	,3008.TW,大立光,2075,1.72,397,-11.7,55.24,500.95,中
571	,3010.TW,華立,83.5,-0.36,91,-27.71,54.85,151.15,低
572	,3011.TW,今皓,17.1,-4.2,741,-29.63,68.5,919.5,中
573	,3013.TW,晟銘電,17.6,2.03,2169,-21.6,58.8,8575.75,中
574	,3014.TW,聯陽,74.2,1.23,584,-38.42,79.83,842.55,低
575	,3015.TW,全漢,38.2,0.39,48,-15.77,62.08,66.7,中
576	,3016.TW,嘉晶,71.1,1.28,300,-45.73,28.93,607.95,低
577	,3017.TW,奇鋐,112.5,0.45,1088,-12.45,49.5,5996.9,高
578	,3019.TW,亞光,61,0.83,310,-33.11,39.69,506.15,低
579	,3021.TW,鴻名,20.15,0.75,18,-22.2,17.4,140,低
580	,3022.TW,威強電,72.1,1.84,901,-12.5,68.17,2847.6,高
581	,3023.TW,信邦,274,-0.36,218,-6.8,63.57,356,高
582	,3024.TW,憶聲,13.3,-0.75,273,-8.9,59.19,679.85,中
583	,3025.TW,星通,20.45,-0.49,375,-26.57,15.44,1080,中
584	,3026.TW,禾伸堂,90.1,-0.99,81,-25.84,64.86,156.3,低
585	,3027.TW,盛達,35.1,4.93,11727,-13.33,71.45,14109.95,高
586	,3028.TW,增你強,28.95,0,197,-29.3,91.38,183.3,低
587	,3029.TW,零壹,40.1,-0.12,72,-19.72,70.35,145.65,中
588	,3030.TW,德律,64,0.47,151,-13.4,55.58,333.8,中
589	,3031.TW,佰鴻,15.15,1,36,-36.48,41.44,103.75,低
590	,3032.TW,偉訓,29.85,-0.17,60,-8.15,80.87,53.1,中
591	,3033.TW,威健,26.3,0,328,-24.32,49.74,646.35,低
592	,3034.TW,聯詠,334.5,6.02,11770,-31.1,87.95,7237.5,中
593	,3035.TW,智原,147,3.16,12210,-55.66,35.69,11296.9,低
594	,3036.TW,文曄,61.1,0,532,-39.5,65.47,2071.55,低
595	,3037.TW,欣興,122,1.67,11471,-53.26,26.12,28992.05,低
596	,3038.TW,全台,20.35,0.25,301,-12.47,38.86,1042.75,中
597	,3040.TW,遠見,29.35,0,6,-22.76,55.46,10.45,低
598	,3041.TW,揚智,20.6,0.49,261,-48.44,63.06,692.8,低
599	,3042.TW,晶技,82.2,-0.6,527,-21.34,64.92,947.2,中
600	,3043.TW,科風,26.7,-1.84,46,-23.71,58.53,438,高
601	,3044.TW,健鼎,94.9,0.96,485,-29.7,63.9,1709.85,低
602	,3045.TW,台灣大,95.4,0.74,1682,-13.67,75.96,2211.2,低
603	,3046.TW,建碁,47.7,0.85,823,-25.7,24.63,2015.05,中
604	,3047.TW,訊舟,15.65,3.64,3010,-20.36,29.15,4259.95,中
605	,3048.TW,益登,26.7,-0.56,191,-31.45,15.51,308.65,低
606	,3049.TW,和鑫,9.1,0.11,601,-39.93,16.14,1227.5,低
607	,3050.TW,鈺德,16.8,-1.47,1581,-15.15,59.28,1986.3,中
608	,3051.TW,力特,17.5,2.04,461,-41.08,29.85,750.25,低
609	,3052.TW,夆典,10.4,0.97,71,-3.7,77.79,120.55,高
610	,3054.TW,立萬利,19.3,-3.26,79,-22.95,38.75,31.65,低
611	,3055.TW,蔚華科,24.4,-1.41,76,-22.17,19.26,54.05,低
612	,3056.TW,總太,31.05,-0.64,251,-21.89,44.43,496,中
613	,3057.TW,喬鼎,9.98,0,45,-29.22,22.66,136,低
614	,3058.TW,立德,9.88,-0.6,153,-35.42,58.08,154.4,低
615	,3059.TW,華晶科,33.2,0.3,582,-35.53,31.15,1459.6,低
616	,3060.TW,銘異,16.1,0,155,-34.69,24.77,185.8,低
617	,3062.TW,建漢,23.2,1.09,999,-27.5,33.19,4715.75,低
618	,3064.TW,泰偉,13.1,6.07,1,-15.21,82.04,4.9,中
619	,3066.TW,李洲,25.25,-3.81,313,-47.61,64.15,123.45,低
620	,3067.TW,全域,35.65,-0.56,1,-17.09,53.82,3.7,中
621	,3071.TW,協禧,24.7,0.41,72,-17.39,35.58,106.45,中
622	,3073.TW,天方能源,29.5,2.25,11,-4.53,72.72,5.75,高
623	,3078.TW,僑威,28.2,0.18,177,-29.59,71.86,343.45,低
624	,3081.TW,聯亞,108,1.89,714,-46.4,45.88,2877.7,低
625	,3083.TW,網龍,51.4,0.78,5289,-7.72,80.92,1601.4,高
626	,3085.TW,新零售,10.7,3.88,6,-24.91,78.79,10.6,中
627	,3086.TW,華義,83.1,-0.84,36,-48.39,64.33,140.45,低
628	,3088.TW,艾訊,59.5,0.85,122,-17.36,78.07,241.95,中
629	,3089.TW,億杰,67,3.08,69,-8.59,83.26,202.4,高
630	,3090.TW,日電貿,52.9,0.57,160,-4.51,74.01,506.25,高
631	,3092.TW,鴻碩,33.7,0.9,147,-54.77,23.2,393.3,低
632	,3093.TW,港建*,27.2,0.93,79,-83.21,15.08,315.05,低
633	,3094.TW,聯傑,23.95,0.63,85,-37.47,26.82,117.85,低
634	,3095.TW,及成,36.6,0.41,2,-10.73,80.31,13.1,高
635	,3105.TW,穩懋,143,4.76,3265,-57.5,49.82,2721.5,低
636	,3114.TW,好德,25.4,0.4,15,-17.93,44.58,92.1,低
637	,3115.TW,富榮綱,11.2,0.45,17,-21.13,53.74,4.25,低
638	,3118.TW,進階,27.9,0.9,6,-19.71,72.76,27.25,低
639	,3122.TW,笙泉,25.2,0.6,154,-64.9,30.07,226.4,低
640	,3128.TW,昇銳,42.6,2.77,2687,-25.39,56.67,5617.95,中
641	,3130.TW,一零四,205.5,0.24,8,-4.86,66.5,9.85,高
642	,3131.TW,弘塑,228,0.44,15,-34.95,64.51,65.75,中
643	,3138.TW,耀登,134,2.68,177,-33.33,31.67,896.7,低
644	,3141.TW,晶宏,79.6,3.51,1965,-62.36,27.06,1494.8,低
645	,3147.TW,大綜,51.6,-0.39,52,-16.23,39.27,182.35,中
646	,3149.TW,正達,18.45,-0.27,354,-34.81,15.56,730.95,低
647	,3152.TW,璟德,182,-0.27,10,-41.2,54.54,64.85,低
648	,3162.TW,精確,49.15,-0.2,2590,-10.64,65.19,5447.95,高
649	,3163.TW,波若威,51.3,3.64,1049,-25.54,41.19,1523.15,中
650	,3164.TW,景岳,23.5,-0.84,92,-24.32,45.59,675.35,低
651	,3167.TW,大量,40.7,1.24,12,-47.69,26.11,40.7,低
652	,3169.TW,亞信,103,4.04,381,-56.08,40.4,555.2,低
653	,3171.TW,新洲,16.4,0.92,12,-24.77,78.75,13.15,低
654	,3176.TW,基亞,32,-4.76,470,-47.45,34.61,462.2,低
655	,3178.TW,公準,62.1,-1.11,38,-17.86,56.07,99.75,中
656	,3188.TW,鑫龍騰,12.3,-1.6,142,-28.7,59.09,241.3,低
657	,3189.TW,景碩,106,1.44,3960,-55.65,26.03,12415.55,低
658	,3191.TW,和進,6.89,-1.43,15,-41.86,18.49,82.5,低
659	,3202.TW,樺晟,14.25,-0.7,66,-29.8,44.02,223.25,低
660	,3205.TW,佰研,40.85,0.37,210,-48.42,33.91,899.25,中
661	,3206.TW,志豐,29.3,-0.51,101,-5.18,57.43,147.3,高
662	,3207.TW,耀勝,49.05,0.51,977,-13.49,40.2,3462.4,高
663	,3209.TW,全科,36.05,0.98,370,-15.97,88.4,485.15,中
664	,3211.TW,順達,72.7,-0.41,50,-40.65,55.81,102.3,低
665	,3213.TW,茂訊,43.7,-0.68,11,-30.63,64.6,22.8,低
666	,3217.TW,優群,79.5,-0.63,246,-36.4,62.43,245.05,中
667	,3218.TW,大學光,299,0.17,1322,-18.08,78.13,657.6,中
668	,3219.TW,倚強科,46.2,0.33,25,-67,25.39,72.35,低
669	,3221.TW,台嘉碩,26,-0.19,318,-39.53,49.25,492.85,低
670	,3224.TW,三顧,40.55,-1.1,89,-34.49,39.55,295.75,低
671	,3226.TW,至寶電,56,-1.93,2,-14.37,59.34,1.15,低
672	,3227.TW,原相,97.5,1.14,352,-33.22,67.27,419.55,低
673	,3228.TW,金麗科,183.5,1.66,1190,-60.11,51.55,1999.35,低
674	,3229.TW,晟鈦,19.35,-1.53,8,-35.39,17.73,65.9,低
675	,3230.TW,錦明,12.9,0,2,-33.85,20.93,167.9,低
676	,3231.TW,緯創,29.2,-0.68,7761,-5.96,79.18,17000.35,高
677	,3232.TW,昱捷,30.25,0.5,146,-22.34,32.65,435.45,中
678	,3234.TW,光環,21.45,1.66,275,-29.9,29.56,435.05,低
679	,3236.TW,千如,23.3,0.65,236,-15.58,39.07,2053.1,中
680	,3252.TW,海灣,19.75,0.25,570,-27.66,60.02,779.6,中
681	,3257.TW,虹冠電,43,-0.46,15,-46.12,72.27,42.15,低
682	,3259.TW,鑫創,17.7,0,6,-36.33,65.66,25.2,低
683	,3260.TW,威剛,57.8,1.4,440,-43.61,39.29,1027.75,低
684	,3264.TW,欣銓,49.6,0,1649,-7.64,76.67,2044.2,高
685	,3265.TW,台星科,45.5,-0.22,664,-20.73,47.74,1197.85,中
686	,3266.TW,昇陽,11.75,-0.84,73,-31.29,70.27,52.1,低
687	,3268.TW,海德威,21.95,0.46,14,-25.59,40.05,72.25,低
688	,3272.TW,東碩,45.8,2.92,403,-21.44,34.73,1222.8,中
689	,3276.TW,宇環,12.35,2.07,34,-37.31,66.71,73.45,低
690	,3284.TW,太普高,14.35,2.5,97,-22.01,41.58,45.6,中
691	,3285.TW,微端,19.1,0,3,-20.91,62.45,25.25,低
692	,3287.TW,廣寰科,13.35,0.38,109,-24.15,34.94,422.4,中
693	,3288.TW,點晶,22.75,3.88,3,-13.5,43.38,8.8,高
694	,3289.TW,宜特,75.3,7.26,4225,-19.89,33.23,8330.3,中
695	,3290.TW,東浦,23,1.55,1141,-9.45,55.7,687.45,高
696	,3293.TW,鈊象,433.5,0,1984,-47.13,86.6,2073.45,低
697	,3294.TW,英濟,17,0.29,43,-35.73,32.83,255.1,低
698	,3296.TW,勝德,16.4,1.86,787,-15.25,25.63,378.75,中
699	,3297.TW,杭特,17.95,0.56,215,-28.2,36.65,579.85,中
700	,3303.TW,岱稜,25.1,0.4,41,-28.18,40.08,120.45,低
701	,3305.TW,昇貿,40,0.88,123,-52.04,42.84,423.25,低
702	,3306.TW,鼎天,22.8,1.33,98,-24.75,33.61,117.05,低
703	,3308.TW,聯德,14.4,-0.35,43,-23.2,73.9,77.1,中
704	,3310.TW,佳穎,43.8,-0.11,172,-5.4,74.82,65.6,高
705	,3311.TW,閎暉,33.65,1.66,44,-11.8,74.39,23.15,中
