符合條件商品
資料日期：2023年  1月  3日
策略,	05基本資料B
序號,	代碼,	商品,	成交,	漲幅%,	總量,	跌幅,	周K,	月均量,	等分坐標低檔
執行時間：2023-01-03 23:29 符合檔數(1732)
80	,1445.TW,大宇,16.15,-0.92,49,-7.45,67.75,64.75,中
81	,1446.TW,宏和,31.35,2.12,153,-17.06,45.38,64.6,中
82	,1447.TW,力鵬,7.62,-0.65,875,-24.55,15.43,709.95,低
83	,1449.TW,佳和,16.25,0.31,156,-10.22,66.48,506.85,高
84	,1451.TW,年興,21,0.24,223,-24.32,23,331.7,低
85	,1452.TW,宏益,17.45,-0.57,54,-30.2,50.94,80.65,低
86	,1453.TW,大將,14.85,0.68,199,-60.35,28.86,304.8,低
87	,1454.TW,台富,13.25,0,117,-29.52,51.06,74.75,低
88	,1455.TW,集盛,10.4,0.48,870,-40.06,48.24,536.7,低
89	,1456.TW,怡華,15.35,0,46,-31.47,21.28,46.4,低
90	,1457.TW,宜進,18.65,-0.27,98,-7.21,54.97,234.85,中
91	,1459.TW,聯發,8.2,-0.49,20,-33.87,34.96,52,低
92	,1460.TW,宏遠,7.05,-0.56,413,-25.08,10.28,412.55,低
93	,1463.TW,強盛,14.25,-0.35,99,-2.73,62.4,81.15,高
94	,1464.TW,得力,14.05,0,161,-14.33,34.24,189.1,中
95	,1465.TW,偉全,13.95,0.72,5,-4.78,51.17,74.8,高
96	,1466.TW,聚隆,11.95,-1.24,68,-21.64,65.75,96.35,中
97	,1467.TW,南緯,11.15,0.45,6227,-26.64,22.95,2995.55,低
98	,1468.TW,昶和,13.45,0,31,-1.47,82.5,45.85,高
99	,1470.TW,大統新創,18.45,1.37,42,-40.87,25.28,25.35,低
100	,1471.TW,首利,7.66,0.13,128,-31.61,42.45,264.55,低
101	,1472.TW,三洋實業,22.45,0.22,8,-26.87,81.45,7.55,中
102	,1473.TW,台南,21.2,1.44,115,-9.01,79.56,139.4,中
103	,1474.TW,弘裕,12,0.42,39,-25.47,63.64,120.05,低
104	,1475.TW,業旺,64,0.47,58,-22.89,67.17,145.8,中
105	,1476.TW,儒鴻,483.5,-2.42,709,-20.74,82,818.15,高
106	,1477.TW,聚陽,225.5,-3.22,2767,-9.8,65,1325.6,高
107	,1503.TW,士電,61,0.83,265,-8.55,78.45,165.05,中
108	,1504.TW,東元,27.35,-0.73,2031,-19.79,24.68,2332.95,低
109	,1506.TW,正道,17.35,0.87,190,-18.93,70.31,329.05,中
110	,1512.TW,瑞利,4.7,-2.08,199,-19.24,57.7,748.8,中
111	,1513.TW,中興電,72.1,7.29,57810,-2.3,85.49,25280.55,高
112	,1514.TW,亞力,30.5,3.92,8738,-20.16,62.4,2550.5,中
113	,1515.TW,力山,29.9,0,277,-37.45,42.57,635,低
114	,1516.TW,川飛,19.8,-0.5,32,-41.42,11.34,188,低
115	,1517.TW,利奇,20.6,2.23,775,-23.42,20.04,788.6,低
116	,1519.TW,華城,52.4,8.49,25523,-1.32,83.85,8847.9,高
117	,1521.TW,大億,34.45,-1.29,20,-22.15,39.53,16.8,低
118	,1522.TW,堤維西,27.95,0.36,2732,-18.16,48.13,3786.8,中
119	,1524.TW,耿鼎,24.7,-0.6,3484,-18.75,47.2,5543.05,高
120	,1525.TW,江申,56.8,-0.35,31,-14.33,47.02,20.05,中
121	,1526.TW,日馳,40.85,0.74,133,-33.03,12.66,368.2,低
122	,1527.TW,鑽全,40.9,-0.12,133,-14.79,57.89,150.05,低
123	,1528.TW,恩德,10.05,-0.99,334,-12.61,67.23,608.45,中
124	,1529.TW,樂事綠能,21.3,5.45,9701,-40,70.84,4154.85,中
125	,1530.TW,亞崴,31,0,14,-8.55,43.97,27,中
126	,1531.TW,高林股,13.9,-0.71,18,-11.18,74.43,69.85,中
127	,1532.TW,勤美,28.8,0.35,183,-21.85,49.78,219.9,低
128	,1533.TW,車王電,49,0.31,64,-36.45,33.64,230.4,低
129	,1535.TW,中宇,42.85,0,64,-10.36,67.23,68.35,中
130	,1536.TW,和大,67,0,3200,-31.98,13.34,1643.15,低
