符合條件商品
資料日期：2022年 10月 28日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/28),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:16 符合檔數(13)
1	,1560.TW,中砂,109.5,-1.35,2814,98.8,10.83,17,投連賣
2	,6515.TW,穎崴,404,-1.46,559,303.5,33.11,14,投連賣
3	,3406.TW,玉晶光,364,-0.68,820,284,28.17,13,投連賣
4	,5439.TW,高技,46.85,0,102,39.3,19.21,12,投連賣
5	,6491.TW,晶碩,404.5,-1.94,432,276,46.56,10,投連賣
6	,3567.TW,逸昌,24.95,0.4,68,23.55,5.94,9,投連賣
7	,1513.TW,中興電,66,0.15,12515,49.05,34.56,8,投連賣
8	,3131.TW,弘塑,225,-0.88,34,175.5,28.21,7,投連賣
9	,3596.TW,智易,98.3,-0.2,490,86.9,13.12,6,投連賣
10	,5269.TW,祥碩,717,0.14,564,588,21.94,5,投連賣
11	,6279.TW,胡連,149.5,-1.64,1303,140.5,6.41,5,投連賣
12	,6679.TW,鈺太,229,0.44,465,179.5,27.58,5,投連賣
13	,8150.TW,南茂,32.9,1.23,1428,31.4,4.78,5,投連賣
