符合條件商品
資料日期：2022年  4月 28日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(04/28),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:40 符合檔數(20)
1	,8299.TW,群聯,305,-0.81,792,384,-14.22,17,投連賣
2	,1531.TW,高林股,13.95,-0.36,46,14.75,-0.85,14,投連賣
3	,1817.TW,凱撒衛,37.9,0.4,40,35.05,14.71,14,投連賣
4	,2236.TW,百達-KY,23.6,0.43,223,26.35,2.21,14,投連賣
5	,8433.TW,弘帆,62.4,0.32,14,42.8,52.64,14,投連賣
6	,5284.TW,jpp-KY,68.8,-2.41,2843,43.95,64.71,13,投連賣
7	,5439.TW,高技,46.85,0,102,49.45,3.38,13,投連賣
8	,6488.TW,環球晶,435.5,-2.57,2065,516,-14.02,13,投連賣
9	,8255.TW,朋程,177,5.04,12777,162.5,12.12,10,投連賣
10	,2027.TW,大成鋼,43.15,-1.93,15303,44.4,3.3,8,投連賣
11	,3324.TW,雙鴻,151,-0.66,649,163,-3.94,8,投連賣
12	,2002.TW,中鋼,30.7,0.16,37216,36.05,-5.48,7,投連賣
13	,2409.TW,友達,15.4,0.65,36394,17.1,-10.67,7,投連賣
14	,3443.TW,創意,726,-0.55,5389,383,91.93,7,投連賣
15	,3529.TW,力旺,1350,1.12,770,1205,13.4,7,投連賣
16	,5269.TW,祥碩,717,0.14,564,1400,-47.36,7,投連賣
17	,6271.TW,同欣電,201,-4.29,2372,229.5,-16.78,7,投連賣
18	,8046.TW,南電,242,-0.41,10124,395,-36.54,7,投連賣
19	,8358.TW,金居,51.3,-0.58,1372,58,-2.71,7,投連賣
20	,2014.TW,中鴻,27.6,1.1,53751,38.05,-19.63,5,投連賣
