符合條件商品
資料日期：2022年  3月  3日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(03/03),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:46 符合檔數(11)
1	,6457.TW,紘康,62.5,-1.26,183,152,-52.82,12,投連賣
2	,3231.TW,緯創,29.9,-0.83,12268,29.5,10.62,9,投連賣
3	,1702.TW,南僑,44.8,-0.88,73,49.45,-5.02,5,投連賣
4	,2393.TW,億光,37.5,0.94,242,50.2,-18.32,5,投連賣
5	,3141.TW,晶宏,79.9,0.63,950,187,-55.63,5,投連賣
6	,3653.TW,健策,369.5,-0.81,1389,376,10.35,5,投連賣
7	,3691.TW,碩禾,101.5,0,155,183,-44.54,5,投連賣
8	,6274.TW,台燿,52.5,1.16,910,87,-35.33,5,投連賣
9	,6488.TW,環球晶,435.5,-2.57,2065,690,-35.7,5,投連賣
10	,6683.TW,雍智科技,189.5,0.26,103,252,-21.77,5,投連賣
11	,6706.TW,惠特,89.3,1.59,265,205,-52.68,5,投連賣
