符合條件商品
資料日期：2022年  3月  8日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(03/08),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:45 符合檔數(9)
1	,3653.TW,健策,369.5,-0.81,1389,316.5,31.09,8,投連賣
2	,6274.TW,台燿,52.5,1.16,910,82.4,-31.72,8,投連賣
3	,6488.TW,環球晶,435.5,-2.57,2065,615,-27.86,8,投連賣
4	,6706.TW,惠特,89.3,1.59,265,179,-45.81,8,投連賣
5	,3714.TW,富采,46.6,-0.96,1148,68.6,-29.58,7,投連賣
6	,3324.TW,雙鴻,151,-0.66,649,210.5,-25.62,6,投連賣
7	,5483.TW,中美晶,143.5,-1.37,3418,169,-12.36,6,投連賣
8	,6213.TW,聯茂,71.9,0.42,941,120.5,-36.38,6,投連賣
9	,1476.TW,儒鴻,492.5,1.23,1098,501,1.27,5,投連賣
