符合條件商品
資料日期：2021年 12月 17日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/17),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:54 符合檔數(14)
1	,1434.TW,福懋,26.3,-0.19,479,28.5,-4.08,12,投連賣
2	,2809.TW,京城銀,33.9,-3.42,3989,39.45,-9.09,12,投連賣
3	,2915.TW,潤泰全,66.7,0.15,4192,93.4,-22.59,12,投連賣
4	,3702.TW,大聯大,47.8,-0.52,2583,50.8,0.78,12,投連賣
5	,1702.TW,南僑,44.8,-0.88,73,49.35,-4.82,11,投連賣
6	,1909.TW,榮成,15.55,-0.32,1849,23.7,-29.09,10,投連賣
7	,8046.TW,南電,242,-0.41,10124,565,-55.64,10,投連賣
8	,3653.TW,健策,369.5,-0.81,1389,419.5,-1.09,8,投連賣
9	,2303.TW,聯電,41.95,-2.1,34060,62.3,-28.3,7,投連賣
10	,8255.TW,朋程,177,5.04,12777,218.5,-16.61,6,投連賣
11	,1232.TW,大統益,141.5,-0.35,131,156,-5.84,5,投連賣
12	,2820.TW,華票,14.55,0,290,16.9,-9.01,5,投連賣
13	,6214.TW,精誠,70,-0.28,922,83.3,-9.98,5,投連賣
14	,6491.TW,晶碩,404.5,-1.94,432,394.5,4.64,5,投連賣
