符合條件商品
資料日期：2022年  7月 19日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/19),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:29 符合檔數(28)
1	,1477.TW,聚陽,238.5,0,510,143,66.78,15,投連賣
2	,2606.TW,裕民,50.1,-3.47,10468,41.5,20.72,15,投連賣
3	,3006.TW,晶豪科,66.2,0,3117,82.8,-20.05,15,投連賣
4	,6176.TW,瑞儀,106,0.47,1064,85.2,24.41,15,投連賣
5	,4938.TW,和碩,64.2,0.31,3317,58.8,9.18,14,投連賣
6	,2006.TW,東和鋼鐵,53.2,0.95,1881,49.75,6.93,13,投連賣
7	,1326.TW,台化,69.4,-0.72,1689,66.5,4.36,12,投連賣
8	,3131.TW,弘塑,225,-0.88,34,229,5.59,12,投連賣
9	,6698.TW,旭暉應材,28.85,0.87,8,30.7,-6.03,12,投連賣
10	,2404.TW,漢唐,182,-2.41,755,143,27.27,11,投連賣
11	,2809.TW,京城銀,33.9,-3.42,3989,32.9,3.04,11,投連賣
12	,6269.TW,台郡,99.2,-0.8,645,83.6,18.66,11,投連賣
13	,9904.TW,寶成,34.05,0.44,6898,27.95,21.82,11,投連賣
14	,1303.TW,南亞,70.3,-1.54,4616,63.7,10.36,10,投連賣
15	,2409.TW,友達,15.4,0.65,36394,14.55,-1.97,9,投連賣
16	,8341.TW,日友,162.5,-7.41,2828,189,-14.02,8,投連賣
17	,3592.TW,瑞鼎,307.5,0,497,274.5,12.02,7,投連賣
18	,1904.TW,正隆,27.15,-1.09,381,26.35,3.04,6,投連賣
19	,3034.TW,聯詠,301.5,-0.17,3163,250.5,20.36,6,投連賣
20	,3645.TW,達邁,32.55,-1.21,101,39.75,-15.63,6,投連賣
21	,4919.TW,新唐,117,-2.09,4502,114,7.11,6,投連賣
22	,6488.TW,環球晶,435.5,-2.57,2065,430.5,1.16,6,投連賣
23	,8016.TW,矽創,173.5,-0.29,574,148,17.23,6,投連賣
24	,1301.TW,台塑,86.8,-0.46,6046,88.6,-2.03,5,投連賣
25	,2344.TW,華邦電,20.1,-0.99,9528,21.95,-8.43,5,投連賣
26	,2640.TW,大車隊,86.4,1.17,61,78.7,14.8,5,投連賣
27	,4129.TW,聯合,50.6,2.64,2781,29.5,71.53,5,投連賣
28	,5309.TW,系統電,39.5,-1.86,1571,36.1,9.42,5,投連賣
