符合條件商品
資料日期：2022年 12月 13日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/13),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:08 符合檔數(13)
1	,5340.TW,建榮,25.25,-0.79,22,25,1,10,投連賣
2	,3017.TW,奇鋐,111,-1.77,2015,114,-2.63,8,投連賣
3	,3443.TW,創意,726,-0.55,5389,767,-5.35,8,投連賣
4	,6569.TW,醫揚,100,-0.99,20,100,0,8,投連賣
5	,6669.TW,緯穎,819,-1.33,686,909,-9.9,7,投連賣
6	,1795.TW,美時,232,0.22,11755,251.5,-7.75,6,投連賣
7	,3037.TW,欣興,125,2.46,35224,146,-14.38,6,投連賣
8	,6488.TW,環球晶,435.5,-2.57,2065,454.5,-4.18,6,投連賣
9	,8046.TW,南電,242,-0.41,10124,270,-10.37,6,投連賣
10	,2303.TW,聯電,41.95,-2.1,34060,43.8,-4.22,5,投連賣
11	,2379.TW,瑞昱,289,-0.52,1352,292.5,-1.2,5,投連賣
12	,3711.TW,日月光投控,93.8,-3.6,11870,96.3,-2.6,5,投連賣
13	,8114.TW,振樺電,110,0.92,219,111.5,-1.35,5,投連賣
