符合條件商品
資料日期：2021年 11月 16日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/16),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 17:00 符合檔數(11)
1	,8081.TW,致新,141,-1.05,262,249.5,-37.78,15,投連賣
2	,2317.TW,鴻海,101,0,15490,108,-1.66,13,投連賣
3	,3264.TW,欣銓,49.85,-0.89,1243,57.4,-7.97,12,投連賣
4	,2360.TW,致茂,179,0.56,783,189.5,-1.26,11,投連賣
5	,3443.TW,創意,726,-0.55,5389,586,25.44,10,投連賣
6	,2308.TW,台達電,281,-1.92,5149,256,12.39,9,投連賣
7	,6706.TW,惠特,89.3,1.59,265,214.5,-54.78,9,投連賣
8	,2049.TW,上銀,180,-0.83,411,286,-35.8,7,投連賣
9	,6732.TW,昇佳電子,220,-1.57,74,525,-54.76,7,投連賣
10	,3017.TW,奇鋐,111,-1.77,2015,82,40.52,6,投連賣
11	,6491.TW,晶碩,404.5,-1.94,432,472.5,-12.63,6,投連賣
