符合條件商品
資料日期：2021年 12月 10日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/10),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:55 符合檔數(25)
1	,6510.TW,精測,490.5,-1.21,161,647,-21.36,14,投連賣
2	,3189.TW,景碩,107,0,9581,225.5,-51.07,12,投連賣
3	,3152.TW,璟德,179.5,-0.28,16,347.5,-45.91,10,投連賣
4	,2317.TW,鴻海,101,0,15490,105,1.15,8,投連賣
5	,2458.TW,義隆,86.1,-1.71,718,160,-39.19,8,投連賣
6	,4966.TW,譜瑞-KY,825,0.86,553,1875,-54.78,8,投連賣
7	,1434.TW,福懋,26.3,-0.19,479,28.95,-5.6,7,投連賣
8	,2324.TW,仁寶,22.95,0.44,9576,24.3,2.5,7,投連賣
9	,2356.TW,英業達,26,0.19,6530,25.55,8.06,7,投連賣
10	,2404.TW,漢唐,182,-2.41,755,172.5,14.36,7,投連賣
11	,2542.TW,興富發,40.35,-3.93,8630,46.5,4.21,7,投連賣
12	,2809.TW,京城銀,33.9,-3.42,3989,40,-10.34,7,投連賣
13	,2915.TW,潤泰全,66.7,0.15,4192,95.8,-24.52,7,投連賣
14	,3702.TW,大聯大,47.8,-0.52,2583,50.4,1.57,7,投連賣
15	,4938.TW,和碩,64.2,0.31,3317,67.9,2.2,7,投連賣
16	,5522.TW,遠雄,58.5,0.34,1205,65.3,-0.26,7,投連賣
17	,1702.TW,南僑,44.8,-0.88,73,49.05,-4.25,6,投連賣
18	,3481.TW,群創,11.1,0,42046,18.95,-36.21,6,投連賣
19	,1909.TW,榮成,15.55,-0.32,1849,23.8,-29.38,5,投連賣
20	,2441.TW,超豐,48.2,-2.33,4006,76.3,-31.59,5,投連賣
21	,3443.TW,創意,726,-0.55,5389,584,25.87,5,投連賣
22	,3707.TW,漢磊,86.9,0,3034,137.5,-36.55,5,投連賣
23	,5347.TW,世界,81.5,-1.69,3288,153.5,-43.43,5,投連賣
24	,6488.TW,環球晶,435.5,-2.57,2065,813,-44.93,5,投連賣
25	,8046.TW,南電,242,-0.41,10124,572,-56.18,5,投連賣
