符合條件商品
資料日期：2022年  6月  2日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/02),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:37 符合檔數(35)
1	,2002.TW,中鋼,30.7,0.16,37216,33.75,0.95,20,投連賣
2	,5439.TW,高技,46.85,0,102,49.55,3.15,20,投連賣
3	,2354.TW,鴻準,51.4,-1.15,1092,56.5,-5.62,15,投連賣
4	,2912.TW,統一超,268,-1.47,996,263,5.23,12,投連賣
5	,2409.TW,友達,15.4,0.65,36394,17.7,-13.68,11,投連賣
6	,3189.TW,景碩,107,0,9581,167.5,-34.13,9,投連賣
7	,4904.TW,遠傳,65.7,-0.3,2525,81,-15.59,9,投連賣
8	,5347.TW,世界,81.5,-1.69,3288,101,-14.03,9,投連賣
9	,8046.TW,南電,242,-0.41,10124,372,-32.62,9,投連賣
10	,1102.TW,亞泥,41.55,0.24,6062,44.4,1.34,8,投連賣
11	,1216.TW,統一,65.9,0,2803,65.1,5.39,8,投連賣
12	,2408.TW,南亞科,51.4,-0.58,5241,66.8,-17.72,8,投連賣
13	,2458.TW,義隆,86.1,-1.71,718,148,-34.26,8,投連賣
14	,2834.TW,臺企銀,12.9,-0.39,8238,12.1,11.5,8,投連賣
15	,2883.TW,開發金,12.7,-0.78,8936,15.8,-13.55,8,投連賣
16	,2890.TW,永豐金,16.7,-4.84,27291,17.7,-0.18,8,投連賣
17	,2892.TW,第一金,26.3,-0.38,6392,26.4,5.54,8,投連賣
18	,5230.TW,雷笛克光學,22.8,0,19,24.3,-2.94,8,投連賣
19	,9904.TW,寶成,34.05,0.44,6898,31.1,15.54,8,投連賣
20	,2886.TW,兆豐金,30.55,-0.97,8425,37.9,-14.14,7,投連賣
21	,2891.TW,中信金,21.9,-1.13,23817,26.6,-13.03,7,投連賣
22	,3035.TW,智原,159,0.63,7973,226,-28.02,7,投連賣
23	,3037.TW,欣興,125,2.46,35224,203.5,-37.18,7,投連賣
24	,1326.TW,台化,69.4,-0.72,1689,81.7,-9.74,6,投連賣
25	,2207.TW,和泰車,592,-0.67,113,616,-0.68,6,投連賣
26	,2344.TW,華邦電,20.1,-0.99,9528,28.9,-27.75,6,投連賣
27	,2887.TW,台新金,15.2,0,6593,17.5,-5.53,6,投連賣
28	,5880.TW,合庫金,25.95,-0.76,4866,27.35,1.29,6,投連賣
29	,6147.TW,頎邦,58.6,0.51,604,69.5,-6.3,6,投連賣
30	,6679.TW,鈺太,229,0.44,465,316,-25.81,6,投連賣
31	,9958.TW,世紀鋼,88.9,-1.22,9352,112.5,-17.94,6,投連賣
32	,1308.TW,亞聚,28.2,-0.88,1358,29.2,7.72,5,投連賣
33	,2603.TW,長榮,167.5,-2.33,36972,144.5,-39.95,5,投連賣
34	,3443.TW,創意,726,-0.55,5389,542,33.95,5,投連賣
35	,5234.TW,達興材料,67.2,0.15,91,97.1,-26.09,5,投連賣
